model,layer,target_mode,n_readings,median_rho,median_abs_rho_minus_one,max_abs_rho_minus_one,conserving
deepseek-coder-1.3b,0,bound,800,0.9999999228061482,2.010016452169694e-07,1.2053021575475498e-05,1
deepseek-coder-1.3b,0,other,800,0.9999999182461767,2.1208229888936003e-07,0.001138332912489659,1
deepseek-coder-1.3b,3,bound,800,0.999999958148297,1.6159729609999118e-07,1.6177857546040286e-05,1
deepseek-coder-1.3b,3,other,800,0.9999999360822309,1.7159620924189767e-07,0.0012609888218548804,1
deepseek-coder-1.3b,7,bound,800,0.9999999557988577,1.5562905397725757e-07,1.1853458521393634e-05,1
deepseek-coder-1.3b,7,other,800,0.9999999426387018,1.5385455998107034e-07,0.0012107788004414033,1
deepseek-coder-1.3b,11,bound,800,0.9999999372852489,1.4267938208689657e-07,1.1086293057793739e-05,1
deepseek-coder-1.3b,11,other,800,0.9999999347390243,1.48569615165961e-07,0.0011835219316935763,1
deepseek-coder-1.3b,15,bound,800,0.9999999416681146,1.4657162961118075e-07,2.119714154957819e-05,1
deepseek-coder-1.3b,15,other,800,0.9999999361368375,1.4630304212559508e-07,0.0012236899488016206,1
deepseek-coder-1.3b,19,bound,800,0.9999999374006684,1.3207984045360277e-07,2.0948251426844422e-05,1
deepseek-coder-1.3b,19,other,800,0.9999999233674397,1.282976232475086e-07,0.0011745558564371095,1
