arm,variant,site,rank,rank_min,rank_max,layer,split,delta_ld,ci_lo,ci_hi,flip_rate,says_installed_rate,says_other_rate,edit_fraction,edit_norm,state_norm,n,n_bases
ab,noop,def_source,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.084239638994255,560,280
ab,noop,def_source,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41843484691805,560,280
ab,noop,def_source,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.58881871838588,560,280
ab,noop,def_target,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.66611726629173,560,280
ab,noop,def_target,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2471670529155,560,280
ab,noop,def_target,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.70644869232518,560,280
ab,noop,mutation,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.00352081402574,560,280
ab,noop,mutation,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2786873478556,560,280
ab,noop,mutation,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.58428511147514,560,280
ab,noop,use,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.41650631081511,560,280
ab,noop,use,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.80936710760012,560,280
ab,noop,use,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.00402956808284,560,280
ab,whole_state,def_source,4096,4096,4096,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.084239638994255,560,280
ab,whole_state,def_source,4096,4096,4096,12,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41843484691805,560,280
ab,whole_state,def_source,4096,4096,4096,18,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.58881871838588,560,280
ab,whole_state,def_target,4096,4096,4096,6,test,0.01422991252371243,0.00624860780313611,0.021791989821940656,0.0,0.0,0.0,0.43947443817280263,18.709250539210625,42.66611726629173,560,280
ab,whole_state,def_target,4096,4096,4096,12,test,0.26715959895934377,0.2489111337092306,0.28546526299257363,0.0,0.0,0.0,0.49523621550083274,46.05985760721851,93.2471670529155,560,280
ab,whole_state,def_target,4096,4096,4096,18,test,0.31922432950564794,0.2986035144089588,0.33987234774178693,0.0,0.0,0.0,0.5194453839828037,89.05613452799501,171.70644869232518,560,280
