layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,n_classes,majority_class_rate,anchor,features
8,binding,1.0,1.0,1.0,0.47625,0.5237499999999999,1280,320,400,0.5,True,True,,2,0.5,use,hidden
8,binding,0.5,0.3717068569553455,0.5,0.5,0.0,1280,320,400,0.5,True,False,,2,0.5,use,surface
12,binding,1.0,1.0,1.0,0.48250000000000004,0.5175,1280,320,400,0.5,True,True,,2,0.5,use,hidden
12,binding,0.5,0.3717068569553455,0.5,0.5,0.0,1280,320,400,0.5,True,False,,2,0.5,use,surface
16,binding,1.0,1.0,1.0,0.49874999999999997,0.50125,1280,320,400,0.5,True,True,,2,0.5,use,hidden
16,binding,0.5,0.3717068569553455,0.5,0.5,0.0,1280,320,400,0.5,True,False,,2,0.5,use,surface
20,binding,1.0,1.0,1.0,0.47750000000000004,0.5225,1280,320,400,0.5,True,True,,2,0.5,use,hidden
20,binding,0.5,0.3717068569553455,0.5,0.5,0.0,1280,320,400,0.5,True,False,,2,0.5,use,surface
24,binding,1.0,1.0,1.0,0.47437500000000005,0.525625,1280,320,400,0.5,True,True,,2,0.5,use,hidden
24,binding,0.5,0.3717068569553455,0.5,0.5,0.0,1280,320,400,0.5,True,False,,2,0.5,use,surface
