arm,variant,site,layer,split,delta_ld,ci_lo,ci_hi,says_installed_rate,says_other_rate,flip_rate,edit_norm,edit_fraction,n,n_bases,vs_das_binding,vs_das_lo,vs_das_hi
ab,das_binding,use,6,test,8.11855468611632,8.040252509641329,8.199474050067366,1.0,0.0,1.0,18.456817636920647,0.41606534478757917,560,280,,,
ab,das_answer_control,use,6,test,4.77301897305463,4.579709123060374,4.964931641157184,0.7678571428571429,0.0017857142857142857,0.7660714285714286,18.456817636920647,0.4160653447875792,560,280,3.3455357130616905,3.1658244967181233,3.534888391992343
ab,mean_difference,use,6,test,3.7322823676679815,3.62530412970776,3.83880092241003,0.6821428571428572,0.0,0.6821428571428572,25.677071500494964,0.5788672602961563,560,280,4.386272318448339,4.281693634256455,4.500062778697216
ab,random_rank,use,6,test,-0.0005859388836792538,-0.0014508954169494767,0.0002518159470387827,0.0,0.0,0.0,0.5884767898650503,0.013207747451953173,560,280,8.119140625,8.0408970402873,8.199893276462598
ab,random_norm,use,6,test,0.5417410700448921,0.47393205876595207,0.6135895653814077,0.01607142857142857,0.0,0.014285714285714285,19.681639399882254,0.4435632278871744,560,280,7.576813616071429,7.471531803937895,7.681389507669956
ab,whole_state,use,6,test,4.025223213487438,3.923255439010848,4.134616349154551,0.7375,0.0,0.7375,30.910847491610873,0.6967767909072117,560,280,4.093331472628883,3.9826388098618817,4.210547568132835
ba,das_binding,use,6,test,8.096456474278654,8.013512138625872,8.17942452724757,1.0,0.0,1.0,18.451770766325186,0.415807996472396,560,280,,,
ba,das_answer_control,use,6,test,1.4976841492312296,1.3201450892191913,1.6720500825132643,0.21071428571428572,0.0,0.20892857142857144,18.451770766325186,0.415807996472396,560,280,6.598772325047425,6.4305336206273305,6.7835463218124845
ba,mean_difference,use,6,test,3.729464286086815,3.621662948147527,3.8416727133467794,0.675,0.0,0.675,25.675499621431317,0.5786281224524952,560,280,4.36699218819184,4.264714704427336,4.469862580920703
ba,random_rank,use,6,test,-0.0011439766202654153,-0.0019810275573815613,-0.0003627287303762778,0.0,0.0,0.0,0.5840562620339274,0.013104758093973786,560,280,8.09760045089892,8.014596823975443,8.180288790496332
ba,random_norm,use,6,test,0.531501116124647,0.46088099938950366,0.604242466076144,0.017857142857142856,0.0,0.017857142857142856,19.672673647071555,0.4432406493221011,560,280,7.564955358154007,7.450329243072442,7.675056502518377
ba,whole_state,use,6,test,4.017215400987438,3.905157643198701,4.125348073939926,0.7339285714285714,0.0,0.7339285714285714,30.926664827743032,0.6968743231877884,560,280,4.079241073291216,3.9729066712768484,4.18619001227431
