base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0251,calib,ab,source,use,das_binding,6,1,2,3,-4.328125,5.34375,9.671875,-4.3125,-0.015625,1,1,0,0,0.4156263060014585,18.913623852412282,45.50632041164861,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ab,source,use,whole_state,6,4096,2,3,-4.3125,-0.765625,3.546875,-4.3125,0.0,0,0,1,0,0.9022548694456307,41.05829918196306,45.50632041164861,4096,False,"H0,H1,H2,H3",False,
base_0251,calib,ab,target,use,das_binding,6,1,3,2,-3.828125,4.609375,8.4375,-3.828125,0.0,1,1,0,0,0.4168253982110461,18.913623852412282,45.37541122394845,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ab,target,use,whole_state,6,4096,3,2,-3.828125,1.703125,5.53125,-3.828125,0.0,1,1,0,0,0.9048578971399628,41.05829918196306,45.37541122394845,4096,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,source,use,das_binding,6,1,3,2,-3.625,4.859375,8.484375,-3.640625,0.015625,1,1,0,0,0.41998809064523523,19.083746742277295,45.43878068770615,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,source,use,whole_state,6,4096,3,2,-3.640625,0.375,4.015625,-3.640625,0.0,1,1,0,0,0.9074918590041009,41.23532355716609,45.43878068770615,4096,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,target,use,das_binding,6,1,2,3,-3.609375,4.796875,8.40625,-3.609375,0.0,1,1,0,0,0.4205507134424749,19.083746742277295,45.3779916007387,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,target,use,whole_state,6,4096,2,3,-3.609375,1.046875,4.65625,-3.609375,0.0,1,1,0,0,0.9087075496857121,41.23532355716609,45.3779916007387,4096,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,source,use,das_binding,6,1,2,3,-3.109375,5.3125,8.421875,-3.109375,0.0,1,1,0,0,0.4513488127926006,19.04564502729295,42.19717541617777,1,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,source,use,whole_state,6,4096,2,3,-3.109375,1.4375,4.546875,-3.109375,0.0,1,1,0,0,0.7216656200185673,30.452250759748175,42.19717541617777,4096,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,target,use,das_binding,6,1,3,2,-4.21875,4.6875,8.90625,-4.21875,0.0,1,1,0,0,0.4246587702211852,19.04564502729295,44.84929162624606,1,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,target,use,whole_state,6,4096,3,2,-4.21875,1.375,5.59375,-4.21875,0.0,1,1,0,0,0.678990674223433,30.452250759748175,44.84929162624606,4096,False,"H0,H1,H2,H3",False,
