arm,variant,site,rank,rank_min,rank_max,layer,split,delta_ld,ci_lo,ci_hi,flip_rate,says_installed_rate,says_other_rate,edit_fraction,edit_norm,state_norm,n,n_bases
ab,das_answer_control,use,1,1,1,6,test,4.77301897305463,4.579709123060374,4.964931641157184,0.7660714285714286,0.7678571428571429,0.0017857142857142857,0.4160653447875792,18.456817636920647,44.41650631081511,560,280
ab,das_binding,use,1,1,1,6,test,8.11855468611632,8.040252509641329,8.199474050067366,1.0,1.0,0.0,0.41606534478757917,18.456817636920647,44.41650631081511,560,280
ab,mean_difference,use,1,1,1,6,test,3.7322823676679815,3.62530412970776,3.83880092241003,0.6821428571428572,0.6821428571428572,0.0,0.5788672602961563,25.677071500494964,44.41650631081511,560,280
ab,noop,def_source,1,1,1,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.98156759512152,120,60
ab,noop,use,1,1,1,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.41650631081511,560,280
ab,random_norm,use,1600,768,2688,6,test,0.5417410700448921,0.47393205876595207,0.6135895653814077,0.014285714285714285,0.01607142857142857,0.0,0.4435632278871744,19.681639399882254,44.41650631081511,560,280
ab,random_rank,use,1,1,1,6,test,-0.0005859388836792538,-0.0014508954169494767,0.0002518159470387827,0.0,0.0,0.0,0.013207747451953173,0.5884767898650503,44.41650631081511,560,280
ab,whole_state,def_source,4096,4096,4096,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.98156759512152,120,60
ab,whole_state,use,4096,4096,4096,6,test,4.025223213487438,3.923255439010848,4.134616349154551,0.7375,0.7375,0.0,0.6967767909072117,30.910847491610873,44.41650631081511,560,280
ba,das_answer_control,use,1,1,1,6,test,1.4976841492312296,1.3201450892191913,1.6720500825132643,0.20892857142857144,0.21071428571428572,0.0,0.415807996472396,18.451770766325186,44.43483905160896,560,280
ba,das_binding,use,1,1,1,6,test,8.096456474278654,8.013512138625872,8.17942452724757,1.0,1.0,0.0,0.415807996472396,18.451770766325186,44.43483905160896,560,280
ba,mean_difference,use,1,1,1,6,test,3.729464286086815,3.621662948147527,3.8416727133467794,0.675,0.675,0.0,0.5786281224524952,25.675499621431317,44.43483905160896,560,280
ba,noop,def_source,1,1,1,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99861337167406,120,60
ba,noop,use,1,1,1,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.43483905160896,560,280
ba,random_norm,use,1600,832,2688,6,test,0.531501116124647,0.46088099938950366,0.604242466076144,0.017857142857142856,0.017857142857142856,0.0,0.4432406493221011,19.672673647071555,44.43483905160896,560,280
ba,random_rank,use,1,1,1,6,test,-0.0011439766202654153,-0.0019810275573815613,-0.0003627287303762778,0.0,0.0,0.0,0.013104758093973786,0.5840562620339274,44.43483905160896,560,280
ba,whole_state,def_source,4096,4096,4096,6,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99861337167406,120,60
ba,whole_state,use,4096,4096,4096,6,test,4.017215400987438,3.905157643198701,4.125348073939926,0.7339285714285714,0.7339285714285714,0.0,0.6968743231877884,30.926664827743032,44.43483905160896,560,280
