level,layer,readout,family,reversal_ab,reversal_ba,beats_chance_ab,beats_chance_ba,agree,both_beat_chance,split
family,8,gram_random,action,0.5342857142857143,0.5385714285714286,True,True,True,True,test
family,8,gram_random,positional,0.5385714285714286,0.539047619047619,True,True,True,True,test
family,8,gram_random,scope,0.4539285714285714,0.45839285714285705,False,False,True,False,test
family,8,jlens,action,0.07321428571428572,0.06428571428571428,False,False,True,False,test
family,8,jlens,positional,0.45476190476190476,0.4380952380952381,False,False,True,False,test
family,8,jlens,scope,0.5366071428571428,0.5357142857142857,True,True,True,True,test
family,8,logit,action,0.7303571428571428,0.7357142857142858,True,True,True,True,test
family,8,logit,positional,0.6988095238095238,0.6952380952380952,True,True,True,True,test
family,8,logit,scope,0.40535714285714286,0.4080357142857143,False,False,True,False,test
family,12,gram_random,action,0.4192857142857143,0.41964285714285715,False,False,True,False,test
family,12,gram_random,positional,0.5438095238095237,0.5447619047619048,True,True,True,True,test
family,12,gram_random,scope,0.5358928571428572,0.5385714285714286,True,True,True,True,test
family,12,jlens,action,0.6071428571428571,0.6446428571428572,True,True,True,True,test
family,12,jlens,positional,0.8928571428571429,0.8940476190476191,True,True,True,True,test
family,12,jlens,scope,0.7348214285714286,0.7375,True,True,True,True,test
family,12,logit,action,0.9732142857142857,0.9785714285714285,True,True,True,True,test
family,12,logit,positional,0.6583333333333333,0.6571428571428571,True,True,True,True,test
family,12,logit,scope,0.7607142857142857,0.7633928571428571,True,True,True,True,test
family,16,gram_random,action,0.625,0.6282142857142857,True,True,True,True,test
family,16,gram_random,positional,0.6716666666666667,0.6664285714285714,True,True,True,True,test
family,16,gram_random,scope,0.34910714285714284,0.34446428571428567,False,False,True,False,test
family,16,jlens,action,0.5964285714285714,0.6035714285714285,True,True,True,True,test
family,16,jlens,positional,0.530952380952381,0.5547619047619048,True,True,True,True,test
family,16,jlens,scope,0.8473214285714286,0.8544642857142857,True,True,True,True,test
family,16,logit,action,0.9803571428571428,0.9821428571428571,True,True,True,True,test
family,16,logit,positional,0.5797619047619048,0.5916666666666667,True,True,True,True,test
family,16,logit,scope,0.7160714285714286,0.73125,True,True,True,True,test
family,20,gram_random,action,0.6667857142857142,0.6667857142857142,True,True,True,True,test
family,20,gram_random,positional,0.5695238095238095,0.5604761904761905,True,True,True,True,test
family,20,gram_random,scope,0.3971428571428571,0.40285714285714286,False,False,True,False,test
family,20,jlens,action,0.5357142857142857,0.5428571428571428,True,True,True,True,test
family,20,jlens,positional,0.2011904761904762,0.20595238095238094,False,False,True,False,test
family,20,jlens,scope,0.8589285714285714,0.86875,True,True,True,True,test
family,20,logit,action,0.6464285714285715,0.65,True,True,True,True,test
family,20,logit,positional,0.2714285714285714,0.2833333333333333,False,False,True,False,test
family,20,logit,scope,0.7758928571428572,0.78125,True,True,True,True,test
family,24,gram_random,action,0.3842857142857143,0.375,False,False,True,False,test
family,24,gram_random,positional,0.4292857142857144,0.42238095238095247,False,False,True,False,test
family,24,gram_random,scope,0.6321428571428571,0.6316071428571427,True,True,True,True,test
family,24,jlens,action,0.44107142857142856,0.42678571428571427,False,False,True,False,test
family,24,jlens,positional,0.4035714285714286,0.425,False,False,True,False,test
family,24,jlens,scope,0.8419642857142857,0.8366071428571429,True,True,True,True,test
family,24,logit,action,0.4517857142857143,0.45357142857142857,False,False,True,False,test
family,24,logit,positional,0.31666666666666665,0.30357142857142855,False,False,True,False,test
family,24,logit,scope,0.7285714285714285,0.73125,True,True,True,True,test
