model,base_id,split,arm,layer,readout,family,pair_index,inner_word,outer_word,m_source,m_target,delta,reversal,n_seeds
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,scope,0,local,global,0.04013221710920334,-0.014916837215423584,-0.05504905432462692,0.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,scope,1,inner,outer,-0.026456288993358612,-0.009035564959049225,0.017420724034309387,1.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,scope,2,inside,outside,0.13146306574344635,0.15962648391723633,0.028163418173789978,1.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,scope,3,nested,module,-0.14461585879325867,-0.0014206171035766602,0.143195241689682,1.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,positional,4,later,earlier,0.04220685735344887,-0.012963831424713135,-0.055170688778162,0.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,positional,5,second,first,-0.33224260807037354,-0.34084513783454895,-0.008602529764175415,0.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,positional,6,new,original,0.023081200197339058,0.028744719922542572,0.005663519725203514,1.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,action,7,replaced,kept,0.12451440840959549,0.08034852892160416,-0.04416587948799133,0.0,1
deepseek-coder-6.7b,base_0000,test,ab,8,jlens,action,8,changed,unchanged,0.0628214105963707,-0.03651895374059677,-0.09934036433696747,0.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,scope,0,local,global,-0.002525724470615387,-0.037661805748939514,-0.03513608127832413,0.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,scope,1,inner,outer,0.03735318034887314,0.014968127012252808,-0.02238505333662033,0.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,scope,2,inside,outside,0.15776392817497253,0.15905386209487915,0.0012899339199066162,1.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,scope,3,nested,module,0.03406994044780731,0.1130436435341835,0.07897370308637619,1.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,positional,4,later,earlier,0.06230407953262329,0.03649093955755234,-0.025813139975070953,0.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,positional,5,second,first,-0.32739102840423584,-0.31010064482688904,0.017290383577346802,1.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,positional,6,new,original,0.02540527656674385,0.034708812832832336,0.009303536266088486,1.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,action,7,replaced,kept,0.01816508173942566,-0.021292228251695633,-0.03945730999112129,0.0,1
deepseek-coder-6.7b,base_0001,test,ab,8,jlens,action,8,changed,unchanged,0.09150072932243347,-0.015282103791832924,-0.10678283125162125,0.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,scope,0,local,global,-0.0327434167265892,-0.041479796171188354,-0.008736379444599152,0.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,scope,1,inner,outer,-0.016038764268159866,0.0009194817394018173,0.016958246007561684,1.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,scope,2,inside,outside,0.2086447775363922,0.2203676551580429,0.011722877621650696,1.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,scope,3,nested,module,-0.19342893362045288,-0.04924091696739197,0.1441880166530609,1.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,positional,4,later,earlier,0.02335168421268463,0.014448165893554688,-0.008903518319129944,0.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,positional,5,second,first,-0.31502214074134827,-0.2943410277366638,0.020681113004684448,1.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,positional,6,new,original,0.0598645880818367,0.06065768748521805,0.0007930994033813477,1.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,action,7,replaced,kept,0.05368088185787201,0.03337325528264046,-0.020307626575231552,0.0,1
deepseek-coder-6.7b,base_0002,calib,ab,8,jlens,action,8,changed,unchanged,0.03077639639377594,-0.08383829146623611,-0.11461468786001205,0.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,scope,0,local,global,0.02804204821586609,-0.05441819131374359,-0.08246023952960968,0.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,scope,1,inner,outer,0.03960371017456055,0.003547981381416321,-0.036055728793144226,0.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,scope,2,inside,outside,0.22462992370128632,0.16109466552734375,-0.06353525817394257,0.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,scope,3,nested,module,0.02624690905213356,0.0907239094376564,0.06447699666023254,1.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,positional,4,later,earlier,0.005467846989631653,0.019622206687927246,0.014154359698295593,1.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,positional,5,second,first,-0.40187227725982666,-0.27346086502075195,0.1284114122390747,1.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,positional,6,new,original,-0.012927249073982239,6.125122308731079e-05,0.01298850029706955,1.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,action,7,replaced,kept,0.0047339946031570435,-0.0390511229634285,-0.04378511756658554,0.0,1
deepseek-coder-6.7b,base_0003,test,ab,8,jlens,action,8,changed,unchanged,0.04526251554489136,-0.08331932872533798,-0.12858185172080994,0.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,scope,0,local,global,0.013994686305522919,-0.03872855007648468,-0.0527232363820076,0.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,scope,1,inner,outer,0.026108652353286743,0.00686139240860939,-0.019247259944677353,0.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,scope,2,inside,outside,0.14949393272399902,0.15500476956367493,0.005510836839675903,1.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,scope,3,nested,module,0.011915385723114014,0.10588326305150986,0.09396787732839584,1.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,positional,4,later,earlier,0.0661638081073761,0.03502470999956131,-0.03113909810781479,0.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,positional,5,second,first,-0.36181533336639404,-0.3194224536418915,0.042392879724502563,1.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,positional,6,new,original,0.014315545558929443,0.040127404034137726,0.025811858475208282,1.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,action,7,replaced,kept,0.01507045328617096,-0.013286300003528595,-0.028356753289699554,0.0,1
deepseek-coder-6.7b,base_0004,test,ab,8,jlens,action,8,changed,unchanged,0.08354540169239044,-0.011954523622989655,-0.0954999253153801,0.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,scope,0,local,global,-0.00027583539485931396,-0.03467530012130737,-0.03439946472644806,0.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,scope,1,inner,outer,-0.012425452470779419,0.008965466171503067,0.021390918642282486,1.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,scope,2,inside,outside,0.19131925702095032,0.22325769066810608,0.03193843364715576,1.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,scope,3,nested,module,-0.2059960514307022,-0.04349528253078461,0.1625007688999176,1.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,positional,4,later,earlier,0.05123122036457062,0.01231391727924347,-0.03891730308532715,0.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,positional,5,second,first,-0.28177666664123535,-0.2936834990978241,-0.011906832456588745,0.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,positional,6,new,original,0.025038909167051315,0.04524433612823486,0.020205426961183548,1.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,action,7,replaced,kept,0.049901288002729416,0.03261615335941315,-0.01728513464331627,0.0,1
deepseek-coder-6.7b,base_0005,test,ab,8,jlens,action,8,changed,unchanged,0.040403660386800766,-0.08587324619293213,-0.1262769103050232,0.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,scope,0,local,global,0.021437805145978928,-0.001812376081943512,-0.02325018122792244,0.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,scope,1,inner,outer,0.030541174113750458,0.028857329860329628,-0.0016838442534208298,0.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,scope,2,inside,outside,0.1621682494878769,0.14404898881912231,-0.018119260668754578,0.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,scope,3,nested,module,-0.09509919583797455,0.024833284318447113,0.11993248015642166,1.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,positional,4,later,earlier,-0.0006820410490036011,-0.046127066016197205,-0.045445024967193604,0.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,positional,5,second,first,-0.33648914098739624,-0.29764699935913086,0.03884214162826538,1.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,positional,6,new,original,0.06403318047523499,0.08485174179077148,0.0208185613155365,1.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,action,7,replaced,kept,0.03971545398235321,-0.013146109879016876,-0.05286156386137009,0.0,1
deepseek-coder-6.7b,base_0006,test,ab,8,jlens,action,8,changed,unchanged,0.13376140594482422,0.029933691024780273,-0.10382771492004395,0.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,scope,0,local,global,-0.06680911779403687,-0.07805345952510834,-0.011244341731071472,0.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,scope,1,inner,outer,0.016882091760635376,0.014899775385856628,-0.0019823163747787476,0.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,scope,2,inside,outside,0.15018713474273682,0.16095717251300812,0.010770037770271301,1.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,scope,3,nested,module,-0.0862615555524826,0.023338012397289276,0.10959956794977188,1.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,positional,4,later,earlier,0.025355156511068344,-0.022391140460968018,-0.04774629697203636,0.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,positional,5,second,first,-0.36086687445640564,-0.31800541281700134,0.0428614616394043,1.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,positional,6,new,original,0.016317512840032578,0.05193813890218735,0.03562062606215477,1.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,action,7,replaced,kept,-0.049163173884153366,-0.026955030858516693,0.022208143025636673,1.0,1
deepseek-coder-6.7b,base_0007,calib,ab,8,jlens,action,8,changed,unchanged,0.07010459899902344,-0.03738003969192505,-0.10748463869094849,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,0,local,global,-0.0051745399832725525,-0.02357630431652069,-0.01840176433324814,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,1,inner,outer,0.022240050137043,-0.003476915881037712,-0.02571696601808071,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,2,inside,outside,0.21059513092041016,0.21128205955028534,0.0006869286298751831,1.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,scope,3,nested,module,-0.1267211139202118,-0.04687472805380821,0.07984638214111328,1.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,positional,4,later,earlier,0.06867526471614838,0.014860033988952637,-0.05381523072719574,0.0,1
deepseek-coder-6.7b,base_0008,test,ab,8,jlens,positional,5,second,first,-0.27601292729377747,-0.28252217173576355,-0.006509244441986084,0.0,1
