layer,family,pair_index,inner_word,outer_word,reversal_ab,random_percentile_ab,reversal_ba,random_percentile_ba,min_arm_reversal,logit_min_arm_reversal,beats_logit,both_arm_percentile,direction_specific,clear_at_layer,n_random_directions,split
8,action,7,replaced,kept,0.7178571428571429,0.605,0.7142857142857143,0.603,0.7142857142857143,0.9678571428571429,False,0.603,False,False,500,test
8,action,8,changed,unchanged,0.0,0.036,0.0,0.038,0.0,0.4928571428571429,False,0.036,False,False,500,test
8,positional,4,later,earlier,1.0,0.956,1.0,0.959,1.0,1.0,False,0.956,False,False,500,test
8,positional,5,second,first,0.7142857142857143,0.647,0.7107142857142857,0.649,0.7107142857142857,0.6607142857142857,True,0.647,False,False,500,test
8,positional,6,new,original,0.5964285714285714,0.533,0.5964285714285714,0.536,0.5964285714285714,0.425,True,0.533,False,False,500,test
8,scope,0,local,global,0.9642857142857143,0.824,0.95,0.8,0.95,0.2785714285714286,True,0.8,False,False,500,test
8,scope,1,inner,outer,0.12142857142857143,0.294,0.125,0.3,0.12142857142857143,0.5535714285714286,False,0.294,False,False,500,test
8,scope,2,inside,outside,0.11428571428571428,0.276,0.14285714285714285,0.305,0.11428571428571428,0.7,False,0.276,False,False,500,test
8,scope,3,nested,module,0.7,0.598,0.6821428571428572,0.588,0.6821428571428572,0.08214285714285714,True,0.588,False,False,500,test
12,action,7,replaced,kept,0.5571428571428572,0.513,0.5857142857142857,0.525,0.5571428571428572,0.9535714285714286,False,0.513,False,False,500,test
12,action,8,changed,unchanged,0.7285714285714285,0.632,0.7357142857142858,0.639,0.7285714285714285,0.9928571428571429,False,0.632,False,False,500,test
12,positional,4,later,earlier,1.0,0.955,1.0,0.958,1.0,1.0,False,0.955,False,False,500,test
12,positional,5,second,first,0.6392857142857142,0.595,0.5928571428571429,0.572,0.5928571428571429,0.0,True,0.572,False,False,500,test
12,positional,6,new,original,0.875,0.762,0.8607142857142858,0.748,0.8607142857142858,0.9714285714285714,False,0.748,False,False,500,test
12,scope,0,local,global,0.7892857142857143,0.647,0.7892857142857143,0.649,0.7892857142857143,1.0,False,0.647,False,False,500,test
12,scope,1,inner,outer,0.6285714285714286,0.587,0.5857142857142857,0.562,0.5857142857142857,0.475,True,0.562,False,False,500,test
12,scope,2,inside,outside,0.9035714285714286,0.719,0.8964285714285715,0.713,0.8964285714285715,0.6535714285714286,True,0.713,False,False,500,test
12,scope,3,nested,module,0.9428571428571428,0.757,0.9607142857142857,0.785,0.9428571428571428,0.8964285714285715,True,0.757,False,False,500,test
16,action,7,replaced,kept,0.925,0.764,0.9464285714285714,0.79,0.925,1.0,False,0.764,False,False,500,test
16,action,8,changed,unchanged,0.55,0.526,0.5642857142857143,0.538,0.55,0.9607142857142857,False,0.526,False,False,500,test
16,positional,4,later,earlier,1.0,0.964,1.0,0.964,1.0,0.9964285714285714,True,0.964,False,False,500,test
16,positional,5,second,first,0.5678571428571428,0.537,0.55,0.53,0.55,0.13214285714285715,True,0.53,False,False,500,test
16,positional,6,new,original,0.16785714285714284,0.312,0.2,0.34,0.16785714285714284,0.6071428571428571,False,0.312,False,False,500,test
16,scope,0,local,global,0.9642857142857143,0.791,0.9678571428571429,0.798,0.9642857142857143,1.0,False,0.791,False,False,500,test
16,scope,1,inner,outer,0.6678571428571428,0.568,0.675,0.581,0.6678571428571428,0.425,True,0.568,False,False,500,test
16,scope,2,inside,outside,0.825,0.659,0.8107142857142857,0.644,0.8107142857142857,0.4392857142857143,True,0.644,False,False,500,test
16,scope,3,nested,module,1.0,0.953,1.0,0.961,1.0,1.0,False,0.953,False,False,500,test
20,action,7,replaced,kept,0.9821428571428571,0.89,0.9821428571428571,0.891,0.9821428571428571,0.9821428571428571,False,0.89,False,False,500,test
20,action,8,changed,unchanged,0.1,0.207,0.10357142857142858,0.207,0.1,0.30714285714285716,False,0.207,False,False,500,test
20,positional,4,later,earlier,0.7357142857142858,0.658,0.75,0.668,0.7357142857142858,0.6107142857142858,True,0.658,False,False,500,test
20,positional,5,second,first,0.06785714285714285,0.205,0.1,0.241,0.06785714285714285,0.19285714285714287,False,0.205,False,False,500,test
20,positional,6,new,original,0.03571428571428571,0.173,0.039285714285714285,0.18,0.03571428571428571,0.010714285714285714,True,0.173,False,False,500,test
20,scope,0,local,global,0.9964285714285714,0.936,1.0,0.972,0.9964285714285714,1.0,False,0.936,False,False,500,test
20,scope,1,inner,outer,0.5,0.468,0.5142857142857142,0.474,0.5,0.225,True,0.468,False,False,500,test
20,scope,2,inside,outside,0.9714285714285714,0.818,0.9857142857142858,0.852,0.9714285714285714,0.9071428571428571,True,0.818,False,False,500,test
20,scope,3,nested,module,0.9642857142857143,0.839,0.9821428571428571,0.878,0.9642857142857143,0.9714285714285714,False,0.839,False,False,500,test
24,action,7,replaced,kept,0.8142857142857143,0.722,0.7928571428571428,0.703,0.7928571428571428,0.8321428571428572,False,0.703,False,False,500,test
24,action,8,changed,unchanged,0.06785714285714285,0.171,0.06428571428571428,0.164,0.06428571428571428,0.07142857142857142,False,0.164,False,False,500,test
24,positional,4,later,earlier,0.8821428571428571,0.774,0.8928571428571429,0.79,0.8821428571428571,0.6785714285714286,True,0.774,False,False,500,test
24,positional,5,second,first,0.175,0.228,0.19642857142857142,0.257,0.175,0.1,True,0.228,False,False,500,test
24,positional,6,new,original,0.22142857142857142,0.281,0.225,0.291,0.22142857142857142,0.13214285714285715,True,0.281,False,False,500,test
