model,layer,arm,seed,family,pair_index,inner_word,outer_word,reversal,mean_delta,n
deepseek-coder-6.7b,8,ab,42,scope,0,local,global,0.88,0.0345764234662056,400
deepseek-coder-6.7b,8,ab,42,scope,1,inner,outer,0.9575,0.03000922128558159,400
deepseek-coder-6.7b,8,ab,42,scope,2,inside,outside,0.8225,0.017974888905882835,400
deepseek-coder-6.7b,8,ab,42,scope,3,nested,module,0.0,-0.12840037047863007,400
deepseek-coder-6.7b,8,ab,42,positional,4,later,earlier,0.1125,-0.03015252761542797,400
deepseek-coder-6.7b,8,ab,42,positional,5,second,first,0.995,0.05796963721513748,400
deepseek-coder-6.7b,8,ab,42,positional,6,new,original,0.38,-0.008617106825113297,400
deepseek-coder-6.7b,8,ab,42,action,7,replaced,kept,0.985,0.07698923349380493,400
deepseek-coder-6.7b,8,ab,42,action,8,changed,unchanged,0.9675,0.046645354479551315,400
deepseek-coder-6.7b,8,ab,43,scope,0,local,global,0.9825,0.05156436935067177,400
deepseek-coder-6.7b,8,ab,43,scope,1,inner,outer,0.075,-0.02853691577911377,400
deepseek-coder-6.7b,8,ab,43,scope,2,inside,outside,0.025,-0.055006951093673706,400
deepseek-coder-6.7b,8,ab,43,scope,3,nested,module,0.04,-0.06979858875274658,400
deepseek-coder-6.7b,8,ab,43,positional,4,later,earlier,0.02,-0.05826092138886452,400
deepseek-coder-6.7b,8,ab,43,positional,5,second,first,0.2125,-0.017177725210785866,400
deepseek-coder-6.7b,8,ab,43,positional,6,new,original,1.0,0.08103033155202866,400
deepseek-coder-6.7b,8,ab,43,action,7,replaced,kept,0.99,0.06727007031440735,400
deepseek-coder-6.7b,8,ab,43,action,8,changed,unchanged,0.795,0.03026609495282173,400
deepseek-coder-6.7b,8,ab,44,scope,0,local,global,0.745,0.017039276659488678,400
deepseek-coder-6.7b,8,ab,44,scope,1,inner,outer,0.0025,-0.04800621420145035,400
deepseek-coder-6.7b,8,ab,44,scope,2,inside,outside,0.0,-0.10707878321409225,400
deepseek-coder-6.7b,8,ab,44,scope,3,nested,module,0.6725,0.012308311648666859,400
deepseek-coder-6.7b,8,ab,44,positional,4,later,earlier,0.4975,-0.00013665408187080175,400
deepseek-coder-6.7b,8,ab,44,positional,5,second,first,0.97,0.0495728924870491,400
deepseek-coder-6.7b,8,ab,44,positional,6,new,original,0.945,0.055147934705019,400
deepseek-coder-6.7b,8,ab,44,action,7,replaced,kept,0.0225,-0.0744207352399826,400
deepseek-coder-6.7b,8,ab,44,action,8,changed,unchanged,0.315,-0.011489132419228554,400
deepseek-coder-6.7b,8,ab,45,scope,0,local,global,0.8275,0.02561759017407894,400
deepseek-coder-6.7b,8,ab,45,scope,1,inner,outer,0.005,-0.0492359921336174,400
deepseek-coder-6.7b,8,ab,45,scope,2,inside,outside,0.0025,-0.0733012706041336,400
deepseek-coder-6.7b,8,ab,45,scope,3,nested,module,0.095,-0.042138587683439255,400
deepseek-coder-6.7b,8,ab,45,positional,4,later,earlier,1.0,0.06720642745494843,400
deepseek-coder-6.7b,8,ab,45,positional,5,second,first,0.2925,-0.015916259959340096,400
deepseek-coder-6.7b,8,ab,45,positional,6,new,original,0.3325,-0.013180460780858994,400
deepseek-coder-6.7b,8,ab,45,action,7,replaced,kept,0.4375,-0.0038521832320839167,400
deepseek-coder-6.7b,8,ab,45,action,8,changed,unchanged,0.7625,0.02173214592039585,400
deepseek-coder-6.7b,8,ab,46,scope,0,local,global,0.3975,-0.0046481722965836525,400
deepseek-coder-6.7b,8,ab,46,scope,1,inner,outer,1.0,0.07906486839056015,400
deepseek-coder-6.7b,8,ab,46,scope,2,inside,outside,1.0,0.09597620368003845,400
deepseek-coder-6.7b,8,ab,46,scope,3,nested,module,0.6125,0.006190999876707792,400
deepseek-coder-6.7b,8,ab,46,positional,4,later,earlier,0.685,0.014028515666723251,400
deepseek-coder-6.7b,8,ab,46,positional,5,second,first,0.14,-0.022029640153050423,400
deepseek-coder-6.7b,8,ab,46,positional,6,new,original,0.41,-0.00682037603110075,400
deepseek-coder-6.7b,8,ab,46,action,7,replaced,kept,0.015,-0.06653667241334915,400
deepseek-coder-6.7b,8,ab,46,action,8,changed,unchanged,0.0125,-0.05467566102743149,400
deepseek-coder-6.7b,8,ba,42,scope,0,local,global,0.8725,0.0340120755136013,400
deepseek-coder-6.7b,8,ba,42,scope,1,inner,outer,0.965,0.02986058220267296,400
deepseek-coder-6.7b,8,ba,42,scope,2,inside,outside,0.845,0.017842790111899376,400
deepseek-coder-6.7b,8,ba,42,scope,3,nested,module,0.0,-0.128182053565979,400
deepseek-coder-6.7b,8,ba,42,positional,4,later,earlier,0.11,-0.030162697657942772,400
deepseek-coder-6.7b,8,ba,42,positional,5,second,first,0.9975,0.057948626577854156,400
deepseek-coder-6.7b,8,ba,42,positional,6,new,original,0.38,-0.008940727449953556,400
deepseek-coder-6.7b,8,ba,42,action,7,replaced,kept,0.9875,0.07664833962917328,400
deepseek-coder-6.7b,8,ba,42,action,8,changed,unchanged,0.965,0.04587727040052414,400
deepseek-coder-6.7b,8,ba,43,scope,0,local,global,0.99,0.051494449377059937,400
deepseek-coder-6.7b,8,ba,43,scope,1,inner,outer,0.095,-0.028151268139481544,400
deepseek-coder-6.7b,8,ba,43,scope,2,inside,outside,0.025,-0.05510121211409569,400
deepseek-coder-6.7b,8,ba,43,scope,3,nested,module,0.04,-0.06929318606853485,400
deepseek-coder-6.7b,8,ba,43,positional,4,later,earlier,0.0175,-0.05836222693324089,400
deepseek-coder-6.7b,8,ba,43,positional,5,second,first,0.2025,-0.017309870570898056,400
deepseek-coder-6.7b,8,ba,43,positional,6,new,original,1.0,0.08138160407543182,400
deepseek-coder-6.7b,8,ba,43,action,7,replaced,kept,0.995,0.06696373224258423,400
deepseek-coder-6.7b,8,ba,43,action,8,changed,unchanged,0.795,0.02947133034467697,400
deepseek-coder-6.7b,8,ba,44,scope,0,local,global,0.735,0.017511937767267227,400
deepseek-coder-6.7b,8,ba,44,scope,1,inner,outer,0.0,-0.0478707030415535,400
deepseek-coder-6.7b,8,ba,44,scope,2,inside,outside,0.0,-0.10738173127174377,400
deepseek-coder-6.7b,8,ba,44,scope,3,nested,module,0.65,0.011559255421161652,400
deepseek-coder-6.7b,8,ba,44,positional,4,later,earlier,0.49,0.00011055536742787808,400
deepseek-coder-6.7b,8,ba,44,positional,5,second,first,0.9525,0.050002194941043854,400
deepseek-coder-6.7b,8,ba,44,positional,6,new,original,0.96,0.05512164533138275,400
deepseek-coder-6.7b,8,ba,44,action,7,replaced,kept,0.02,-0.07465650141239166,400
deepseek-coder-6.7b,8,ba,44,action,8,changed,unchanged,0.3325,-0.011130592785775661,400
deepseek-coder-6.7b,8,ba,45,scope,0,local,global,0.84,0.025516629219055176,400
deepseek-coder-6.7b,8,ba,45,scope,1,inner,outer,0.005,-0.04911242052912712,400
deepseek-coder-6.7b,8,ba,45,scope,2,inside,outside,0.0025,-0.07333089411258698,400
deepseek-coder-6.7b,8,ba,45,scope,3,nested,module,0.1025,-0.041290540248155594,400
deepseek-coder-6.7b,8,ba,45,positional,4,later,earlier,1.0,0.06691015511751175,400
deepseek-coder-6.7b,8,ba,45,positional,5,second,first,0.28,-0.015916407108306885,400
deepseek-coder-6.7b,8,ba,45,positional,6,new,original,0.345,-0.013134796172380447,400
deepseek-coder-6.7b,8,ba,45,action,7,replaced,kept,0.44,-0.00376652623526752,400
