family,layer,arm,reversal,reversal_ci_lo,reversal_ci_hi,beats_chance,beats_random,beats_logit,probe_succeeds,n_bases,split
action,8,ab,0.07321428571428572,0.05357142857142857,0.09464285714285714,False,False,False,True,280,test
positional,8,ab,0.45476190476190476,0.42738095238095236,0.4845238095238095,False,False,False,True,280,test
scope,8,ab,0.5366071428571428,0.5124776785714286,0.5616071428571429,True,True,True,True,280,test
action,12,ab,0.6071428571428571,0.5714285714285714,0.6410714285714286,True,True,False,True,280,test
positional,12,ab,0.8928571428571429,0.875,0.9107142857142857,True,True,True,True,280,test
scope,12,ab,0.7348214285714286,0.7107142857142857,0.7598214285714285,True,True,False,True,280,test
action,16,ab,0.5964285714285714,0.5696428571428571,0.6232142857142857,True,False,False,True,280,test
positional,16,ab,0.530952380952381,0.5035714285714286,0.5583333333333333,True,False,False,True,280,test
scope,16,ab,0.8473214285714286,0.8241071428571428,0.8696428571428572,True,True,True,True,280,test
action,20,ab,0.5357142857142857,0.5125,0.5589285714285714,True,False,False,True,280,test
positional,20,ab,0.2011904761904762,0.1761904761904762,0.22383928571428557,False,False,False,True,280,test
scope,20,ab,0.8589285714285714,0.8401785714285714,0.8785714285714286,True,True,True,True,280,test
action,24,ab,0.44107142857142856,0.4125,0.46785714285714286,False,True,False,True,280,test
positional,24,ab,0.4035714285714286,0.3738095238095238,0.43214285714285716,False,False,True,True,280,test
scope,24,ab,0.8419642857142857,0.81875,0.8651785714285715,True,True,True,True,280,test
action,8,ba,0.06428571428571428,0.04642857142857143,0.08392857142857142,False,False,False,True,280,test
positional,8,ba,0.4380952380952381,0.4095238095238095,0.4654761904761905,False,False,False,True,280,test
scope,8,ba,0.5357142857142857,0.5116071428571428,0.5607142857142857,True,True,True,True,280,test
action,12,ba,0.6446428571428572,0.6089285714285714,0.6786160714285712,True,True,False,True,280,test
positional,12,ba,0.8940476190476191,0.8761904761904762,0.9119345238095237,True,True,True,True,280,test
scope,12,ba,0.7375,0.7133705357142858,0.7642857142857142,True,True,False,True,280,test
action,16,ba,0.6035714285714285,0.5785714285714286,0.6286160714285711,True,False,False,True,280,test
positional,16,ba,0.5547619047619048,0.5285714285714286,0.580952380952381,True,False,False,True,280,test
scope,16,ba,0.8544642857142857,0.8321428571428572,0.8767857142857143,True,True,True,True,280,test
action,20,ba,0.5428571428571428,0.5249553571428571,0.5642857142857143,True,False,False,True,280,test
positional,20,ba,0.20595238095238094,0.18095238095238095,0.23095238095238096,False,False,False,True,280,test
scope,20,ba,0.86875,0.8508928571428571,0.8857142857142857,True,True,True,True,280,test
action,24,ba,0.42678571428571427,0.3964285714285714,0.45535714285714285,False,True,False,True,280,test
positional,24,ba,0.425,0.3976190476190476,0.4512202380952379,False,False,True,True,280,test
scope,24,ba,0.8366071428571429,0.8142633928571429,0.8580357142857142,True,True,True,True,280,test
action,8,both,0.06875,0.05267857142857143,0.08660714285714285,False,False,False,True,280,test
positional,8,both,0.44642857142857145,0.42023809523809524,0.4732291666666666,False,False,False,True,280,test
scope,8,both,0.5361607142857143,0.5125,0.5602678571428571,True,True,True,True,280,test
action,12,both,0.6258928571428571,0.5928348214285715,0.6571428571428571,True,True,False,True,280,test
positional,12,both,0.893452380952381,0.8761904761904762,0.9101190476190476,True,True,True,True,280,test
scope,12,both,0.7361607142857143,0.7129464285714285,0.7602678571428572,True,True,False,True,280,test
action,16,both,0.6,0.5758928571428571,0.6241071428571429,True,False,False,True,280,test
positional,16,both,0.5428571428571428,0.5202380952380953,0.5654910714285714,True,False,False,True,280,test
scope,16,both,0.8508928571428571,0.8303571428571429,0.8714285714285714,True,True,True,True,280,test
action,20,both,0.5392857142857143,0.5214285714285715,0.5571428571428572,True,False,False,True,280,test
positional,20,both,0.20357142857142857,0.18273809523809523,0.2244047619047619,False,False,False,True,280,test
scope,20,both,0.8638392857142857,0.8482142857142857,0.8799107142857143,True,True,True,True,280,test
action,24,both,0.43392857142857144,0.40714285714285714,0.4589285714285714,False,True,False,True,280,test
positional,24,both,0.4142857142857143,0.3904761904761905,0.4386904761904762,False,False,True,True,280,test
scope,24,both,0.8392857142857143,0.81875,0.859375,True,True,True,True,280,test
