model,split,correct_only,layer,target_condition,statistic,role,token_identical,mean_delta_ab,mean_delta_ba,median_delta_ab,median_delta_ba,sign_consistency_ab,sign_consistency_ba,signs_agree,arm_ratio,both_significant_sign
deepseek-coder-6.7b,test,0,0,bound,binding_shift,binding_shift,0,0.1281769981374311,0.1288801771379043,0.12812222616222912,0.12802794553875155,1.0,1.0,1,1.0054859999117725,1
deepseek-coder-6.7b,test,0,0,bound,binding_shift_identical,binding_shift_identical,1,0.12633934437026434,0.12704526600612148,0.12657070943678683,0.12645382542663927,1.0,1.0,1,1.00558750434693,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_both_defs,both_defs,0,-0.02713920681135774,-0.028510205179149633,-0.026038850779163264,-0.025982870151270765,0.010714285714285714,0.02857142857142857,1,1.0505172600408546,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_inner_def,inner_def,0,0.050518895663036696,0.05018498597937733,0.05139137781666239,0.049814533073742645,1.0,1.0,1,0.9933904001804283,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_inner_def_identical,inner_def_identical,1,0.04868124189586988,0.0483500748475945,0.04858247990391592,0.047528877181024096,1.0,1.0,1,0.9931972350051432,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_inner_def_name,inner_def_name,0,0.0018376537671668104,0.001834911131782826,0.0021201380054784794,0.0019024955096905503,0.6642857142857143,0.65,1,0.9985075342085725,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_inner_def_value,inner_def_value,1,0.04868124189586988,0.0483500748475945,0.04858247990391592,0.047528877181024096,1.0,1.0,1,0.9931972350051432,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_other,other,1,0.0408229947212468,0.04165650344022114,0.04086702398508321,0.04208210031276083,1.0,1.0,1,1.0204176279732984,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_outer_def,outer_def,1,-0.07765810247439442,-0.07869519115852697,-0.0770323909826987,-0.07810622759970784,0.0,0.0,1,1.0133545457729218,1
deepseek-coder-6.7b,test,0,0,bound,delta_frac_outer_def_name,outer_def_name,1,-0.03485485574773658,-0.034833832535969715,-0.03450996128621922,-0.03499115629884009,0.0,0.0,1,0.9993968354963504,1
