model,contrast,layer,target_condition,position,role_to,mean_delta,median_delta,sign_consistency,n
deepseek-coder-6.7b,flip_ab,0,bound,0,outer_def_name,-0.03503898334411928,-0.03456012516127244,0.0,400
deepseek-coder-6.7b,flip_ab,0,bound,1,other,-0.017986499803038705,-0.017786976566895277,0.0,400
deepseek-coder-6.7b,flip_ab,0,bound,2,outer_def_value,-0.043086790358204105,-0.04300997220930918,0.0,400
deepseek-coder-6.7b,flip_ab,0,bound,3,other,0.037771194010445805,0.03755459401686577,1.0,400
deepseek-coder-6.7b,flip_ab,0,bound,4,signature,0.0036480456747340854,0.003675929132372924,0.8375,400
deepseek-coder-6.7b,flip_ab,0,bound,5,signature,0.002611330464474926,0.002619881510035658,0.875,400
deepseek-coder-6.7b,flip_ab,0,bound,6,signature,0.005392393361279311,0.005441221058409935,0.9975,400
deepseek-coder-6.7b,flip_ab,0,bound,7,other,0.00017349499473675873,0.0001374266793407338,0.615,400
deepseek-coder-6.7b,flip_ab,0,bound,8,other,0.0018075968531093556,0.0016723441387262122,0.955,400
deepseek-coder-6.7b,flip_ab,0,bound,9,inner_def_name,0.0020750328402598345,0.0021342861486081405,0.6725,400
deepseek-coder-6.7b,flip_ab,0,bound,10,other,0.018379725253728125,0.018478268876139493,1.0,400
deepseek-coder-6.7b,flip_ab,0,bound,11,inner_def_value,0.04869081036181207,0.048445238943525,1.0,400
deepseek-coder-6.7b,flip_ab,0,bound,12,other,0.0006299159047322288,0.0006305087651927266,0.7975,400
deepseek-coder-6.7b,flip_ab,0,bound,13,other,4.850843977591013e-05,4.198425776647647e-05,0.53,400
deepseek-coder-6.7b,flip_ab,0,bound,14,return_kw,-0.0024458020763864206,-0.0023379510545252554,0.24,400
deepseek-coder-6.7b,flip_ab,0,bound,15,use_site,-0.02270410148868221,-0.02207382007728729,0.0,400
deepseek-coder-6.7b,flip_ab,0,bound,16,suffix,-0.0012020572718950968,-0.001156481205412659,0.1175,400
deepseek-coder-6.7b,flip_ab,0,bound,17,suffix,-0.0015697361713182402,-0.0017753302330083438,0.31,400
deepseek-coder-6.7b,flip_ab,0,bound,18,suffix,0.0013078998106683525,0.0014075414721995425,0.9,400
deepseek-coder-6.7b,flip_ab,0,bound,19,suffix,0.0031586954965330373,0.0033660793542840545,0.86,400
deepseek-coder-6.7b,flip_ab,0,bound,20,suffix,-0.001660703554384151,-0.0014384678528165454,0.3525,400
deepseek-coder-6.7b,flip_ab,0,fixed_a,0,outer_def_name,-0.004398275584208606,-0.005123464633798952,0.26,400
deepseek-coder-6.7b,flip_ab,0,fixed_a,1,other,-0.010700507357335375,-0.010505980788701104,0.0,400
deepseek-coder-6.7b,flip_ab,0,fixed_a,2,outer_def_value,-0.023622604716792416,-0.023280131727172075,0.0,400
deepseek-coder-6.7b,flip_ab,0,fixed_a,3,other,0.01954625538934025,0.0192120694688538,1.0,400
deepseek-coder-6.7b,flip_ab,0,fixed_a,4,signature,0.0037687390528130605,0.0034949174010756832,0.91,400
deepseek-coder-6.7b,flip_ab,0,fixed_a,5,signature,0.00047527135611837967,0.0004431130441231321,0.565,400
