model,arm,binding,layer,target_mode,position,role,mean_frac,median_frac,n
deepseek-coder-6.7b,ab,source,0,bound,0,outer_def_name,0.3769133752074012,0.3774413009080501,400
deepseek-coder-6.7b,ab,source,0,bound,1,other,0.028950145548641632,0.029107500579643494,400
deepseek-coder-6.7b,ab,source,0,bound,2,outer_def_value,0.06583631590827939,0.06695154813740062,400
deepseek-coder-6.7b,ab,source,0,bound,3,other,0.2431072926843035,0.24210351066672461,400
deepseek-coder-6.7b,ab,source,0,bound,4,signature,0.01349395665124865,0.013507685439976144,400
deepseek-coder-6.7b,ab,source,0,bound,5,signature,0.003702842753846105,0.003733577505317217,400
deepseek-coder-6.7b,ab,source,0,bound,6,signature,0.013036758198446604,0.013156986747723459,400
deepseek-coder-6.7b,ab,source,0,bound,7,other,0.004265167674293901,0.0042481888724498675,400
deepseek-coder-6.7b,ab,source,0,bound,8,other,0.0009917424571771211,0.0010750829784264898,400
deepseek-coder-6.7b,ab,source,0,bound,9,inner_def_name,0.005014244076843972,0.004798376857601873,400
deepseek-coder-6.7b,ab,source,0,bound,10,other,0.005008617273767097,0.0050424362795190684,400
deepseek-coder-6.7b,ab,source,0,bound,11,inner_def_value,0.02261971018708916,0.021987213225989122,400
deepseek-coder-6.7b,ab,source,0,bound,12,other,0.005024099824778382,0.005014094552934956,400
deepseek-coder-6.7b,ab,source,0,bound,13,other,0.0034884772831869247,0.0034689196123685977,400
deepseek-coder-6.7b,ab,source,0,bound,14,return_kw,0.02060855836344878,0.020359475283742157,400
deepseek-coder-6.7b,ab,source,0,bound,15,use_site,0.02239822900024637,0.02206264521015925,400
deepseek-coder-6.7b,ab,source,0,bound,16,suffix,0.010930823790055545,0.010792532726861336,400
deepseek-coder-6.7b,ab,source,0,bound,17,suffix,0.04379925677635291,0.043958575614231804,400
deepseek-coder-6.7b,ab,source,0,bound,18,suffix,0.00558784227072579,0.005589993651241638,400
deepseek-coder-6.7b,ab,source,0,bound,19,suffix,0.023386981461182586,0.02340704873035987,400
deepseek-coder-6.7b,ab,source,0,bound,20,suffix,0.08183575865671798,0.08195416357436801,400
deepseek-coder-6.7b,ab,target,0,bound,0,outer_def_name,0.3418743918632819,0.3418490120525194,400
deepseek-coder-6.7b,ab,target,0,bound,1,other,0.010963645745602926,0.011130225208369749,400
deepseek-coder-6.7b,ab,target,0,bound,2,outer_def_value,0.022749525550075297,0.022625318810261898,400
deepseek-coder-6.7b,ab,target,0,bound,3,other,0.2808784866947493,0.28142462839119137,400
deepseek-coder-6.7b,ab,target,0,bound,4,signature,0.017142002325982734,0.01739628648266882,400
deepseek-coder-6.7b,ab,target,0,bound,5,signature,0.006314173218321031,0.006545355869884145,400
deepseek-coder-6.7b,ab,target,0,bound,6,signature,0.018429151559725913,0.018553663106826913,400
deepseek-coder-6.7b,ab,target,0,bound,7,other,0.00443866266903066,0.004465853582352629,400
deepseek-coder-6.7b,ab,target,0,bound,8,other,0.0027993393102864767,0.0027999959325982005,400
deepseek-coder-6.7b,ab,target,0,bound,9,inner_def_name,0.007089276917103806,0.007001191274003404,400
deepseek-coder-6.7b,ab,target,0,bound,10,other,0.02338834252749522,0.023260841723263204,400
deepseek-coder-6.7b,ab,target,0,bound,11,inner_def_value,0.07131052054890123,0.0713950674713709,400
deepseek-coder-6.7b,ab,target,0,bound,12,other,0.005654015729510611,0.005632791266119667,400
deepseek-coder-6.7b,ab,target,0,bound,13,other,0.0035369857229628353,0.003541169310318019,400
deepseek-coder-6.7b,ab,target,0,bound,14,return_kw,0.01816275628706236,0.01807834998795848,400
deepseek-coder-6.7b,ab,target,0,bound,15,use_site,-0.0003058724884358354,0.00018902834425817112,400
deepseek-coder-6.7b,ab,target,0,bound,16,suffix,0.009728766518160448,0.009656170597354621,400
deepseek-coder-6.7b,ab,target,0,bound,17,suffix,0.042229520605034675,0.042314442319324234,400
deepseek-coder-6.7b,ab,target,0,bound,18,suffix,0.006895742081394143,0.006970334199765225,400
deepseek-coder-6.7b,ab,target,0,bound,19,suffix,0.026545676957715633,0.026596829281638777,400
deepseek-coder-6.7b,ab,target,0,bound,20,suffix,0.0801750551023338,0.08053251543642956,400
deepseek-coder-6.7b,ba,source,0,bound,0,outer_def_name,0.3771701889145923,0.37697682741194893,400
deepseek-coder-6.7b,ba,source,0,bound,1,other,0.028932269187322675,0.029173795791750085,400
deepseek-coder-6.7b,ba,source,0,bound,2,outer_def_value,0.06650958153838431,0.06717821242229467,400
deepseek-coder-6.7b,ba,source,0,bound,3,other,0.24252049933114445,0.24144905568392105,400
deepseek-coder-6.7b,ba,source,0,bound,4,signature,0.013379538849610916,0.013341996828380427,400
deepseek-coder-6.7b,ba,source,0,bound,5,signature,0.003646422104783863,0.0036980877284175716,400
deepseek-coder-6.7b,ba,source,0,bound,6,signature,0.012951898105649775,0.013066930908872346,400
deepseek-coder-6.7b,ba,source,0,bound,7,other,0.0042662083448936905,0.004253998814458438,400
deepseek-coder-6.7b,ba,source,0,bound,8,other,0.0009684058698375805,0.0010266000244865863,400
deepseek-coder-6.7b,ba,source,0,bound,9,inner_def_name,0.004948039017918928,0.0049437732143242895,400
