model,base_id,split,arm,binding,cell,layer,target_mode,target_token,score,rho,n_tokens,frac_inner_def_name,frac_inner_def_value,frac_outer_def_name,frac_outer_def_value,frac_use_site,frac_return_kw,frac_signature,frac_suffix,frac_other,frac_outer_def,frac_inner_def,frac_inner_def_identical,frac_both_defs,ntok_inner_def_name,ntok_inner_def_value,ntok_outer_def_name,ntok_outer_def_value,ntok_use_site,ntok_return_kw,ntok_signature,ntok_suffix,ntok_other
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,0,bound,17,510.0826416015625,1.0000002056611346,21,0.0012161557352937482,0.026730469431486215,0.3664077320689217,0.046888476413255456,0.03166862884839098,0.025465737587879376,0.029673923373682604,0.17525373853801884,0.2966953436642057,0.41329620848217713,0.027946625166779964,0.026730469431486215,0.4412428336489571,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,0,other,19,442.99365234375,1.0000001950970052,21,0.0038348821699769413,0.04311679337498663,0.3429102723502096,0.02002149513681991,0.03674057330881972,0.024184536928038656,0.030220356314105055,0.19185940356327796,0.30711188195077077,0.3629317674870295,0.04695167554496357,0.04311679337498663,0.4098834430319931,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,3,bound,17,510.0826416015625,1.0000000669859348,21,0.0001742852206602629,0.028202460957589354,0.34412148383775704,0.0577173353580161,0.0458208483313897,0.024097227266113484,0.026053138974487133,0.18972610603511178,0.28408718100481,0.40183881919577313,0.028376746178249618,0.028202460957589354,0.4302155653740227,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,3,other,19,442.99365234375,1.0000000880627518,21,0.0019966905649249768,0.0474624201296003,0.32521333677229347,0.022518743262614205,0.0512075765141069,0.021732826865167414,0.024165388089696926,0.20678057106888006,0.2989225347954675,0.3477320800349077,0.04945911069452528,0.0474624201296003,0.39719119072943293,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,7,bound,17,510.0826416015625,0.9999999836405916,21,0.0029575022336294932,0.03872202799169195,0.26850184403999716,0.06917454889763239,0.05632163663425786,0.024030722064128224,0.03428486260422757,0.25539019137284596,0.25061664780218096,0.3376763929376295,0.04167953022532144,0.03872202799169195,0.37935592316295097,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,7,other,19,442.99365234375,1.0000001711471662,21,0.004919557473620861,0.06156604883874474,0.2548987959230687,0.026662173095565615,0.058529519222078566,0.021193956558052843,0.031509682994287136,0.27574888876190273,0.2649715482798448,0.2815609690186343,0.0664856063123656,0.06156604883874474,0.3480465753309999,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,11,bound,17,510.0826416015625,1.0000000265840387,21,0.001239898495311345,0.04213174003140289,0.16728973265428565,0.08709391573296013,0.06958080816360132,0.020125454563457542,0.049776378478529996,0.3569719655604501,0.20579013290403975,0.2543836483872458,0.04337163852671423,0.04213174003140289,0.2977552869139601,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,11,other,19,442.99365234375,1.0000001946933563,21,0.0021939185676875805,0.0736647455472631,0.16519188184967556,0.028555127488148264,0.06061966744181048,0.01940031273043513,0.051609879993932226,0.3828164632947497,0.21594819777965424,0.19374700933782382,0.07585866411495068,0.0736647455472631,0.26960567345277453,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,15,bound,17,510.0826416015625,0.9999999948584717,21,0.007233324123952369,0.04734467394199536,0.09145458242323919,0.09896586551658368,0.061277991452633504,0.02046180587048715,0.05792911584617995,0.4623425226517417,0.15299011303165871,0.19042044793982288,0.05457799806594773,0.04734467394199536,0.2449984460057706,1,1,1,1,1,1,3,5,7
deepseek-coder-6.7b,base_0000,test,ab,source,ab_source,15,other,19,442.99365234375,1.0000001307822683,21,0.008370282607156124,0.0894931932425536,0.09489709504315785,0.030720296292040462,0.06033193784024487,0.021887337234954826,0.061741962830056125,0.4734850328423446,0.15907299284975987,0.1256173913351983,0.09786347584970972,0.0894931932425536,0.22348086718490806,1,1,1,1,1,1,3,5,7
