model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,binding_shift,binding_shift,0,280,280,0.1281769981374311,0.12812222616222912,0.016038974096557076,7.99159580692543,0.12631349807823836,0.13011743086206276,1.0,280,0,1.0295115178936058e-84,0.0,16.557158685124765,,,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,binding_shift_identical,binding_shift_identical,1,280,280,0.12633934437026434,0.12657070943678683,0.014697177020966946,8.596164024562611,0.12461271989681637,0.1280500571266362,1.0,280,0,1.0295115178936058e-84,0.0,16.561818654261746,,,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_both_defs,both_defs,0,280,280,-0.02713920681135774,-0.026038850779163264,0.01605397462315143,-1.690497677268052,-0.02911242140288975,-0.025265104226883255,0.010714285714285714,280,0,3.766880722332432e-78,0.0,-14.639019689662186,0.4705442940767102,0.4434050872653525,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def,inner_def,0,280,280,0.050518895663036696,0.05139137781666239,0.007863919714185354,6.424136753571892,0.049642673509152524,0.05146053097762171,1.0,280,0,1.0295115178936058e-84,0.0,16.45409582404192,0.028005566774026366,0.07852446243706306,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_identical,inner_def_identical,1,280,280,0.04868124189586988,0.04858247990391592,0.007572233473890395,6.428914542020699,0.04781252281882437,0.04957362902521065,1.0,280,0,1.0295115178936058e-84,0.0,16.422352571178394,0.022759891142098684,0.07144113303796856,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_name,inner_def_name,0,280,280,0.0018376537671668104,0.0021201380054784794,0.004811291997859616,0.38194600701523035,0.0012920165847269973,0.0023950356926361687,0.6642857142857143,280,0,4.1019417379302176e-08,0.0,6.1055950641784555,0.0052456756319276855,0.0070833293990944955,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_value,inner_def_value,1,280,280,0.04868124189586988,0.04858247990391592,0.007572233473890395,6.428914542020699,0.04781252281882437,0.04957362902521065,1.0,280,0,1.0295115178936058e-84,0.0,16.422352571178394,0.022759891142098684,0.07144113303796856,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_other,other,1,280,280,0.0408229947212468,0.04086702398508321,0.009132303256744315,4.470175110654427,0.03976067170368145,0.04191910602826074,1.0,280,0,1.0295115178936058e-84,0.0,16.292793502013,0.2905985706083327,0.33142156532957956,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def,outer_def,1,280,280,-0.07765810247439442,-0.0770323909826987,0.013987428725975923,-5.551992721162273,-0.07932328513303585,-0.07597810251759318,0.0,280,0,1.0295115178936058e-84,0.0,-16.461758400437912,0.44253872730268384,0.3648806248282894,0,2.255618384849889e-07
deepseek-coder-6.7b,test,1,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def_name,outer_def_name,1,280,280,-0.03485485574773658,-0.03450996128621922,0.008340860846193697,-4.178807966043744,-0.035858121595316414,-0.03385315550036908,0.0,280,0,1.0295115178936058e-84,0.0,-16.237452314809783,0.37690146149686093,0.3420466057491244,0,2.255618384849889e-07
