model,split,scope,style,variant,cell,kind,accuracy,ci_lo,ci_hi,n,n_bases,mean_margin_correct,margin_ci_lo,margin_ci_hi,says_inner_rate,argmax_is_a_choice,chance,above_chance,verbalised
deepseek-coder-6.7b,calib,cell,binding,,ab_source,word,0.0,0.0,0.0,240,120,-0.7911095783114434,-0.8142377809714526,-0.7675030078863104,1.0,1.0,0.5,0,0
deepseek-coder-6.7b,calib,cell,binding,,ab_target,word,1.0,1.0,1.0,240,120,1.8427825843915344,1.8139164873445406,1.8722033398381124,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,binding,,ba_source,word,0.0,0.0,0.0,240,120,-0.7880284432321787,-0.8097555112031598,-0.7645492186800887,1.0,1.0,0.5,0,0
deepseek-coder-6.7b,calib,cell,binding,,ba_target,word,1.0,1.0,1.0,240,120,1.8433594260985653,1.813316917110545,1.8727895857393742,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,pyscope,,ab_source,word,0.8875,0.85,0.925,240,120,0.4979638715585073,0.4731670908629894,0.524204471980532,0.1125,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,pyscope,,ab_target,word,0.9291666666666667,0.8958333333333334,0.9584374999999995,240,120,0.6153419067462286,0.5928458906461795,0.6372208955759803,0.9291666666666667,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,pyscope,,ba_source,word,0.8958333333333334,0.8583333333333333,0.9333333333333333,240,120,0.5117261697848637,0.48644929498434064,0.5362071041017771,0.10416666666666667,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,pyscope,,ba_target,word,0.9375,0.9083333333333333,0.9666666666666667,240,120,0.6161933268109957,0.591478338142236,0.6408260802552104,0.9375,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,scope,,ab_source,word,0.9708333333333333,0.95,0.9916666666666667,240,120,0.9613674292961757,0.9357967964559794,0.9870614655564228,0.029166666666666667,0.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,scope,,ab_target,word,0.5125,0.5,0.5291666666666667,240,120,0.12375628550847372,0.0899177119260033,0.15786346368491647,0.5125,0.0,0.5,0,0
deepseek-coder-6.7b,calib,cell,scope,,ba_source,word,0.9583333333333334,0.9333333333333333,0.9833333333333333,240,120,0.9633208592732747,0.9383474435657263,0.9895730742563803,0.041666666666666664,0.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,scope,,ba_target,word,0.5041666666666667,0.5,0.5125,240,120,0.1270218163728714,0.09514158954222997,0.16067529074847697,0.5041666666666667,0.0,0.5,0,0
deepseek-coder-6.7b,calib,cell,shadow,,ab_source,word,0.5,0.5,0.5,240,120,-0.12649044791857403,-0.13622914200648664,-0.11746635610237718,0.5,0.975,0.5,0,0
deepseek-coder-6.7b,calib,cell,shadow,,ab_target,word,0.5,0.5,0.5,240,120,0.30496793761849406,0.2942482723792394,0.3157513813488185,0.5,1.0,0.5,0,0
deepseek-coder-6.7b,calib,cell,shadow,,ba_source,word,0.5,0.5,0.5,240,120,-0.12489445929725965,-0.13428409004583955,-0.11621051450570427,0.5,0.9666666666666667,0.5,0,0
deepseek-coder-6.7b,calib,cell,shadow,,ba_target,word,0.5,0.5,0.5,240,120,0.30499203577637674,0.2943240215753516,0.31596445536861817,0.5,1.0,0.5,0,0
deepseek-coder-6.7b,calib,cell,value,,ab_source,value,1.0,1.0,1.0,120,120,2.9474364041971666,2.8360033640017113,3.0636574471349984,0.0,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,value,,ab_target,value,1.0,1.0,1.0,120,120,3.8594853728543965,3.783174047724266,3.9374025571439417,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,calib,cell,value,,ba_source,value,1.0,1.0,1.0,120,120,2.8925050425032777,2.7646583083403917,3.014587430189519,0.0,1.0,0.5,1,1
