model,layer,target_mode,sign_matters,n_readings,n_positive,n_nonpositive,positive_rate,median_score,min_score,threshold,usable
deepseek-coder-6.7b,0,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,0,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,0,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,3,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,3,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,3,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,7,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,7,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,7,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,11,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,11,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,11,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,15,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,15,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,15,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,19,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,19,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,19,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,23,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,23,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,23,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
deepseek-coder-6.7b,27,inner,1,1600,1600,0,1.0,303.420654296875,280.9105224609375,0.95,1
deepseek-coder-6.7b,27,margin,0,1600,6,1594,0.00375,-21.040435791015625,-44.18634033203125,,1
deepseek-coder-6.7b,27,outer,1,1600,1600,0,1.0,325.11305236816406,306.16839599609375,0.95,1
