model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift,binding_shift,0,120,120,-0.0018943191061265565,-0.0015121569829541156,0.004753890434093906,-0.3984776537004086,-0.0027469039161750223,-0.0010020891734142398,0.3416666666666667,120,0,0.0006667238970035186,0.0,-4.169623622290747,,,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,binding_shift_identical,binding_shift_identical,1,120,120,-0.0019492430630370242,-0.0016562729876440177,0.0023873825649316604,-0.8164770454762963,-0.002399467208658088,-0.0015235815434216256,0.2,120,0,2.162228172529954e-11,0.0,-6.951120662495795,,,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_both_defs,both_defs,0,120,120,0.004929530374750207,0.0044135569485217185,0.003960097662607269,1.2448002031103138,0.004232799279470912,0.005653036795221199,0.9,120,0,1.780126472841153e-20,0.0,8.805293881577926,0.2864338099983276,0.2913633403730779,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def,inner_def,0,120,120,0.0015176056343118248,0.0013565365802716148,0.003891868254770465,0.3899427048825758,0.0008253100342615604,0.002223776586038168,0.625,120,0,0.007846593122439722,0.0,4.134187761507729,0.0046385626853402495,0.006156168319652074,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_identical,inner_def_identical,1,120,120,0.0014626816774013572,0.0014190658184718248,0.001247949795529129,1.1720677247125812,0.0012396769840131222,0.0016925773466453416,0.8833333333333333,120,0,1.1568090044180289e-18,0.0,8.637259036923625,0.0018476592042754685,0.003310340881676825,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_name,inner_def_name,0,120,120,5.492395691046805e-05,9.609490433339584e-05,0.0038589827000419645,0.014232755412422755,-0.0006617265421248363,0.0007710347617005739,0.5,120,0,1.0,0.858,0.10727121200417065,0.0027909034810647804,0.0028458274379752485,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_inner_def_value,inner_def_value,1,120,120,0.0014626816774013572,0.0014190658184718248,0.001247949795529129,1.1720677247125812,0.0012396769840131222,0.0016925773466453416,0.8833333333333333,120,0,1.1568090044180289e-18,0.0,8.637259036923625,0.0018476592042754685,0.003310340881676825,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_other,other,1,120,120,0.008474025840101925,0.008596620745219025,0.0020605613405832034,4.112484143618608,0.008107905151052582,0.008841618310795624,1.0,120,0,1.504632769052528e-36,0.0,10.698542283245144,0.28391284552872265,0.2923868713688246,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def,outer_def,1,120,120,0.0034119247404383814,0.0031636114892281686,0.0019985708308409953,1.707182296362571,0.003053663119768638,0.00376216216188868,0.95,120,0,5.795583853506602e-27,0.0,9.4632156152729,0.28179524731298744,0.2852071720534257,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_name,outer_def_name,1,120,120,0.003587746473695199,0.0032379845884180636,0.001847459064094874,1.9419897000277755,0.0032573984430742,0.003927330847615125,0.9833333333333333,120,0,1.0925138536090406e-32,0.0,9.781339393398282,0.2793702980429841,0.2829580445166793,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_outer_def_value,outer_def_value,1,120,120,-0.00017582173325681396,-0.00017141273204539557,0.0006989378773200055,-0.2515555945128937,-0.0002976545307156061,-5.240000667478361e-05,0.375,120,0,0.007846593122439722,0.004,-2.668175771025295,0.002424949270003329,0.002249127536746516,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question,question,1,120,120,-0.012675896801469242,-0.01287942357315372,0.0036812854566078182,-3.4433343871001134,-0.013358447831998965,-0.012011304404874395,0.0,120,0,1.504632769052528e-36,0.0,-10.760007407028052,0.4041745988333234,0.39149870203185416,1,1.404872695953685e-07
deepseek-coder-6.7b,calib,0,flip_ab,binding_flip,0,1,shift,0,fixed_inner,delta_frac_question_all,question_all,1,120,120,-0.013287559948872596,-0.013352746684436534,0.0038384062569876013,-3.461738820554324,-0.014010483700365907,-0.012574256134088536,0.0,120,0,1.504632769052528e-36,0.0,-10.752234358096791,0.413461664664378,0.40017410471550546,1,1.404872695953685e-07
