base_id,split,ab_source_ok,ab_target_ok,ba_source_ok,ba_target_ok,semantics_agree,arms_crossed,mutation_distance_ok,anchors_ordered,values_distinct,tokens_distinct,verified
base_0000,test,True,True,True,True,True,True,True,True,True,True,True
base_0001,test,True,True,True,True,True,True,True,True,True,True,True
base_0002,calib,True,True,True,True,True,True,True,True,True,True,True
base_0003,test,True,True,True,True,True,True,True,True,True,True,True
base_0004,test,True,True,True,True,True,True,True,True,True,True,True
base_0005,test,True,True,True,True,True,True,True,True,True,True,True
base_0006,test,True,True,True,True,True,True,True,True,True,True,True
base_0007,calib,True,True,True,True,True,True,True,True,True,True,True
base_0008,test,True,True,True,True,True,True,True,True,True,True,True
base_0009,calib,True,True,True,True,True,True,True,True,True,True,True
base_0010,calib,True,True,True,True,True,True,True,True,True,True,True
base_0011,calib,True,True,True,True,True,True,True,True,True,True,True
base_0012,test,True,True,True,True,True,True,True,True,True,True,True
base_0013,test,True,True,True,True,True,True,True,True,True,True,True
base_0014,test,True,True,True,True,True,True,True,True,True,True,True
base_0015,test,True,True,True,True,True,True,True,True,True,True,True
base_0016,test,True,True,True,True,True,True,True,True,True,True,True
base_0017,test,True,True,True,True,True,True,True,True,True,True,True
base_0018,test,True,True,True,True,True,True,True,True,True,True,True
base_0019,test,True,True,True,True,True,True,True,True,True,True,True
base_0020,test,True,True,True,True,True,True,True,True,True,True,True
base_0021,test,True,True,True,True,True,True,True,True,True,True,True
base_0022,test,True,True,True,True,True,True,True,True,True,True,True
base_0023,test,True,True,True,True,True,True,True,True,True,True,True
base_0024,test,True,True,True,True,True,True,True,True,True,True,True
base_0025,test,True,True,True,True,True,True,True,True,True,True,True
base_0026,calib,True,True,True,True,True,True,True,True,True,True,True
base_0027,test,True,True,True,True,True,True,True,True,True,True,True
base_0028,test,True,True,True,True,True,True,True,True,True,True,True
base_0029,calib,True,True,True,True,True,True,True,True,True,True,True
base_0030,test,True,True,True,True,True,True,True,True,True,True,True
base_0031,calib,True,True,True,True,True,True,True,True,True,True,True
base_0032,test,True,True,True,True,True,True,True,True,True,True,True
base_0033,test,True,True,True,True,True,True,True,True,True,True,True
base_0034,calib,True,True,True,True,True,True,True,True,True,True,True
base_0035,test,True,True,True,True,True,True,True,True,True,True,True
base_0036,test,True,True,True,True,True,True,True,True,True,True,True
base_0037,calib,True,True,True,True,True,True,True,True,True,True,True
base_0038,calib,True,True,True,True,True,True,True,True,True,True,True
base_0039,test,True,True,True,True,True,True,True,True,True,True,True
base_0040,test,True,True,True,True,True,True,True,True,True,True,True
base_0041,test,True,True,True,True,True,True,True,True,True,True,True
base_0042,test,True,True,True,True,True,True,True,True,True,True,True
base_0043,calib,True,True,True,True,True,True,True,True,True,True,True
base_0044,test,True,True,True,True,True,True,True,True,True,True,True
base_0045,calib,True,True,True,True,True,True,True,True,True,True,True
base_0046,test,True,True,True,True,True,True,True,True,True,True,True
base_0047,test,True,True,True,True,True,True,True,True,True,True,True
base_0048,test,True,True,True,True,True,True,True,True,True,True,True
base_0049,test,True,True,True,True,True,True,True,True,True,True,True
