base_id,split,arm,binding,answer,logp_correct,logp_other,correct,argmax_token,argmax_is_correct,gates_required,gate_override,gate_override_reason
base_0000,test,ab,source,2,-0.2978977560997009,-1.9541478157043457,1,55,1,H0,False,
base_0000,test,ab,target,4,-0.591038703918457,-0.872288703918457,1,57,1,H0,False,
base_0000,test,ba,source,4,-0.19079485535621643,-2.4407949447631836,1,57,1,H0,False,
base_0000,test,ba,target,2,-0.3562045693397522,-1.2937045097351074,1,55,1,H0,False,
base_0001,test,ab,source,3,-0.20045745372772217,-2.0754575729370117,1,56,1,H0,False,
base_0001,test,ab,target,2,-0.27191680669784546,-1.4906668663024902,1,55,1,H0,False,
base_0001,test,ba,source,2,-0.17634770274162292,-2.1763477325439453,1,55,1,H0,False,
base_0001,test,ba,target,3,-0.15200810134410858,-2.089508056640625,1,56,1,H0,False,
base_0002,calib,ab,source,6,-0.1364482194185257,-2.2301981449127197,1,59,1,H0,False,
base_0002,calib,ab,target,5,-0.5432713031768799,-0.8870213031768799,1,58,1,H0,False,
base_0002,calib,ba,source,5,-0.1516938954591751,-2.089193820953369,1,58,1,H0,False,
base_0002,calib,ba,target,6,-0.13325874507427216,-2.133258819580078,1,59,1,H0,False,
base_0003,test,ab,source,2,-0.03938732668757439,-3.6018872261047363,1,55,1,H0,False,
base_0003,test,ab,target,3,-0.3059557378292084,-1.3684557676315308,1,56,1,H0,False,
base_0003,test,ba,source,3,-0.04679187759757042,-3.6092917919158936,1,56,1,H0,False,
base_0003,test,ba,target,2,-0.2381247580051422,-1.5818747282028198,1,55,1,H0,False,
base_0004,test,ab,source,6,-0.13461576402187347,-2.790865659713745,1,59,1,H0,False,
base_0004,test,ab,target,2,-0.37140220403671265,-1.2464022636413574,1,55,1,H0,False,
base_0004,test,ba,source,2,-0.17785270512104034,-2.2716026306152344,1,55,1,H0,False,
base_0004,test,ba,target,6,-0.17293785512447357,-1.9541878700256348,1,59,1,H0,False,
base_0005,test,ab,source,7,-0.09956417232751846,-2.7245640754699707,1,60,1,H0,False,
base_0005,test,ab,target,6,-0.5899002552032471,-0.8399002552032471,1,59,1,H0,False,
base_0005,test,ba,source,6,-0.13977280259132385,-2.296022891998291,1,59,1,H0,False,
base_0005,test,ba,target,7,-0.27884525060653687,-1.4663453102111816,1,60,1,H0,False,
base_0006,test,ab,source,5,-0.1568557620048523,-2.094355821609497,1,58,1,H0,False,
base_0006,test,ab,target,6,-0.10994476824998856,-2.3286948204040527,1,59,1,H0,False,
base_0006,test,ba,source,6,-0.11394104361534119,-2.457690954208374,1,59,1,H0,False,
base_0006,test,ba,target,5,-0.46895188093185425,-1.000201940536499,1,58,1,H0,False,
base_0007,calib,ab,source,3,-0.10688965022563934,-2.8256397247314453,1,56,1,H0,False,
base_0007,calib,ab,target,5,-0.5364418625831604,-0.9114418625831604,1,58,1,H0,False,
base_0007,calib,ba,source,5,-0.06489479541778564,-3.221144676208496,1,58,1,H0,False,
base_0007,calib,ba,target,3,-0.37582236528396606,-1.1883223056793213,1,56,1,H0,False,
base_0008,test,ab,source,3,-0.14762115478515625,-2.3351211547851562,1,56,1,H0,False,
base_0008,test,ab,target,7,-0.9125409126281738,-0.5375409126281738,0,56,0,H0,False,
base_0008,test,ba,source,7,-0.12017284333705902,-2.5576727390289307,1,60,1,H0,False,
base_0008,test,ba,target,3,-0.41025567054748535,-1.1290056705474854,1,56,1,H0,False,
base_0009,calib,ab,source,2,-0.20786979794502258,-2.1766197681427,1,55,1,H0,False,
base_0009,calib,ab,target,5,-0.7276276350021362,-0.6963776350021362,0,55,0,H0,False,
base_0009,calib,ba,source,5,-0.1372433304786682,-2.4184932708740234,1,58,1,H0,False,
base_0009,calib,ba,target,2,-0.3069223463535309,-1.4006723165512085,1,55,1,H0,False,
base_0010,calib,ab,source,4,-0.12339214980602264,-2.717142105102539,1,57,1,H0,False,
base_0010,calib,ab,target,6,-0.38638874888420105,-1.1676387786865234,1,59,1,H0,False,
base_0010,calib,ba,source,6,-0.1426967978477478,-2.5489468574523926,1,59,1,H0,False,
base_0010,calib,ba,target,4,-0.6604854464530945,-0.7542354464530945,1,57,1,H0,False,
base_0011,calib,ab,source,7,-0.07377887517213821,-3.2300288677215576,1,60,1,H0,False,
base_0011,calib,ab,target,5,-0.565463662147522,-0.877963662147522,1,58,1,H0,False,
base_0011,calib,ba,source,5,-0.04713776335120201,-3.70338773727417,1,58,1,H0,False,
base_0011,calib,ba,target,7,-0.36139631271362305,-1.236396312713623,1,60,1,H0,False,
base_0012,test,ab,source,5,-0.08089914172887802,-2.893399238586426,1,58,1,H0,False,
base_0012,test,ab,target,2,-0.2894224226474762,-1.4456723928451538,1,55,1,H0,False,
base_0012,test,ba,source,2,-0.11324087530374527,-2.769490957260132,1,55,1,H0,False,
base_0012,test,ba,target,5,-0.40374717116355896,-1.1537472009658813,1,58,1,H0,False,
base_0013,test,ab,source,7,-0.11473032832145691,-2.5209803581237793,1,60,1,H0,False,
base_0013,test,ab,target,6,-0.5899002552032471,-0.8399002552032471,1,59,1,H0,False,
base_0013,test,ba,source,6,-0.1977735161781311,-1.9165234565734863,1,59,1,H0,False,
base_0013,test,ba,target,7,-0.27884525060653687,-1.4663453102111816,1,60,1,H0,False,
base_0014,test,ab,source,3,-0.12437046319246292,-2.655620574951172,1,56,1,H0,False,
base_0014,test,ab,target,2,-0.3194863796234131,-1.350736379623413,1,55,1,H0,False,
base_0014,test,ba,source,2,-0.22786329686641693,-1.9153633117675781,1,55,1,H0,False,
base_0014,test,ba,target,3,-0.28519269824028015,-1.5039427280426025,1,56,1,H0,False,
base_0015,test,ab,source,4,-0.11755062639713287,-2.6488006114959717,1,57,1,H0,False,
base_0015,test,ab,target,2,-0.1967901587486267,-1.7905402183532715,1,55,1,H0,False,
base_0015,test,ba,source,2,-0.07432684302330017,-3.168076753616333,1,55,1,H0,False,
base_0015,test,ba,target,4,-0.44499751925468445,-1.0699975490570068,1,57,1,H0,False,
base_0016,test,ab,source,5,-0.07166878134012222,-3.321668863296509,1,58,1,H0,False,
base_0016,test,ab,target,4,-0.33253586292266846,-1.3012858629226685,1,57,1,H0,False,
base_0016,test,ba,source,4,-0.1465112268924713,-2.4277613162994385,1,57,1,H0,False,
base_0016,test,ba,target,5,-0.129085972905159,-2.2540860176086426,1,58,1,H0,False,
