base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0000,test,ab,source,def_source,whole_state,6,3072,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.0,0.0,21.2707548033854,3072,True,"H0,H1,H2",False,
base_0000,test,ab,source,def_source,noop,6,0,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.0,0.0,21.2707548033854,0,True,"H0,H1,H2",False,
base_0000,test,ab,source,def_target,whole_state,6,3072,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.5166967642156107,10.072540778176457,19.49410461950042,3072,False,"H0,H1,H2",False,
base_0000,test,ab,source,def_target,noop,6,0,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.0,0.0,19.49410461950042,0,True,"H0,H1,H2",False,
base_0000,test,ab,source,mutation,whole_state,6,3072,2,4,-1.65625,-1.4375,0.21875,-1.65625,0.0,0,0,1,0,0.9760849119023607,20.22163874413704,20.717089771140568,3072,False,"H0,H1,H2",False,
base_0000,test,ab,source,mutation,noop,6,0,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.0,0.0,20.717089771140568,0,True,"H0,H1,H2",False,
base_0000,test,ab,source,use,whole_state,6,3072,2,4,-1.65625,-0.75,0.90625,-1.65625,0.0,0,0,1,0,0.7720598395002504,15.43326666344724,19.989728611498688,3072,False,"H0,H1,H2",False,
base_0000,test,ab,source,use,noop,6,0,2,4,-1.65625,-1.65625,0.0,-1.65625,0.0,0,0,1,0,0.0,0.0,19.989728611498688,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,def_source,whole_state,6,3072,4,2,-0.28125,-0.28125,0.0,-0.28125,0.0,0,0,1,0,0.0,0.0,21.2707548033854,3072,True,"H0,H1,H2",False,
base_0000,test,ab,target,def_source,noop,6,0,4,2,-0.28125,-0.28125,0.0,-0.28125,0.0,0,0,1,0,0.0,0.0,21.2707548033854,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,def_target,whole_state,6,3072,4,2,-0.28125,-0.59375,-0.3125,-0.28125,0.0,0,0,1,0,0.5037554704891758,10.072540778176457,19.994901034812457,3072,False,"H0,H1,H2",False,
base_0000,test,ab,target,def_target,noop,6,0,4,2,-0.28125,-0.28125,0.0,-0.28125,0.0,0,0,1,0,0.0,0.0,19.994901034812457,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,mutation,whole_state,6,3072,4,2,-0.28125,0.40625,0.6875,-0.28125,0.0,1,1,0,0,1.0077232160479739,20.22163874413704,20.066659596710494,3072,False,"H0,H1,H2",False,
base_0000,test,ab,target,mutation,noop,6,0,4,2,-0.28125,-0.28125,0.0,-0.28125,0.0,0,0,1,0,0.0,0.0,20.066659596710494,0,True,"H0,H1,H2",False,
base_0000,test,ab,target,use,whole_state,6,3072,4,2,-0.28125,1.3125,1.59375,-0.28125,0.0,1,1,0,0,0.7353354752847245,15.43326666344724,20.988062159616906,3072,False,"H0,H1,H2",False,
base_0000,test,ab,target,use,noop,6,0,4,2,-0.28125,-0.28125,0.0,-0.28125,0.0,0,0,1,0,0.0,0.0,20.988062159616906,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,def_source,whole_state,6,3072,4,2,-2.25,-2.25,0.0,-2.25,0.0,0,0,1,0,0.0,0.0,21.083409495768766,3072,True,"H0,H1,H2",False,
base_0000,test,ba,source,def_source,noop,6,0,4,2,-2.25,-2.25,0.0,-2.25,0.0,0,0,1,0,0.0,0.0,21.083409495768766,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,def_target,whole_state,6,3072,4,2,-2.25,-2.34375,-0.09375,-2.25,0.0,0,0,1,0,0.5477975409346241,10.859735483818575,19.824359680932943,3072,False,"H0,H1,H2",False,
base_0000,test,ba,source,def_target,noop,6,0,4,2,-2.25,-2.25,0.0,-2.25,0.0,0,0,1,0,0.0,0.0,19.824359680932943,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,mutation,whole_state,6,3072,4,2,-2.25,-1.625,0.625,-2.25,0.0,0,0,1,0,0.9767993535456202,20.287464339613393,20.769326132304705,3072,False,"H0,H1,H2",False,
base_0000,test,ba,source,mutation,noop,6,0,4,2,-2.25,-2.25,0.0,-2.25,0.0,0,0,1,0,0.0,0.0,20.769326132304705,0,True,"H0,H1,H2",False,
base_0000,test,ba,source,use,whole_state,6,3072,4,2,-2.25,-1.0625,1.1875,-2.25,0.0,0,0,1,0,0.7711575668255313,15.452498927116459,20.038056542357022,3072,False,"H0,H1,H2",False,
base_0000,test,ba,source,use,noop,6,0,4,2,-2.25,-2.25,0.0,-2.25,0.0,0,0,1,0,0.0,0.0,20.038056542357022,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,def_source,whole_state,6,3072,2,4,-0.9062499403953552,-0.9062499403953552,0.0,-0.9374999403953552,0.03125,0,0,1,0,0.0,0.0,21.083409495768766,3072,True,"H0,H1,H2",False,
base_0000,test,ba,target,def_source,noop,6,0,2,4,-0.9375,-0.9375,0.0,-0.9374999403953552,-5.960464477539063e-08,0,0,1,0,0.0,0.0,21.083409495768766,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,def_target,whole_state,6,3072,2,4,-0.90625,-1.0625,-0.15625,-0.9374999403953552,0.031249940395355225,0,0,1,0,0.539035564110252,10.859735483818575,20.14660294584454,3072,False,"H0,H1,H2",False,
base_0000,test,ba,target,def_target,noop,6,0,2,4,-0.9375,-0.9375,0.0,-0.9374999403953552,-5.960464477539063e-08,0,0,1,0,0.0,0.0,20.14660294584454,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,mutation,whole_state,6,3072,2,4,-0.9062499403953552,-0.15625,0.7499999403953552,-0.9374999403953552,0.03125,0,0,1,0,1.0111890894165925,20.287464339613393,20.062977886082894,3072,False,"H0,H1,H2",False,
base_0000,test,ba,target,mutation,noop,6,0,2,4,-0.9375,-0.9375,0.0,-0.9374999403953552,-5.960464477539063e-08,0,0,1,0,0.0,0.0,20.062977886082894,0,True,"H0,H1,H2",False,
base_0000,test,ba,target,use,whole_state,6,3072,2,4,-0.9374999403953552,1.1875,2.1249999403953552,-0.9374999403953552,0.0,1,1,0,0,0.727505572323865,15.452498927116459,21.240385661592487,3072,False,"H0,H1,H2",False,
base_0000,test,ba,target,use,noop,6,0,2,4,-0.9375,-0.9375,0.0,-0.9374999403953552,-5.960464477539063e-08,0,0,1,0,0.0,0.0,21.240385661592487,0,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_source,whole_state,6,3072,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,21.439174760893955,3072,True,"H0,H1,H2",False,
base_0001,test,ab,source,def_source,noop,6,0,3,2,-1.875,-1.875,0.0,-1.8750001192092896,1.1920928955078125e-07,0,0,1,0,0.0,0.0,21.439174760893955,0,True,"H0,H1,H2",False,
