arm,variant,site,rank,rank_min,rank_max,layer,split,delta_ld,ci_lo,ci_hi,flip_rate,says_installed_rate,says_other_rate,edit_fraction,edit_norm,state_norm,n,n_bases
ab,noop,def_source,0,0,0,6,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,21.868440604104315,560,280
ab,noop,def_source,0,0,0,12,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,31.71484733347982,560,280
ab,noop,def_source,0,0,0,18,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,40.67551109031835,560,280
ab,noop,def_target,0,0,0,6,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,20.22654362806196,560,280
ab,noop,def_target,0,0,0,12,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,30.920587961522674,560,280
ab,noop,def_target,0,0,0,18,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,38.95860596723402,560,280
ab,noop,mutation,0,0,0,6,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,20.265836085486985,560,280
ab,noop,mutation,0,0,0,12,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,30.782421351917737,560,280
ab,noop,mutation,0,0,0,18,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,41.295656894192796,560,280
ab,noop,use,0,0,0,6,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,20.589817392968353,560,280
ab,noop,use,0,0,0,12,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,31.946411958899397,560,280
ab,noop,use,0,0,0,18,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,40.72508881956403,560,280
ab,whole_state,def_source,3072,3072,3072,6,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,21.868440604104315,560,280
ab,whole_state,def_source,3072,3072,3072,12,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,31.71484733347982,560,280
ab,whole_state,def_source,3072,3072,3072,18,test,0.0,0.0,0.0,0.0,0.023214285714285715,0.0,0.0,0.0,40.67551109031835,560,280
ab,whole_state,def_target,3072,3072,3072,6,test,0.04810267787958895,0.02965959731223328,0.06752511012367902,0.0,0.0125,0.0,0.49528591800670785,10.006904089654771,20.22654362806196,560,280
ab,whole_state,def_target,3072,3072,3072,12,test,0.24483816905745437,0.21679617877384383,0.2737165166570672,0.014285714285714285,0.03571428571428571,0.0,0.46355033967951714,14.31372965331915,30.920587961522674,560,280
ab,whole_state,def_target,3072,3072,3072,18,test,0.42106584906578065,0.3853473773731717,0.4575976588896342,0.06607142857142857,0.09285714285714286,0.0,0.3966008121208903,15.446632805869779,38.95860596723402,560,280
ab,whole_state,mutation,3072,3072,3072,6,test,0.593247767378177,0.5521205371432006,0.6331773169378616,0.19285714285714287,0.21964285714285714,0.0,0.9516957208130237,19.268637078340706,20.265836085486985,560,280
ab,whole_state,mutation,3072,3072,3072,12,test,0.33889509146767005,0.3146763414463827,0.3619496390848819,0.05,0.07321428571428572,0.0,0.8888190812590245,27.288833793434186,30.782421351917737,560,280
ab,whole_state,mutation,3072,3072,3072,18,test,0.0233537955475705,0.015736608896404505,0.03125000005854027,0.0017857142857142857,0.023214285714285715,0.0,0.7533818306254133,31.02366818210095,41.295656894192796,560,280
ab,whole_state,use,3072,3072,3072,6,test,1.5453683026134968,1.4922356296623391,1.6003962031951438,0.5321428571428571,0.5589285714285714,0.0,0.7602812276261521,15.629302567603967,20.589817392968353,560,280
ab,whole_state,use,3072,3072,3072,12,test,1.6270647294819356,1.5684751652979425,1.6830503589686538,0.5964285714285714,0.6267857142857143,0.0,0.7812725816730232,24.95096561756968,31.946411958899397,560,280
ab,whole_state,use,3072,3072,3072,18,test,0.10008370445242949,0.09204729039222002,0.10825892862730793,0.007142857142857143,0.02857142857142857,0.0,0.6469766217521855,26.321908052147574,40.72508881956403,560,280
ba,noop,def_source,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,21.818028401517253,560,280
ba,noop,def_source,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,31.773823376223365,560,280
ba,noop,def_source,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,40.67469529019504,560,280
ba,noop,def_target,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,20.283796749778666,560,280
ba,noop,def_target,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,30.92678563572698,560,280
ba,noop,def_target,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,38.96178922039575,560,280
ba,noop,mutation,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,20.265275019718448,560,280
ba,noop,mutation,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,30.787149395367052,560,280
ba,noop,mutation,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,41.30223630149526,560,280
ba,noop,use,0,0,0,6,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,20.603121377949467,560,280
ba,noop,use,0,0,0,12,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,31.932115374909262,560,280
ba,noop,use,0,0,0,18,test,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,40.720902609089514,560,280
ba,whole_state,def_source,3072,3072,3072,6,test,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,21.818028401517253,560,280
ba,whole_state,def_source,3072,3072,3072,12,test,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,31.773823376223365,560,280
ba,whole_state,def_source,3072,3072,3072,18,test,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,40.67469529019504,560,280
ba,whole_state,def_target,3072,3072,3072,6,test,0.043247769666569576,0.02335100416892341,0.06280901164614727,0.0017857142857142857,0.008928571428571428,0.0,0.4961520316455127,10.052294825269444,20.283796749778666,560,280
ba,whole_state,def_target,3072,3072,3072,12,test,0.24511718515838896,0.21456194127776793,0.27497976870808216,0.0125,0.01607142857142857,0.0,0.46414220292423697,14.334845912129108,30.92678563572698,560,280
ba,whole_state,def_target,3072,3072,3072,18,test,0.4159040182296719,0.3766741076431104,0.45574776865674976,0.09464285714285714,0.10714285714285714,0.0,0.39607647912881816,15.428611537313193,38.96178922039575,560,280
ba,whole_state,mutation,3072,3072,3072,6,test,0.5835658465112958,0.5427071667662157,0.6265373872832528,0.21785714285714286,0.22857142857142856,0.0,0.9508322849166619,19.250532458197547,20.265275019718448,560,280
ba,whole_state,mutation,3072,3072,3072,12,test,0.3308593755321843,0.3065255354743983,0.3553020374343864,0.044642857142857144,0.05892857142857143,0.0,0.8871213361221038,27.240780535121907,30.787149395367052,560,280
ba,whole_state,mutation,3072,3072,3072,18,test,0.017215404340199063,0.008983682797157338,0.02558733781400535,0.0,0.0125,0.0,0.7527990878560006,31.00400110034237,41.30223630149526,560,280
ba,whole_state,use,3072,3072,3072,6,test,1.573939731291362,1.5192787396694933,1.6285442234016956,0.5696428571428571,0.5821428571428572,0.0,0.759893580958659,15.631210600592821,20.603121377949467,560,280
ba,whole_state,use,3072,3072,3072,12,test,1.6598493299313954,1.6018938343426479,1.7180929160397498,0.6321428571428571,0.6464285714285715,0.0,0.7826649646056383,24.984190342581844,31.932115374909262,560,280
ba,whole_state,use,3072,3072,3072,18,test,0.10912388100155762,0.10145019256376794,0.11724399783515504,0.0035714285714285713,0.017857142857142856,0.0,0.6478164456184164,26.353037247842785,40.720902609089514,560,280
