arm,variant,site,layer,split,delta_ld,ci_lo,ci_hi,says_installed_rate,says_other_rate,flip_rate,edit_norm,edit_fraction,n,n_bases,vs_das_binding,vs_das_lo,vs_das_hi
ab,das_binding,use,12,test,7.7404017855546305,7.6617313066124915,7.816247907694695,1.0,0.0,0.9767857142857143,14.884236278409244,0.4660048507177728,560,280,,,
ab,das_answer_control,use,12,test,4.751674105493086,4.595190427260739,4.900032084420589,0.9660714285714286,0.0,0.9428571428571428,14.884236278409247,0.4660048507177728,560,280,2.9887276800615448,2.8441692251685478,3.153198242228744
ab,mean_difference,use,12,test,1.0662109376596554,1.025055106342105,1.10731026819508,0.4714285714285714,0.0,0.44821428571428573,22.2518617005072,0.696682330509531,560,280,6.674190847894975,6.603698382281832,6.741530413134024
ab,random_rank,use,12,test,0.003348213966403687,0.0017578124707298616,0.004771903750619712,0.023214285714285715,0.0,0.0,0.4219574948083649,0.013217929180552795,560,280,7.737053571588227,7.657865510814424,7.813121509832729
ab,random_norm,use,12,test,0.41721540061490875,0.3790994690438466,0.4537988275914852,0.2125,0.0,0.18392857142857144,16.441353501923828,0.5147643531137949,560,280,7.323186384939722,7.241123044642487,7.402239117481347
ab,whole_state,use,12,test,1.6270647294819356,1.5684751652979425,1.6830503589686538,0.6267857142857143,0.0,0.5964285714285714,24.95096561756968,0.7812725816730232,560,280,6.1133370560726945,6.031276505107858,6.188847661515964
ba,das_binding,use,12,test,7.764871653222612,7.6929359672777355,7.834213171085077,1.0,0.0,0.9875,14.910400930479653,0.46704443411044433,560,280,,,
ba,das_answer_control,use,12,test,1.105245533425893,0.9235156252088824,1.276788499911449,0.4517857142857143,0.005357142857142857,0.44285714285714284,14.910400930479655,0.46704443411044444,560,280,6.659626119796719,6.4995096315842655,6.838839985037755
ba,mean_difference,use,12,test,1.0777901800083263,1.03886439723894,1.116886859807585,0.4589285714285714,0.0,0.44285714285714284,22.29003930724401,0.6982033492416775,560,280,6.687081473214286,6.618330776026206,6.751842913332262
ba,random_rank,use,12,test,0.00357142649590969,0.0020640305270041735,0.005078822198723038,0.014285714285714285,0.0,0.0,0.4191324264968019,0.013134483177808121,560,280,7.761300226726703,7.689284322027649,7.830638253912329
ba,random_norm,use,12,test,0.42327008694410323,0.38772042179746286,0.4578982967204813,0.22321428571428573,0.0,0.20535714285714285,16.424878620490862,0.5144908045997625,560,280,7.341601566278508,7.267101703886209,7.414650531600096
ba,whole_state,use,12,test,1.6598493299313954,1.6018938343426479,1.7180929160397498,0.6464285714285715,0.0,0.6321428571428571,24.984190342581844,0.7826649646056383,560,280,6.105022323291217,6.0263504470552185,6.184725173260751
