base_id,split,arm,binding,site,variant,layer,rank,own_answer,installed_answer,clean_logit_diff,patched_logit_diff,delta_ld,clean_logit_diff_unbatched,clean_path_shift,flipped,says_installed,says_own,says_other,edit_fraction,edit_norm,state_norm,effective_rank,degenerate,gates_required,gate_override,gate_override_reason
base_0251,calib,ab,source,use,das_binding,12,1,2,3,-1.84375,7.5625,9.40625,-1.84375,0.0,1,1,0,0,0.4705450812467561,14.836828327813212,31.531151677330378,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ab,source,use,whole_state,12,3072,2,3,-1.8437501192092896,0.8125,2.6562501192092896,-1.84375,-1.1920928955078125e-07,1,1,0,0,0.8126015401690639,25.62226241630303,31.531151677330378,3072,False,"H0,H1,H2,H3",False,
base_0251,calib,ab,target,use,das_binding,12,1,3,2,-1.5,6.03125,7.53125,-1.5,0.0,1,1,0,0,0.47657518194231097,14.836828327813212,31.1321883513632,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ab,target,use,whole_state,12,3072,3,2,-1.5,-0.15625,1.34375,-1.5,0.0,0,0,1,0,0.8230151419850669,25.62226241630303,31.1321883513632,3072,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,source,use,das_binding,12,1,3,2,-2.875,6.28125,9.15625,-2.875,0.0,1,1,0,0,0.47766462996046827,15.003113459557017,31.40930376360226,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,source,use,whole_state,12,3072,3,2,-2.84375,-0.96875,1.875,-2.875,0.03125,0,0,1,0,0.8134074951104073,25.548563097513604,31.40930376360226,3072,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,target,use,das_binding,12,1,2,3,-0.40625,6.609375,7.015625,-0.4375,0.03125,1,1,0,0,0.4765230677649874,15.003113459557017,31.484548124659273,1,False,"H0,H1,H2,H3",False,
base_0251,calib,ba,target,use,whole_state,12,3072,2,3,-0.4375,0.375,0.8125,-0.4375,0.0,1,1,0,0,0.811463547018593,25.548563097513604,31.484548124659273,3072,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,source,use,das_binding,12,1,2,3,-1.0,6.46875,7.46875,-1.03125,0.03125,1,1,0,0,0.4694094257545339,15.001062048021927,31.957308960954613,1,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,source,use,whole_state,12,3072,2,3,-1.03125,0.21875,1.25,-1.03125,0.0,1,1,0,0,0.7944422627689522,25.388236842947297,31.957308960954613,3072,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,target,use,das_binding,12,1,3,2,-0.46875,6.71875,7.1875,-0.46875,0.0,1,1,0,0,0.4737661345948169,15.001062048021927,31.66343255169856,1,False,"H0,H1,H2,H3",False,
base_0253,calib,ab,target,use,whole_state,12,3072,3,2,-0.46875,1.0,1.46875,-0.46875,0.0,1,1,0,0,0.8018156844332838,25.388236842947297,31.66343255169856,3072,False,"H0,H1,H2,H3",False,
base_0253,calib,ba,source,use,das_binding,12,1,3,2,-0.4375,5.15625,5.59375,-0.4687499403953552,0.031249940395355225,1,1,0,0,0.45814916524297633,14.706248509028214,32.099258548749845,1,False,"H0,H1,H2,H3",False,
base_0253,calib,ba,source,use,whole_state,12,3072,3,2,-0.4375000596046448,0.375,0.8125000596046448,-0.4687499403953552,0.03124988079071045,1,1,0,0,0.7834298713210389,25.14751799434785,32.099258548749845,3072,False,"H0,H1,H2,H3",False,
base_0253,calib,ba,target,use,das_binding,12,1,2,3,-0.625,6.90625,7.53125,-0.625,0.0,1,1,0,0,0.46197384476918196,14.706248509028214,31.833508921648935,1,False,"H0,H1,H2,H3",False,
base_0253,calib,ba,target,use,whole_state,12,3072,2,3,-0.625,1.09375,1.71875,-0.625,0.0,1,1,0,0,0.7899700298902909,25.14751799434785,31.833508921648935,3072,False,"H0,H1,H2,H3",False,
base_0257,calib,ab,source,use,das_binding,12,1,2,6,-1.375,6.765625,8.140625,-1.34375,-0.03125,1,1,0,0,0.47131717938959805,15.015669977574385,31.858948992738075,1,False,"H0,H1,H2,H3",False,
base_0257,calib,ab,source,use,whole_state,12,3072,2,6,-1.34375,0.46875,1.8125,-1.34375,0.0,1,1,0,0,0.7905574526289613,25.186329559135025,31.858948992738075,3072,False,"H0,H1,H2,H3",False,
base_0257,calib,ab,target,use,das_binding,12,1,6,2,-0.875,5.921875,6.796875,-0.875,0.0,1,1,0,0,0.4806341286952597,15.015669977574385,31.241372763803234,1,False,"H0,H1,H2,H3",False,
base_0257,calib,ab,target,use,whole_state,12,3072,6,2,-0.8749999403953552,0.3125,1.1874999403953552,-0.875,5.960464477539063e-08,1,1,0,0,0.8061851106720995,25.186329559135025,31.241372763803234,3072,False,"H0,H1,H2,H3",False,
base_0257,calib,ba,source,use,das_binding,12,1,6,2,-1.8125,6.484375,8.296875,-1.8125,0.0,1,1,0,0,0.48171748383363844,15.336449120625806,31.837019903396868,1,False,"H0,H1,H2,H3",False,
base_0257,calib,ba,source,use,whole_state,12,3072,6,2,-1.8125,0.375,2.1875,-1.8125,0.0,1,1,0,0,0.8090147257503183,25.75661792585404,31.837019903396868,3072,False,"H0,H1,H2,H3",False,
base_0257,calib,ba,target,use,das_binding,12,1,2,6,-0.5312500596046448,6.734375,7.265625059604645,-0.5312500596046448,0.0,1,1,0,0,0.48759515285056043,15.336449120625804,31.453243599667537,1,False,"H0,H1,H2,H3",False,
base_0257,calib,ba,target,use,whole_state,12,3072,2,6,-0.53125,0.78125,1.3125,-0.5312500596046448,5.960464477539063e-08,1,1,0,0,0.8188859074021316,25.75661792585404,31.453243599667537,3072,False,"H0,H1,H2,H3",False,
base_0259,calib,ab,source,use,das_binding,12,1,7,3,-3.125,6.28125,9.40625,-3.125,0.0,1,1,0,0,0.459453670957654,14.475271333282333,31.505399234510545,1,False,"H0,H1,H2,H3",False,
base_0259,calib,ab,source,use,whole_state,12,3072,7,3,-3.125,-0.75,2.375,-3.125,0.0,0,0,1,0,0.7742849405296767,24.394156172656718,31.505399234510545,3072,False,"H0,H1,H2,H3",False,
