layer,lens,comparison,stratum,accuracy,mean_margin,n
-1,clens,control_dep,all,0.4961832061068702,-0.0019133851468368082,917
-1,clens,control_dep,indent_matched,0.5024752475247525,-0.00012098105237035467,808
-1,clens,control_dep,non_dependent,0.44954128440366975,-0.015200197149854187,109
-1,clens,guard_var,all,0.5,0.0016945640246073404,150
-1,clens,guard_var,present_in_program,0.5,0.0016945640246073404,150
-1,clens,next_ident,all,0.5333333333333333,0.011149842739105225,150
-1,clens,next_ident,present_in_program,0.5333333333333333,0.011149842739105225,150
-1,logit,control_dep,all,0.48527808069792805,-0.021868111628677488,917
-1,logit,control_dep,indent_matched,0.5012376237623762,-0.000730362388830964,808
-1,logit,control_dep,non_dependent,0.3669724770642202,-0.1785589500304756,109
-1,logit,guard_var,all,0.5733333333333334,0.10171332364281019,150
-1,logit,guard_var,present_in_program,0.5733333333333334,0.10171332364281019,150
-1,logit,next_ident,all,0.44,-0.05367281819383303,150
-1,logit,next_ident,present_in_program,0.44,-0.05367281819383303,150
-1,random,control_dep,all,0.5158124318429662,0.0272711316040324,917
-1,random,control_dep,indent_matched,0.5086633663366337,0.021199309423860935,808
-1,random,control_dep,non_dependent,0.5688073394495413,0.07228060244420252,109
-1,random,guard_var,all,0.46,-0.03954492072264353,150
-1,random,guard_var,present_in_program,0.46,-0.03954492072264353,150
-1,random,next_ident,all,0.5666666666666667,0.1568649234374364,150
-1,random,next_ident,present_in_program,0.5666666666666667,0.1568649234374364,150
0,clens,control_dep,all,0.5016357688113413,-0.001489047135755566,917
0,clens,control_dep,indent_matched,0.5086633663366337,0.0005578124287104843,808
0,clens,control_dep,non_dependent,0.44954128440366975,-0.01666209785216445,109
0,clens,guard_var,all,0.5266666666666666,0.0029197955131530762,150
0,clens,guard_var,present_in_program,0.5266666666666666,0.0029197955131530762,150
0,clens,next_ident,all,0.5866666666666667,0.012123355070749919,150
0,clens,next_ident,present_in_program,0.5866666666666667,0.012123355070749919,150
0,logit,control_dep,all,0.48091603053435117,-0.01454606613260059,917
0,logit,control_dep,indent_matched,0.4962871287128713,0.0019506819288034251,808
0,logit,control_dep,non_dependent,0.3669724770642202,-0.13683388662447624,109
0,logit,guard_var,all,0.52,0.06973396256566047,150
0,logit,guard_var,present_in_program,0.52,0.06973396256566047,150
0,logit,next_ident,all,0.4066666666666667,-0.059344864586989086,150
0,logit,next_ident,present_in_program,0.4066666666666667,-0.059344864586989086,150
0,random,control_dep,all,0.5059978189749182,0.00029032172852540094,917
0,random,control_dep,indent_matched,0.5037128712871287,0.005186306829057117,808
0,random,control_dep,non_dependent,0.5229357798165137,-0.03600285222770971,109
0,random,guard_var,all,0.5933333333333334,0.1402764755487442,150
0,random,guard_var,present_in_program,0.5933333333333334,0.1402764755487442,150
0,random,next_ident,all,0.4866666666666667,-0.117694191634655,150
0,random,next_ident,present_in_program,0.4866666666666667,-0.117694191634655,150
3,clens,control_dep,all,0.4721919302071974,-0.002556990966152079,917
3,clens,control_dep,indent_matched,0.48267326732673266,-0.0012940396324242695,808
3,clens,control_dep,non_dependent,0.3944954128440367,-0.011919052229015105,109
3,clens,guard_var,all,0.4866666666666667,-0.0006313812732696533,150
3,clens,guard_var,present_in_program,0.4866666666666667,-0.0006313812732696533,150
3,clens,next_ident,all,0.4666666666666667,0.0013028236230214437,150
3,clens,next_ident,present_in_program,0.4666666666666667,0.0013028236230214437,150
3,logit,control_dep,all,0.4841875681570338,-0.011229678793457888,917
3,logit,control_dep,indent_matched,0.4777227722772277,-0.024175985043149183,808
3,logit,control_dep,non_dependent,0.5321100917431193,0.08473927028682254,109
3,logit,guard_var,all,0.46,-0.0065274511774381,150
3,logit,guard_var,present_in_program,0.46,-0.0065274511774381,150
3,logit,next_ident,all,0.44,-0.06585318704446157,150
3,logit,next_ident,present_in_program,0.44,-0.06585318704446157,150
3,random,control_dep,all,0.5223555070883316,0.17600948907101818,917
3,random,control_dep,indent_matched,0.5074257425742574,0.07871483334589123,808
