task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
binding,-1,comment_prose,0,0.0,0.7508878741755454,1971
binding,-1,comment_prose,50,57.0,0.7548223350253808,1970
binding,-1,comment_prose,100,115.0,0.7584982242516489,1971
binding,-1,comment_prose,200,202.0,0.756468797564688,1971
binding,-1,comment_prose,500,529.0,0.760284408329101,1969
binding,-1,comment_prose,1000,1009.0,0.7583756345177665,1970
binding,-1,competing_update,0,0.0,0.7574835109081685,1971
binding,-1,competing_update,50,55.0,0.7656012176560122,1971
binding,-1,competing_update,100,103.0,0.7671232876712328,1971
binding,-1,competing_update,200,205.0,0.7654822335025381,1970
binding,-1,competing_update,500,505.0,0.7700507614213198,1970
binding,-1,competing_update,1000,1002.0,0.7463216641298833,1971
binding,-1,dead_code,0,0.0,0.7498731608320649,1971
binding,-1,dead_code,50,51.0,0.7959183673469388,2401
binding,-1,dead_code,100,103.0,0.8225633702249197,2801
binding,-1,dead_code,200,207.0,0.7314634823660094,3601
binding,-1,dead_code,500,529.0,0.6764350973970005,5801
binding,-1,dead_code,1000,1009.0,0.6891456504832796,9001
binding,-1,lexical_decoy,0,0.0,0.7539320142059868,1971
binding,-1,lexical_decoy,50,71.0,0.8212226066897347,2601
binding,-1,lexical_decoy,100,119.0,0.8280573142285905,3001
binding,-1,lexical_decoy,200,215.0,0.7851500789889415,3798
binding,-1,lexical_decoy,500,519.0,0.7338505650193962,5929
binding,-1,lexical_decoy,1000,1023.0,0.7138320008761362,9131
binding,-1,scope_shadow,0,0.0,0.7483510908168443,1971
binding,-1,scope_shadow,50,53.0,0.4929510155316607,4185
binding,-1,scope_shadow,100,107.0,0.3358944807273659,7809
binding,-1,scope_shadow,200,219.0,0.191980182690819,19377
binding,-1,scope_shadow,500,519.0,0.08867028586200797,73497
binding,-1,scope_shadow,1000,1019.0,0.04477986077437065,243346
binding,0,comment_prose,0,0.0,0.9979705733130391,1971
binding,0,comment_prose,50,57.0,0.8558375634517766,1970
binding,0,comment_prose,100,115.0,0.8305428716387621,1971
binding,0,comment_prose,200,202.0,0.832572298325723,1971
binding,0,comment_prose,500,529.0,0.829862874555612,1969
binding,0,comment_prose,1000,1009.0,0.8071065989847716,1970
binding,0,competing_update,0,0.0,0.9979705733130391,1971
binding,0,competing_update,50,55.0,0.8985286656519533,1971
binding,0,competing_update,100,103.0,0.8878741755454084,1971
binding,0,competing_update,200,205.0,0.868020304568528,1970
binding,0,competing_update,500,505.0,0.86751269035533,1970
binding,0,competing_update,1000,1002.0,0.8665651953323186,1971
binding,0,dead_code,0,0.0,0.9979705733130391,1971
binding,0,dead_code,50,51.0,0.9533527696793003,2401
binding,0,dead_code,100,103.0,0.9578721885041057,2801
binding,0,dead_code,200,207.0,0.7858928075534574,3601
binding,0,dead_code,500,529.0,0.6590243061541113,5801
binding,0,dead_code,1000,1009.0,0.6323741806465948,9001
binding,0,lexical_decoy,0,0.0,0.9979705733130391,1971
binding,0,lexical_decoy,50,71.0,0.9250288350634371,2601
binding,0,lexical_decoy,100,119.0,0.8933688770409863,3001
binding,0,lexical_decoy,200,215.0,0.7809373354397051,3798
binding,0,lexical_decoy,500,519.0,0.6987687637038287,5929
binding,0,lexical_decoy,1000,1023.0,0.648340816997043,9131
binding,0,scope_shadow,0,0.0,0.9979705733130391,1971
binding,0,scope_shadow,50,53.0,0.8157706093189964,4185
binding,0,scope_shadow,100,107.0,0.7369701626328595,7809
binding,0,scope_shadow,200,219.0,0.6914899107188935,19377
binding,0,scope_shadow,500,519.0,0.6991577887532825,73497
binding,0,scope_shadow,1000,1019.0,0.7289661634051926,243346
binding,3,comment_prose,0,0.0,0.9994926433282597,1971
binding,3,comment_prose,50,57.0,0.8436548223350254,1970
binding,3,comment_prose,100,115.0,0.8193810248604769,1971
binding,3,comment_prose,200,202.0,0.817351598173516,1971
binding,3,comment_prose,500,529.0,0.7958354494667343,1969
binding,3,comment_prose,1000,1009.0,0.7796954314720812,1970
binding,3,competing_update,0,0.0,0.9994926433282597,1971
binding,3,competing_update,50,55.0,0.9117199391171994,1971
binding,3,competing_update,100,103.0,0.8878741755454084,1971
binding,3,competing_update,200,205.0,0.8324873096446701,1970
binding,3,competing_update,500,505.0,0.799492385786802,1970
binding,3,competing_update,1000,1002.0,0.7965499746321664,1971
binding,3,dead_code,0,0.0,0.9994926433282597,1971
binding,3,dead_code,50,51.0,0.9054560599750104,2401
binding,3,dead_code,100,103.0,0.876472688325598,2801
binding,3,dead_code,200,207.0,0.8511524576506526,3601
binding,3,dead_code,500,529.0,0.8572659886226512,5801
binding,3,dead_code,1000,1009.0,0.8823464059548939,9001
binding,3,lexical_decoy,0,0.0,0.9994926433282597,1971
binding,3,lexical_decoy,50,71.0,0.8900422914263745,2601
binding,3,lexical_decoy,100,119.0,0.8970343218927024,3001
binding,3,lexical_decoy,200,215.0,0.8762506582411795,3798
binding,3,lexical_decoy,500,519.0,0.8667566200033733,5929
binding,3,lexical_decoy,1000,1023.0,0.8754791370058044,9131
binding,3,scope_shadow,0,0.0,0.9994926433282597,1971
binding,3,scope_shadow,50,53.0,0.822700119474313,4185
binding,3,scope_shadow,100,107.0,0.716609040850301,7809
binding,3,scope_shadow,200,219.0,0.6206327088816638,19377
binding,3,scope_shadow,500,519.0,0.5379947480849558,73497
binding,3,scope_shadow,1000,1019.0,0.4713412178544131,243346
binding,7,comment_prose,0,0.0,1.0,1971
binding,7,comment_prose,50,57.0,0.9700507614213199,1970
binding,7,comment_prose,100,115.0,0.9624556062912227,1971
binding,7,comment_prose,200,202.0,0.969558599695586,1971
binding,7,comment_prose,500,529.0,0.973082783138649,1969
binding,7,comment_prose,1000,1009.0,0.9634517766497462,1970
binding,7,competing_update,0,0.0,1.0,1971
binding,7,competing_update,50,55.0,0.898021308980213,1971
binding,7,competing_update,100,103.0,0.915271435819381,1971
binding,7,competing_update,200,205.0,0.9147208121827411,1970
binding,7,competing_update,500,505.0,0.8923857868020305,1970
binding,7,competing_update,1000,1002.0,0.8812785388127854,1971
binding,7,dead_code,0,0.0,1.0,1971
binding,7,dead_code,50,51.0,0.9591836734693877,2401
binding,7,dead_code,100,103.0,0.938236344162799,2801
binding,7,dead_code,200,207.0,0.9030824770896974,3601
binding,7,dead_code,500,529.0,0.8458886398896742,5801
binding,7,dead_code,1000,1009.0,0.8239084546161538,9001
binding,7,lexical_decoy,0,0.0,1.0,1971
binding,7,lexical_decoy,50,71.0,0.9554017685505575,2601
binding,7,lexical_decoy,100,119.0,0.9396867710763079,3001
binding,7,lexical_decoy,200,215.0,0.916535018430753,3798
binding,7,lexical_decoy,500,519.0,0.8866587957497049,5929
binding,7,lexical_decoy,1000,1023.0,0.83846238090023,9131
binding,7,scope_shadow,0,0.0,0.9989852866565195,1971
binding,7,scope_shadow,50,53.0,0.8219832735961768,4185
binding,7,scope_shadow,100,107.0,0.7338967857600205,7809
binding,7,scope_shadow,200,219.0,0.6577385560200237,19377
binding,7,scope_shadow,500,519.0,0.5776426248690423,73497
binding,7,scope_shadow,1000,1019.0,0.4785244055788877,243346
binding,11,comment_prose,0,0.0,0.9989852866565195,1971
binding,11,comment_prose,50,57.0,0.9964467005076142,1970
binding,11,comment_prose,100,115.0,0.9928970065956367,1971
binding,11,comment_prose,200,202.0,0.9883307965499746,1971
binding,11,comment_prose,500,529.0,0.9878110716099543,1969
binding,11,comment_prose,1000,1009.0,0.9827411167512691,1970
binding,11,competing_update,0,0.0,0.9984779299847792,1971
binding,11,competing_update,50,55.0,0.9178082191780822,1971
binding,11,competing_update,100,103.0,0.8802638254693049,1971
binding,11,competing_update,200,205.0,0.9116751269035533,1970
binding,11,competing_update,500,505.0,0.9015228426395939,1970
binding,11,competing_update,1000,1002.0,0.8878741755454084,1971
binding,11,dead_code,0,0.0,0.9994926433282597,1971
binding,11,dead_code,50,51.0,0.9550187421907539,2401
binding,11,dead_code,100,103.0,0.9275258836129954,2801
binding,11,dead_code,200,207.0,0.8719800055540128,3601
binding,11,dead_code,500,529.0,0.8145147388381313,5801
binding,11,dead_code,1000,1009.0,0.7790245528274636,9001
binding,11,lexical_decoy,0,0.0,0.9984779299847792,1971
binding,11,lexical_decoy,50,71.0,0.9046520569011919,2601
binding,11,lexical_decoy,100,119.0,0.886704431856048,3001
binding,11,lexical_decoy,200,215.0,0.8364928909952607,3798
binding,11,lexical_decoy,500,519.0,0.7969303423848878,5929
binding,11,lexical_decoy,1000,1023.0,0.7678238966159238,9131
binding,11,scope_shadow,0,0.0,1.0,1971
binding,11,scope_shadow,50,53.0,0.8497013142174432,4185
binding,11,scope_shadow,100,107.0,0.8168779613266743,7809
binding,11,scope_shadow,200,219.0,0.732414718480673,19377
binding,11,scope_shadow,500,519.0,0.654516510877995,73497
binding,11,scope_shadow,1000,1019.0,0.6082820346338136,243346
binding,15,comment_prose,0,0.0,0.9969558599695586,1971
binding,15,comment_prose,50,57.0,0.9903553299492386,1970
binding,15,comment_prose,100,115.0,0.9837645865043125,1971
binding,15,comment_prose,200,202.0,0.9797057331303907,1971
binding,15,comment_prose,500,529.0,0.973590655154901,1969
binding,15,comment_prose,1000,1009.0,0.9634517766497462,1970
binding,15,competing_update,0,0.0,0.9994926433282597,1971
binding,15,competing_update,50,55.0,0.8488077118214105,1971
binding,15,competing_update,100,103.0,0.7904616945712836,1971
binding,15,competing_update,200,205.0,0.8532994923857868,1970
binding,15,competing_update,500,505.0,0.8411167512690355,1970
binding,15,competing_update,1000,1002.0,0.8107559614408929,1971
binding,15,dead_code,0,0.0,0.9984779299847792,1971
binding,15,dead_code,50,51.0,0.9641815910037485,2401
binding,15,dead_code,100,103.0,0.9178864691181721,2801
binding,15,dead_code,200,207.0,0.8694806998056096,3601
binding,15,dead_code,500,529.0,0.7990001723840717,5801
binding,15,dead_code,1000,1009.0,0.7659148983446283,9001
binding,15,lexical_decoy,0,0.0,0.9984779299847792,1971
binding,15,lexical_decoy,50,71.0,0.903114186851211,2601
binding,15,lexical_decoy,100,119.0,0.8760413195601466,3001
binding,15,lexical_decoy,200,215.0,0.8499210110584519,3798
binding,15,lexical_decoy,500,519.0,0.8019902175746332,5929
binding,15,lexical_decoy,1000,1023.0,0.8040740335122112,9131
binding,15,scope_shadow,0,0.0,0.9979705733130391,1971
binding,15,scope_shadow,50,53.0,0.8812425328554361,4185
binding,15,scope_shadow,100,107.0,0.8316045588423614,7809
binding,15,scope_shadow,200,219.0,0.771223615626774,19377
binding,15,scope_shadow,500,519.0,0.6471556662176687,73497
binding,15,scope_shadow,1000,1019.0,0.5645706113928316,243346
binding,19,comment_prose,0,0.0,0.9989852866565195,1971
binding,19,comment_prose,50,57.0,0.9939086294416244,1970
binding,19,comment_prose,100,115.0,0.9873160832064941,1971
binding,19,comment_prose,200,202.0,0.9822425164890918,1971
binding,19,comment_prose,500,529.0,0.97866937531742,1969
binding,19,comment_prose,1000,1009.0,0.9700507614213199,1970
binding,19,competing_update,0,0.0,0.9989852866565195,1971
binding,19,competing_update,50,55.0,0.8680872653475393,1971
binding,19,competing_update,100,103.0,0.8340943683409436,1971
binding,19,competing_update,200,205.0,0.8715736040609137,1970
binding,19,competing_update,500,505.0,0.8629441624365483,1970
binding,19,competing_update,1000,1002.0,0.8680872653475393,1971
binding,19,dead_code,0,0.0,0.9994926433282597,1971
binding,19,dead_code,50,51.0,0.9571012078300708,2401
binding,19,dead_code,100,103.0,0.920742591931453,2801
binding,19,dead_code,200,207.0,0.8925298528186615,3601
binding,19,dead_code,500,529.0,0.8314083778658852,5801
binding,19,dead_code,1000,1009.0,0.7961337629152316,9001
binding,19,lexical_decoy,0,0.0,0.9989852866565195,1971
binding,19,lexical_decoy,50,71.0,0.8696655132641292,2601
binding,19,lexical_decoy,100,119.0,0.8757080973008997,3001
binding,19,lexical_decoy,200,215.0,0.8844128488678251,3798
