task,layer,filler_type,filler_target,filler_tokens_mean,accuracy,n
binding,-1,comment_prose,0,0.0,0.7325876970005084,1967
binding,-1,comment_prose,50,56.0,0.6907794192562404,1963
binding,-1,comment_prose,100,112.0,0.6943031536113937,1966
binding,-1,comment_prose,200,224.0,0.698880976602238,1966
binding,-1,comment_prose,500,512.0,0.694147582697201,1965
binding,-1,comment_prose,1000,1005.0,0.6907426246185148,1966
binding,-1,competing_update,0,0.0,0.7366818873668188,1971
binding,-1,competing_update,50,50.0,0.7498705334023822,1931
binding,-1,competing_update,100,104.0,0.7356671740233384,1971
binding,-1,competing_update,200,200.0,0.7356671740233384,1971
binding,-1,competing_update,500,500.0,0.7427701674277016,1971
binding,-1,competing_update,1000,1003.0,0.7422628107559615,1971
binding,-1,dead_code,0,0.0,0.7341451040081177,1971
binding,-1,dead_code,50,50.0,0.7821740941274469,2401
binding,-1,dead_code,100,100.0,0.8204212781149589,2801
binding,-1,dead_code,200,200.0,0.7314634823660094,3601
binding,-1,dead_code,500,511.0,0.566281675573177,5801
binding,-1,dead_code,1000,1004.0,0.4953809368546897,9201
binding,-1,lexical_decoy,0,0.0,0.7300862506341959,1971
binding,-1,lexical_decoy,50,72.0,0.8008458285274894,2601
binding,-1,lexical_decoy,100,120.0,0.7884038653782073,3001
binding,-1,lexical_decoy,200,216.0,0.6979742173112339,3801
binding,-1,lexical_decoy,500,520.0,0.5874020996500583,6001
binding,-1,lexical_decoy,1000,1024.0,0.5111967503385064,9601
binding,-1,scope_shadow,0,0.0,0.7331303906646373,1971
binding,-1,scope_shadow,50,60.0,0.4358876361551691,5233
binding,-1,scope_shadow,100,105.0,0.3113419727964014,9337
binding,-1,scope_shadow,200,201.0,0.1846329750743197,21865
binding,-1,scope_shadow,500,507.0,0.0756736057186014,94009
binding,-1,scope_shadow,1000,1000.0,0.037342721740029255,319259
binding,0,comment_prose,0,0.0,0.9974580579562786,1967
binding,0,comment_prose,50,56.0,0.7269485481406012,1963
binding,0,comment_prose,100,112.0,0.6342828077314344,1966
binding,0,comment_prose,200,224.0,0.5752797558494405,1966
binding,0,comment_prose,500,512.0,0.5541984732824428,1965
binding,0,comment_prose,1000,1005.0,0.5188199389623601,1966
binding,0,competing_update,0,0.0,0.9974632166412988,1971
binding,0,competing_update,50,50.0,0.8363542206110823,1931
binding,0,competing_update,100,104.0,0.8437341451040081,1971
binding,0,competing_update,200,200.0,0.7803145611364789,1971
binding,0,competing_update,500,500.0,0.7549467275494672,1971
binding,0,competing_update,1000,1003.0,0.7894469812278031,1971
binding,0,dead_code,0,0.0,0.9979705733130391,1971
binding,0,dead_code,50,50.0,0.8234069137859226,2401
binding,0,dead_code,100,100.0,0.8489825062477686,2801
binding,0,dead_code,200,200.0,0.7461816162177173,3601
binding,0,dead_code,500,511.0,0.6026547147043613,5801
binding,0,dead_code,1000,1004.0,0.638952287794805,9201
binding,0,lexical_decoy,0,0.0,0.9969558599695586,1971
binding,0,lexical_decoy,50,72.0,0.8239138792772011,2601
binding,0,lexical_decoy,100,120.0,0.8123958680439853,3001
binding,0,lexical_decoy,200,216.0,0.7074454091028677,3801
binding,0,lexical_decoy,500,520.0,0.6650558240293284,6001
binding,0,lexical_decoy,1000,1024.0,0.6680554108946984,9601
binding,0,scope_shadow,0,0.0,0.9974632166412988,1971
binding,0,scope_shadow,50,60.0,0.41180966940569463,5233
binding,0,scope_shadow,100,105.0,0.2937774445753454,9337
binding,0,scope_shadow,200,201.0,0.18385547678938943,21865
binding,0,scope_shadow,500,507.0,0.08109861821740472,94009
binding,0,scope_shadow,1000,1000.0,0.04196592735052105,319259
binding,3,comment_prose,0,0.0,1.0,1967
binding,3,comment_prose,50,56.0,0.9597554763117677,1963
binding,3,comment_prose,100,112.0,0.9460834181078331,1966
binding,3,comment_prose,200,224.0,0.9471007121057986,1966
binding,3,comment_prose,500,512.0,0.9017811704834605,1965
binding,3,comment_prose,1000,1005.0,0.8982706002034588,1966
binding,3,competing_update,0,0.0,0.9994926433282597,1971
binding,3,competing_update,50,50.0,0.9197307094769549,1931
binding,3,competing_update,100,104.0,0.9127346524606799,1971
binding,3,competing_update,200,200.0,0.9041095890410958,1971
binding,3,competing_update,500,500.0,0.8701166920345003,1971
binding,3,competing_update,1000,1003.0,0.8665651953323186,1971
binding,3,dead_code,0,0.0,0.9994926433282597,1971
