id,n_loads,n_candidate_uses,n_defuse_edges,n_ambiguous_uses,n_shadowing_uses,n_legacy_edges_rejected,execution_passed,alignment_passed
sample_0,7,7,7,0,0,0,True,True
sample_1,7,6,6,0,0,0,True,True
sample_2,7,6,6,0,0,0,True,True
sample_3,5,4,4,0,0,0,True,True
sample_4,2,2,2,0,0,0,True,True
sample_11,10,10,10,0,0,0,True,True
sample_30,11,7,7,0,0,0,True,True
sample_32,5,4,4,0,0,0,True,True
sample_35,7,7,7,0,0,0,True,True
sample_37,7,5,5,0,0,0,True,True
sample_94,2,2,2,0,0,0,True,True
sample_99,3,3,3,0,0,0,True,True
sample_100,7,7,7,0,0,0,True,True
sample_109,4,4,4,0,0,0,True,True
sample_119,9,7,9,1,0,0,True,True
sample_147,6,5,5,0,0,0,True,True
sample_164,2,2,2,0,0,0,True,True
sample_168,6,6,6,0,0,0,True,True
sample_208,6,6,6,0,0,0,True,True
sample_225,1,1,1,0,0,0,True,True
sample_228,2,2,2,0,0,0,True,True
sample_230,8,7,10,3,0,0,True,True
sample_233,8,5,5,0,0,0,True,True
sample_243,2,2,2,0,0,0,True,True
sample_255,12,10,13,3,0,0,True,True
sample_286,12,10,10,0,0,0,True,True
sample_289,2,2,2,0,0,0,True,True
sample_349,6,6,6,0,0,0,True,True
sample_353,10,9,9,0,0,0,True,True
sample_394,5,4,5,1,0,0,True,True
sample_434,2,1,1,0,0,0,True,True
sample_437,4,4,6,2,0,0,True,True
sample_464,9,6,6,0,0,0,True,True
sample_522,4,4,4,0,0,0,True,True
sample_563,9,6,6,0,0,0,True,True
sample_579,10,9,9,0,0,0,True,True
sample_608,3,2,2,0,0,0,True,True
sample_609,12,12,12,0,0,0,True,True
sample_621,5,2,2,0,0,0,True,True
sample_659,7,6,6,0,0,0,True,True
sample_670,9,7,7,0,0,0,True,True
sample_697,16,14,14,0,0,0,True,True
sample_719,9,9,10,1,0,0,True,True
sample_723,5,5,5,0,0,0,True,True
sample_738,9,6,8,2,0,0,True,True
sample_759,10,9,13,2,0,0,True,True
sample_763,3,3,3,0,0,0,True,True
sample_764,10,10,13,3,0,0,True,True
sample_782,2,2,2,0,0,0,True,True
sample_786,9,9,9,0,0,0,True,True
