dataset_id,task,example_id,pos_i,pos_j,label,stratum,distance,name_i,name_j,extra
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,17,1,positive,13,nums,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,26,1,positive,22,nums,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,21,1,positive,13,output,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,36,1,positive,28,output,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,48,1,positive,40,output,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,30,1,positive,16,n,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,32,1,positive,18,n,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,36,0,diff_name,22,n,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,36,0,diff_name,35,f,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,30,0,diff_name,22,output,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,32,0,diff_name,31,f,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,32,0,diff_name,28,nums,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,26,0,diff_name,18,output,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,32,0,diff_name,24,output,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,26,0,diff_name,12,n,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,48,0,diff_name,47,f,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,17,0,diff_name,9,output,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,21,0,diff_name,7,n,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,36,0,diff_name,32,nums,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,21,0,diff_name,20,f,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,48,0,diff_name,44,nums,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,26,0,diff_name,25,f,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,17,0,diff_name,3,n,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,21,0,diff_name,17,nums,output,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,30,0,diff_name,26,nums,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,17,0,diff_name,16,f,nums,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,30,0,diff_name,29,f,n,False
sample_0,defuse_edge,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,48,0,diff_name,34,n,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,17,1,positive,13,nums,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,26,1,positive,22,nums,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,21,1,positive,13,output,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,36,1,positive,28,output,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,48,1,positive,40,output,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,30,1,positive,16,n,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,32,1,positive,18,n,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,17,26,1,positive,9,nums,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,21,36,1,positive,15,output,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,21,48,1,positive,27,output,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,30,32,1,positive,2,n,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,36,48,1,positive,12,output,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,48,0,diff_name,47,f,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,17,0,diff_name,16,f,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,8,0,diff_name,4,nums,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,48,0,diff_name,34,n,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,26,48,0,diff_name,22,nums,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,17,0,diff_name,9,output,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,32,48,0,diff_name,16,n,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,36,0,diff_name,22,n,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,1,21,0,diff_name,20,f,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,21,30,0,diff_name,9,output,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,17,0,diff_name,3,n,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,14,0,diff_name,10,nums,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,17,32,0,diff_name,15,nums,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,8,32,0,diff_name,24,output,n,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,4,21,0,diff_name,17,nums,output,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,14,26,0,diff_name,12,n,nums,False
sample_0,binding,9d2c2c268164fb2125085a165352e51a0115c1e77e3b4cb708117215e2d2c6a6,26,32,0,diff_name,6,nums,n,False
