example_id,layer,lens,stratum,positive_name,negative_name,distance_gap,margin,correct
synthetic_control_167154,-1,jlens,indent_matched,o,k,-15,0.09488427639007568,True
synthetic_control_167154,-1,logit,indent_matched,o,k,-15,0.26879316568374634,True
synthetic_control_167154,-1,random,indent_matched,o,k,-15,-1.2340121269226074,False
synthetic_control_167154,-1,jlens,indent_matched,k,o,1,-0.09488427639007568,False
synthetic_control_167154,-1,logit,indent_matched,k,o,1,-0.26879316568374634,False
synthetic_control_167154,-1,random,indent_matched,k,o,1,1.2340121269226074,True
synthetic_control_367930,-1,jlens,indent_matched,v,n,-29,0.011307954788208008,True
synthetic_control_367930,-1,logit,indent_matched,v,n,-29,-0.30385932326316833,False
synthetic_control_367930,-1,random,indent_matched,v,n,-29,0.8207957148551941,True
synthetic_control_367930,-1,jlens,indent_matched,v,w,-36,0.01932239532470703,True
synthetic_control_367930,-1,logit,indent_matched,v,w,-36,0.010740071535110474,True
synthetic_control_367930,-1,random,indent_matched,v,w,-36,0.7936151027679443,True
synthetic_control_367930,-1,jlens,indent_matched,v,h,-43,0.06012427806854248,True
synthetic_control_367930,-1,logit,indent_matched,v,h,-43,0.2959088385105133,True
synthetic_control_367930,-1,random,indent_matched,v,h,-43,0.29767656326293945,True
synthetic_control_367930,-1,jlens,indent_matched,v,y,-58,0.072456955909729,True
synthetic_control_367930,-1,logit,indent_matched,v,y,-58,-0.04592743515968323,False
synthetic_control_367930,-1,random,indent_matched,v,y,-58,0.8888179063796997,True
synthetic_control_367930,-1,jlens,indent_matched,o,y,-51,0.1740114688873291,True
synthetic_control_367930,-1,logit,indent_matched,o,y,-51,-0.07841271162033081,False
synthetic_control_367930,-1,random,indent_matched,o,y,-51,-1.3258922100067139,False
synthetic_control_367930,-1,jlens,indent_matched,o,w,-29,0.12087690830230713,True
synthetic_control_367930,-1,logit,indent_matched,o,w,-29,-0.02174520492553711,False
synthetic_control_367930,-1,random,indent_matched,o,w,-29,-1.4210948944091797,False
synthetic_control_367930,-1,jlens,indent_matched,o,u,-58,0.16866445541381836,True
synthetic_control_367930,-1,logit,indent_matched,o,u,-58,-0.5268280506134033,False
synthetic_control_367930,-1,random,indent_matched,o,u,-58,-0.8303691148757935,False
synthetic_control_367930,-1,jlens,indent_matched,o,h,-36,0.16167879104614258,True
synthetic_control_367930,-1,logit,indent_matched,o,h,-36,0.2634235620498657,True
synthetic_control_367930,-1,random,indent_matched,o,h,-36,-1.9170334339141846,False
synthetic_control_367930,-1,jlens,indent_matched,d,u,-51,0.059847116470336914,True
synthetic_control_367930,-1,logit,indent_matched,d,u,-51,-1.1461986303329468,False
synthetic_control_367930,-1,random,indent_matched,d,u,-51,1.2132511138916016,True
synthetic_control_367930,-1,jlens,indent_matched,d,h,-29,0.05286145210266113,True
synthetic_control_367930,-1,logit,indent_matched,d,h,-29,-0.35594701766967773,False
synthetic_control_367930,-1,random,indent_matched,d,h,-29,0.12658679485321045,True
synthetic_control_367930,-1,jlens,indent_matched,d,w,-22,0.012059569358825684,True
synthetic_control_367930,-1,logit,indent_matched,d,w,-22,-0.6411157846450806,False
synthetic_control_367930,-1,random,indent_matched,d,w,-22,0.6225253343582153,True
synthetic_control_367930,-1,jlens,indent_matched,d,y,-44,0.06519412994384766,True
synthetic_control_367930,-1,logit,indent_matched,d,y,-44,-0.6977832913398743,False
synthetic_control_367930,-1,random,indent_matched,d,y,-44,0.7177281379699707,True
synthetic_control_367930,-1,jlens,indent_matched,n,d,1,-0.00404512882232666,False
synthetic_control_367930,-1,logit,indent_matched,n,d,1,0.9557151794433594,True
synthetic_control_367930,-1,random,indent_matched,n,d,1,-0.6497059464454651,False
