layer,lens,stratum,accuracy,mean_margin,n
-1,jlens,all,0.49182115594329334,-0.001741058433848873,917
-1,jlens,indent_matched,0.4962871287128713,-0.0001721593117949986,808
-1,jlens,non_dependent,0.45871559633027525,-0.013371062934945483,109
-1,logit,all,0.48527808069792805,-0.01997073716204715,917
-1,logit,indent_matched,0.5012376237623762,-0.0011864521605248499,808
-1,logit,non_dependent,0.3669724770642202,-0.15921571221920328,109
-1,random,all,0.5081788440567067,0.021392048493986432,917
-1,random,indent_matched,0.5,0.013835328142389212,808
-1,random,non_dependent,0.5688073394495413,0.0774088378893126,109
0,jlens,all,0.5016357688113413,-0.001858220625599702,917
0,jlens,indent_matched,0.5074257425742574,-8.56413994685258e-05,808
0,jlens,non_dependent,0.45871559633027525,-0.014998073971599614,109
0,logit,all,0.4820065430752454,-0.015184066840320533,917
0,logit,indent_matched,0.4975247524752475,-0.0008241571485996246,808
0,logit,non_dependent,0.3669724770642202,-0.12163183776610488,109
0,random,all,0.5070883315158125,0.0101849695620906,917
0,random,indent_matched,0.5037128712871287,0.01530907662714472,808
0,random,non_dependent,0.5321100917431193,-0.02779923693849406,109
3,jlens,all,0.4743729552889858,-0.0022783815665749453,917
3,jlens,indent_matched,0.4839108910891089,-0.0012301318716294695,808
3,jlens,non_dependent,0.4036697247706422,-0.010048893066721225,109
3,logit,all,0.4776444929116685,-0.016088364948493184,917
3,logit,indent_matched,0.47029702970297027,-0.03101585860742201,808
3,logit,non_dependent,0.5321100917431193,0.09456681740393333,109
3,random,all,0.5190839694656488,0.1589616912954376,917
3,random,indent_matched,0.504950495049505,0.06487510510084063,808
3,random,non_dependent,0.6238532110091743,0.8564108807012576,109
7,jlens,all,0.5190839694656488,-0.0002412655133847452,917
7,jlens,indent_matched,0.5173267326732673,-0.001152830788552171,808
7,jlens,non_dependent,0.5321100917431193,0.006516025700700393,109
7,logit,all,0.5223555070883316,0.03592931103030364,917
7,logit,indent_matched,0.5074257425742574,0.015905594508541693,808
7,logit,non_dependent,0.6330275229357798,0.18436199864116284,109
7,random,all,0.5005452562704471,0.06464922021883525,917
7,random,indent_matched,0.4863861386138614,-0.02716030538229659,808
7,random,non_dependent,0.6055045871559633,0.7452189145831887,109
11,jlens,all,0.47001090512540894,-0.004116868618530432,917
11,jlens,indent_matched,0.474009900990099,-0.0031601563833727696,808
11,jlens,non_dependent,0.44036697247706424,-0.011208827205754201,109
11,logit,all,0.4983642311886587,0.01434391145487778,917
11,logit,indent_matched,0.47648514851485146,-0.04536627985463284,808
11,logit,non_dependent,0.6605504587155964,0.4569662470336354,109
11,random,all,0.48091603053435117,-0.06347779302391647,917
11,random,indent_matched,0.47896039603960394,-0.12508403644482097,808
11,random,non_dependent,0.4954128440366973,0.39319968114205456,109
15,jlens,all,0.4820065430752454,-0.0015911984469664396,917
15,jlens,indent_matched,0.4715346534653465,-0.0030635348936118704,808
15,jlens,non_dependent,0.5596330275229358,0.009323002001561156,109
15,logit,all,0.5190839694656488,0.05801598631828666,917
15,logit,indent_matched,0.504950495049505,-0.028850104844216073,808
15,logit,non_dependent,0.6238532110091743,0.7019407721834445,109
15,random,all,0.4830970556161396,-0.06768132785219402,917
15,random,indent_matched,0.4839108910891089,-0.106876445675988,808
15,random,non_dependent,0.47706422018348627,0.2228659675755632,109
19,jlens,all,0.46455834242093785,-0.01598447281765704,917
19,jlens,indent_matched,0.45792079207920794,-0.015769002166124854,808
19,jlens,non_dependent,0.5137614678899083,-0.01758172315195066,109
19,logit,all,0.4623773173391494,-0.28044094055923535,917
19,logit,indent_matched,0.4591584158415842,-0.3174659585819976,808
19,logit,non_dependent,0.48623853211009177,-0.005980256500594113,109
19,random,all,0.4983642311886587,-0.10598394791458529,917
19,random,indent_matched,0.49133663366336633,-0.13207580894231796,808
19,random,non_dependent,0.5504587155963303,0.08743094851117615,109
23,jlens,all,0.45038167938931295,-0.041540751377914825,917
23,jlens,indent_matched,0.4566831683168317,-0.037324505314083385,808
23,jlens,non_dependent,0.4036697247706422,-0.072795125869436,109
23,logit,all,0.45038167938931295,-1.8278871320976167,917
23,logit,indent_matched,0.4566831683168317,-1.6422945998682834,808
23,logit,non_dependent,0.4036697247706422,-3.2036556278893706,109
23,random,all,0.5027262813522355,-0.01161434173973982,917
23,random,indent_matched,0.5086633663366337,-0.008911090303618129,808
23,random,non_dependent,0.45871559633027525,-0.031653123027687774,109
