layer,readout,n_test,n_model_wrong,latent_first,early_warning_rate,readout_never_wrong,n_both_fail,mean_lead
-1,jlens,70,32,0,0.0,0,32,0.0
-1,logit,70,32,0,0.0,0,32,0.0
-1,probe,70,32,32,1.0,0,32,3.53125
-1,random,70,32,0,0.0,0,32,0.0
0,jlens,70,32,29,0.90625,0,32,2.5
0,logit,70,32,0,0.0,31,1,0.0
0,probe,70,32,0,0.0,0,32,0.0
0,random,70,32,0,0.0,19,13,-0.07692307692307693
3,jlens,70,32,19,0.59375,8,24,1.7083333333333333
3,logit,70,32,0,0.0,0,32,0.0
3,probe,70,32,4,0.125,28,4,1.0
3,random,70,32,26,0.8125,3,29,2.8275862068965516
7,jlens,70,32,0,0.0,0,32,0.0
7,logit,70,32,0,0.0,0,32,0.0
7,probe,70,32,21,0.65625,6,26,2.3076923076923075
7,random,70,32,26,0.8125,3,29,2.2758620689655173
11,jlens,70,32,6,0.1875,4,28,0.5
11,logit,70,32,0,0.0,0,32,0.0
11,probe,70,32,7,0.21875,13,19,0.5789473684210527
11,random,70,32,23,0.71875,4,28,2.9642857142857144
15,jlens,70,32,25,0.78125,0,32,2.625
15,logit,70,32,26,0.8125,4,28,2.25
15,probe,70,32,16,0.5,10,22,2.590909090909091
15,random,70,32,32,1.0,0,32,3.53125
19,jlens,70,32,0,0.0,17,15,-0.2
19,logit,70,32,32,1.0,0,32,3.53125
19,probe,70,32,16,0.5,16,16,3.5625
19,random,70,32,29,0.90625,2,30,3.033333333333333
23,jlens,70,32,32,1.0,0,32,3.53125
23,logit,70,32,6,0.1875,7,25,0.52
23,probe,70,32,9,0.28125,19,13,2.1538461538461537
23,random,70,32,23,0.71875,3,29,2.3448275862068964
27,jlens,70,32,25,0.78125,7,25,3.6
27,logit,70,32,13,0.40625,9,23,1.5217391304347827
27,probe,70,32,9,0.28125,22,10,2.8
27,random,70,32,20,0.625,9,23,2.782608695652174
31,jlens,70,32,18,0.5625,14,18,3.388888888888889
31,logit,70,32,18,0.5625,14,18,3.388888888888889
31,probe,70,32,9,0.28125,23,9,3.111111111111111
31,random,70,32,24,0.75,4,28,2.5357142857142856
