pair_id,base_id,template,op_family,split,variant,bound_value,bound_answer,other_answer,logp_bound,logp_other,logit_diff,correct,argmax_token_id,argmax_is_bound_answer,argmax_is_other_answer,error_type,both_counterfactuals_correct
base_0000_affine,base_0000,global_shadow,affine,calib,source,2,5,7,-0.16383354365825653,-4.6482086181640625,4.484375074505806,True,20,True,False,correct,True
base_0000_affine,base_0000,global_shadow,affine,calib,target,4,7,5,-0.11439642310142517,-4.051896572113037,3.937500149011612,True,22,True,False,correct,True
base_0000_mul_sub,base_0000,global_shadow,mul_sub,calib,source,2,1,5,-1.516954779624939,-3.0169548988342285,1.5000001192092896,True,15,False,False,other,True
base_0000_mul_sub,base_0000,global_shadow,mul_sub,calib,target,4,5,1,-1.6123188734054565,-1.9716938734054565,0.359375,True,20,True,False,correct,True
base_0000_threshold,base_0000,global_shadow,threshold,calib,source,2,0,1,-0.2773837447166443,-1.433633804321289,1.1562500596046448,True,15,True,False,correct,False
base_0000_threshold,base_0000,global_shadow,threshold,calib,target,4,1,0,-1.2063404321670532,-0.36259040236473083,-0.8437500298023224,False,15,False,True,wrong_binding,False
base_0000_index,base_0000,global_shadow,index,calib,source,2,5,0,-1.1610438823699951,-2.395418882369995,1.234375,True,20,True,False,correct,True
base_0000_index,base_0000,global_shadow,index,calib,target,4,0,5,-1.538370966911316,-1.788370966911316,0.25,True,21,False,False,other,True
base_0001_affine,base_0001,call_frame,affine,test,source,6,8,5,-0.8278955817222595,-1.1872706413269043,0.3593750596046448,True,23,True,False,correct,True
base_0001_affine,base_0001,call_frame,affine,test,target,3,5,8,-0.05473221465945244,-6.820357322692871,6.765625108033419,True,20,True,False,correct,True
base_0001_mul_sub,base_0001,call_frame,mul_sub,test,source,6,8,2,-2.6429226398468018,-1.8929226398468018,-0.75,False,16,False,False,other,False
base_0001_mul_sub,base_0001,call_frame,mul_sub,test,target,3,2,8,-1.248691439628601,-4.639316558837891,3.3906251192092896,True,17,True,False,correct,False
base_0001_threshold,base_0001,call_frame,threshold,test,source,6,1,0,-0.6071144938468933,-0.7946144938468933,0.1875,True,16,True,False,correct,False
base_0001_threshold,base_0001,call_frame,threshold,test,target,3,0,1,-0.8102502822875977,-0.5915002822875977,-0.21875,False,16,False,True,wrong_binding,False
base_0001_modulus,base_0001,call_frame,modulus,test,source,6,0,1,-0.805801510810852,-0.758926510810852,-0.046875,False,16,False,True,wrong_binding,False
base_0001_modulus,base_0001,call_frame,modulus,test,target,3,1,0,-0.2317424714565277,-1.88799250125885,1.6562500298023224,True,16,True,False,correct,False
base_0001_index,base_0001,call_frame,index,test,source,6,8,4,-1.1125860214233398,-2.72196102142334,1.609375,True,23,True,False,correct,False
base_0001_index,base_0001,call_frame,index,test,target,3,4,8,-2.388700008392334,-1.0293248891830444,-1.3593751192092896,False,23,False,True,wrong_binding,False
base_0002_affine,base_0002,padded_shadow,affine,test,source,4,7,9,-1.0579795837402344,-3.4173545837402344,2.359375,True,22,True,False,correct,True
base_0002_affine,base_0002,padded_shadow,affine,test,target,6,9,7,-0.9388850331306458,-1.845134973526001,0.9062499403953552,True,24,True,False,correct,True
base_0002_mul_sub,base_0002,padded_shadow,mul_sub,test,source,4,5,9,-2.6818151473999023,-3.0568151473999023,0.375,True,16,False,False,other,True
base_0002_mul_sub,base_0002,padded_shadow,mul_sub,test,target,6,9,5,-2.382826805114746,-2.757826805114746,0.375,True,16,False,False,other,True
base_0002_threshold,base_0002,padded_shadow,threshold,test,source,4,0,1,-0.7436442375183105,-0.6498942375183105,-0.09375,False,16,False,True,wrong_binding,False
base_0002_threshold,base_0002,padded_shadow,threshold,test,target,6,1,0,-0.7937425374984741,-0.6062425374984741,-0.1875,False,15,False,True,wrong_binding,False
base_0002_modulus,base_0002,padded_shadow,modulus,test,source,4,0,2,-0.5978230237960815,-1.8478230237960815,1.25,True,15,True,False,correct,True
