split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,8,answer,gram_random,0.5174418604651163,0.49404761904761907,0.550028409090909,172,18,3.7325581395348837,0.046511627906976744,0.0,0.10588235294117647,0.000396501857700736,-0.0009481519376979498,0.0018299063191621028,86
calib,all,16,answer,gram_random,0.5581395348837209,0.4943804264555669,0.6130952380952381,172,18,4.988372093023256,0.16279069767441862,0.08333333333333333,0.24713235294117608,0.009378060048749281,-0.0012028827740305267,0.01893089052187157,86
calib,all,24,answer,gram_random,0.5290697674418605,0.48823529411764705,0.5738636363636364,172,18,5.0,0.09302325581395349,0.023255813953488372,0.17045454545454544,0.0192151726764995,-0.005579786329146693,0.04476873802598362,86
calib,all,31,answer,gram_random,0.5058139534883721,0.4878048780487805,0.5232558139534884,172,18,4.558139534883721,0.023255813953488372,0.0,0.05747126436781609,-0.025106325052505315,-0.06340541501843275,0.012509110967982242,86
calib,all,8,answer,clens,0.4883720930232558,0.47126436781609193,0.5,172,18,5.761627906976744,0.0,0.0,0.0,-0.00043227419603702636,-0.0013488431303847988,0.0004886155766303573,86
calib,all,16,answer,clens,0.5348837209302325,0.5057471264367817,0.5705882352941176,172,18,2.9069767441860463,0.06976744186046512,0.011494252873563218,0.1411764705882353,0.03412956384898618,0.0211309452219246,0.049264928504605496,86
calib,all,24,answer,clens,0.686046511627907,0.6436781609195402,0.7411764705882353,172,18,2.3197674418604652,0.3953488372093023,0.3023255813953488,0.5116279069767442,0.7165025458779446,0.6024015668351417,0.8320700942537894,86
calib,all,31,answer,clens,0.7267441860465116,0.6647727272727273,0.788251633986928,172,18,2.866279069767442,0.4883720930232558,0.38636363636363635,0.5952380952380952,0.8126389592192894,0.66416646020357,0.977827690052476,86
calib,all,8,answer,logit,0.4941860465116279,0.48214285714285715,0.5,172,18,5.627906976744186,0.0,0.0,0.0,0.0075763879820357925,-0.020635119053542088,0.03358029198318907,86
calib,all,16,answer,logit,0.5523255813953488,0.5224719101123596,0.5892857142857143,172,18,2.796511627906977,0.11627906976744186,0.056179775280898875,0.18829131652661033,1.0309951832128126,0.7710154751356265,1.3295947572482123,86
