split,position,site,contrast,delta,ci_lo,ci_hi,n_rows,n_bases,clens_exceeds_control
test,use,all,clens_value - logit_value,0.0007723143409475002,-0.000309414430496511,0.001825880528085149,2448,42,False
test,use,all,clens_value - gram_random,0.0005106236176942689,-0.0006989088505112491,0.0015893435875261696,2448,42,False
test,use,all,clens_value - noop_same_value,0.0009510348508365793,-3.190957948392582e-05,0.0019089486419727917,2448,42,False
test,use,all,clens_value - clens_answer,-0.0003127538008627549,-0.0012700184836573092,0.0005697132375591046,2448,42,False
test,use,all,clens_value - clens_offvalue,-0.001346760654663728,-0.002416458109881475,-0.0003445829406122519,2448,42,False
test,use,all,clens_value - probe_basis,-0.004091349412121025,-0.007269784207424382,-0.001061129205254987,2448,42,False
test,use,all,clens_value - whole_state,-0.37916155865574197,-0.45615804502362967,-0.3050356853731416,2448,42,False
test,use,all,clens_value - cf_push_0.03,-0.00032552044376049166,-0.001404206161965537,0.0007825975298400918,2448,42,False
test,use,all,clens_value - cf_push_0.1,-0.004206238217116181,-0.007436994257003444,-0.0011595124788513385,2448,42,False
test,use,all,clens_value - cf_push_0.3,-0.02962239384894667,-0.04188596453767216,-0.017991099420843162,2448,42,False
test,use,all,clens_value - cf_push_1,-0.38264016427245795,-0.4604769585650278,-0.30723864941740026,2448,42,False
