pair_id,base_id,template,op_family,split,direction,position,site_kind,site,layer,band_layers,variant,bound_value,swapped_in_value,bound_answer,target_answer,logp_clean_bound,logp_clean_other,logp_patched_bound,logp_patched_other,ld_clean,ld_patched,delta_ld,flipped_to_target,clean_argmax_id,patched_argmax_id,swap_coord_source,swap_coord_target,swap_coord_gap,swap_delta_norm,swap_delta_norm_ratio,swap_subspace_cosine,swap_degenerate,both_counterfactuals_correct
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L6,6,6,jlens_value,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6466954350471497,-2.240445375442505,-1.59375,-1.59375,0.0,False,20,20,19.507928446507833,-20.524068406746306,40.03199685325414,1.7673284767744055,0.08916438611729478,0.9987902977964481,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L6,6,6,logit_value,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6455041170120239,-2.2392539978027344,-1.59375,-1.5937498807907104,1.1920928955078125e-07,False,20,20,0.2601499037843954,-0.1771081465703738,0.43725805035476917,0.7766392895568692,0.03918262303694526,0.7120688134230457,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L6,6,6,gram_random,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6494844555854797,-2.211984395980835,-1.59375,-1.5625,0.03125,False,20,20,-8.282883143808084,8.512364685586357,-16.79524782939444,0.7414748606447904,0.03740852458364965,0.9987902978358665,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L6,6,6,noop_same_value,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6455041766166687,-2.2392542362213135,-1.59375,-1.59375,0.0,False,20,20,-0.5249566083294339,-0.5249566083294337,-2.220446049250313e-16,0.0,0.0,1.0000000000000004,True,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L6,6,6,jlens_answer,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6589639782905579,-2.221463918685913,-1.59375,-1.5625,0.03125,False,20,20,21.49853323272185,-22.542604920849325,44.041138153571175,1.612565777692426,0.0813563746248948,0.9991760122011871,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L6,6,6,whole_state,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.316935271024704,-2.7388103008270264,-1.59375,-2.421875,-0.828125,False,20,20,,,,14.645537376403809,,,,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L12,12,12,jlens_value,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6430609822273254,-2.2055609226226807,-1.59375,-1.5625,0.03125,False,20,20,12.247259086291567,-14.124124696897319,26.371383783188886,1.8526501751317408,0.05439767585291916,0.9980964829119481,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L12,12,12,logit_value,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6458989977836609,-2.2083990573883057,-1.59375,-1.5625,0.03125,False,20,20,1.0617701862941902,-0.06825690508979296,1.1300270913839832,2.0071064139823442,0.05893283339492987,0.7120688134230457,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L12,12,12,gram_random,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6520228385925293,-2.2145228385925293,-1.59375,-1.5625,0.03125,False,20,20,-0.7023812940546021,0.3705977753554599,-1.072979069410062,0.07537924046609253,0.00221329182592292,0.9980964828764648,False,False
base_0000_affine,base_0000,global_shadow,affine,test,source,use,single,L12,12,12,noop_same_value,2,4,5,7,-0.6455041766166687,-2.2392542362213135,-0.6455041766166687,-2.2392542362213135,-1.59375,-1.59375,0.0,False,20,20,-0.9247836659319985,-0.9247836659319985,0.0,0.0,0.0,1.0000000000000007,True,False
