split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_threshold,ci_lo_threshold
calib,pre_def,band,L12+18+23,gram_random,2,-0.005989583333333334,0.0003906468550364176,False,False,0.0003906468550364176,-0.005468722681204478,-0.005989583333333334,-0.009635416666666667
calib,pre_def,band,L12+18+23,jlens_answer,2,-0.003125,0.003906261920928955,False,False,0.003906261920928955,-0.0010416547705729801,-0.003125,-0.00625
calib,pre_def,band,L12+18+23,jlens_value,2,-0.0015625,0.0009114603201548258,False,False,0.0009114603201548258,-0.004296866158644358,-0.0015625,-0.005208333333333333
calib,pre_def,band,L12+18+23,logit_value,2,-0.0010416666666666667,-0.000651019811630249,False,False,-0.000651019811630249,-0.005468720197677612,-0.0010416666666666667,-0.0046875
calib,pre_def,band,L12+18+23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,band,L12+18+23,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,band,L6+12+18,gram_random,2,-0.0013020833333333333,0.0009114633003870647,False,False,0.0009114633003870647,-0.0036458224554856617,-0.0013020833333333333,-0.005208333333333333
calib,pre_def,band,L6+12+18,jlens_answer,2,-0.0020833333333333333,0.003385425607363383,False,False,0.003385425607363383,-0.0015624861419200897,-0.0020833333333333333,-0.00625
calib,pre_def,band,L6+12+18,jlens_value,2,0.0005208333333333333,0.0019531418879826863,True,False,0.0019531418879826863,-0.0016926865776379903,0.0005208333333333333,-0.0033854166666666668
calib,pre_def,band,L6+12+18,logit_value,2,-0.00026041666666666666,0.0022135595480600994,False,False,0.0022135595480600994,-0.0020865837732950846,-0.00026041666666666666,-0.0046875
calib,pre_def,band,L6+12+18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,band,L6+12+18,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L12,gram_random,2,0.00078125,0.0019531349341074624,True,False,0.0019531349341074624,-0.0013020635147889454,0.00078125,-0.0026041666666666665
calib,pre_def,single,L12,jlens_answer,2,0.00078125,0.0020833502213160196,True,False,0.0020833502213160196,-0.0010416467984517416,0.00078125,-0.00234375
calib,pre_def,single,L12,jlens_value,2,-0.0020833333333333333,0.00039062599341074626,False,False,0.00039062599341074626,-0.005338532800475756,-0.0020833333333333333,-0.006510416666666667
calib,pre_def,single,L12,logit_value,2,0.0005208333333333333,0.003385425607363383,True,False,0.003385425607363383,-0.0015624920775492985,0.0005208333333333333,-0.0036458333333333334
calib,pre_def,single,L12,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L12,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L18,gram_random,2,-0.004166666666666667,0.0066406448682149255,False,False,0.0066406448682149255,0.0026041894406080247,-0.004166666666666667,-0.00859375
calib,pre_def,single,L18,jlens_answer,2,-0.0020833333333333333,-0.0020833184321721395,False,False,-0.0020833184321721395,-0.007291647791862488,-0.0020833333333333333,-0.005208333333333333
calib,pre_def,single,L18,jlens_value,2,-0.0033854166666666668,0.002083352208137512,False,False,0.002083352208137512,-0.0023437321434418364,-0.0033854166666666668,-0.0078125
calib,pre_def,single,L18,logit_value,2,-0.0026041666666666665,0.00364584227403005,False,False,0.00364584227403005,0.0005208333333333333,-0.0026041666666666665,-0.006510416666666667
calib,pre_def,single,L18,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L18,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L23,gram_random,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L23,jlens_answer,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L23,jlens_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L23,logit_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L23,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L23,whole_state,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,pre_def,single,L6,gram_random,2,0.00026041666666666666,0.0010416716337203979,True,False,0.0010416716337203979,-0.004687490065892538,0.00026041666666666666,-0.00390625
