split,position,site_kind,site,variant,layer,delta_ld,ci_lo,ci_hi,n_rows,n_bases,flip_rate,moves_toward_target,mean_delta_norm_ratio
calib,pre_def,band,L12+18+23,gram_random,12,-0.002799468239148458,-0.00624998973061641,0.0005208458875616391,120,30,0.0,False,0.03603364933321947
calib,pre_def,band,L12+18+23,clens_answer,12,0.00039063096046447753,-0.002473944934705893,0.0031250049794713654,120,30,0.0,False,0.031751039377129205
calib,pre_def,band,L12+18+23,clens_value,12,-0.0003255198399225871,-0.002604168690741062,0.0018229122335712115,120,30,0.0,False,0.0335224553759921
calib,pre_def,band,L12+18+23,logit_value,12,-0.0008463432391484578,-0.00390786699950695,0.0021484469498197238,120,30,0.0,False,0.0244711687226668
calib,pre_def,band,L12+18+23,noop_same_value,12,0.0,0.0,0.0,120,30,0.0,False,0.0
calib,pre_def,band,L12+18+23,whole_state,12,0.0,0.0,0.0,120,30,0.0,False,
calib,pre_def,band,L6+12+18,gram_random,6,-0.00019531001647313435,-0.0030598884200056394,0.0026041696468989055,120,30,0.008333333333333333,False,0.034572266078765984
calib,pre_def,band,L6+12+18,clens_answer,6,0.0006510461370150248,-0.00234374305854241,0.0033854206775625548,120,30,0.008333333333333333,False,0.041337828391627425
calib,pre_def,band,L6+12+18,clens_value,6,0.0012369876106580098,-0.0010416577508052189,0.0033854266131917634,120,30,0.0,False,0.0346476700934036
calib,pre_def,band,L6+12+18,logit_value,6,0.0009765714406967164,-0.001953117549419403,0.003971363628904025,120,30,0.0,False,0.025607925378819126
calib,pre_def,band,L6+12+18,noop_same_value,6,0.0,0.0,0.0,120,30,0.0,False,0.0
calib,pre_def,band,L6+12+18,whole_state,6,0.0,0.0,0.0,120,30,0.0,False,
calib,pre_def,single,L12,gram_random,12,0.0013671924670537313,-0.0009114548563957214,0.0037760461618502935,120,30,0.0,False,0.03603364933321947
calib,pre_def,single,L12,clens_answer,12,0.00143230011065801,-0.0009114479521910349,0.0037760393321514133,120,30,0.0,False,0.031751039377129205
