split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,8,answer,gram_random,0.5,0.5,0.5,120,30,3.9916666666666667,0.0,0.0,0.0,-0.0003861220553517342,-0.0010841539269313217,0.0002696383131357527,60
calib,all,16,answer,gram_random,0.48333333333333334,0.425,0.5416666666666666,120,30,6.3,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.004652964789420367,-0.012640522710668543,0.023050806282553814,60
calib,all,24,answer,gram_random,0.5166666666666667,0.4583333333333333,0.575,120,30,5.533333333333333,0.1,0.016666666666666666,0.2,0.0009382514903942744,-0.02509369027179976,0.026510341639320048,60
calib,all,31,answer,gram_random,0.5,0.4666666666666667,0.5333333333333333,120,30,5.175,0.03333333333333333,0.0,0.08333333333333333,0.0077991515398025514,-0.03376663040369749,0.049858330326775675,60
calib,all,8,answer,jlens,0.49166666666666664,0.475,0.5,120,30,6.266666666666667,0.0,0.0,0.0,0.00011773966252803802,-0.0007393016293644905,0.000926768158872922,60
calib,all,16,answer,jlens,0.5833333333333334,0.5333333333333333,0.6416666666666667,120,30,3.4,0.18333333333333332,0.08333333333333333,0.3,0.03887952814499537,0.02636568281178673,0.05163919570855796,60
calib,all,24,answer,jlens,0.6916666666666667,0.6416666666666667,0.7416666666666667,120,30,3.0083333333333333,0.38333333333333336,0.2833333333333333,0.48333333333333334,0.7686019582053025,0.6213739529500405,0.9196711786215503,60
calib,all,31,answer,jlens,0.7333333333333333,0.6666666666666666,0.8,120,30,2.625,0.48333333333333334,0.36666666666666664,0.6166666666666667,0.7827875296274821,0.5853477068742117,0.9953162272771197,60
calib,all,8,answer,logit,0.5,0.5,0.5,120,30,5.391666666666667,0.0,0.0,0.0,-0.008378203709920247,-0.034338431855042775,0.014140816032886486,60
calib,all,16,answer,logit,0.5416666666666666,0.5,0.5833333333333334,120,30,3.533333333333333,0.1,0.03333333333333333,0.18333333333333332,1.0172122200330098,0.6964346294601759,1.3541602189342177,60
calib,all,24,answer,logit,0.6666666666666666,0.6083333333333333,0.725,120,30,3.1416666666666666,0.3333333333333333,0.21666666666666667,0.45,15.440446352958679,12.05750578045845,18.872477594216665,60
calib,all,31,answer,logit,0.7333333333333333,0.6666666666666666,0.8,120,30,2.625,0.48333333333333334,0.36666666666666664,0.6166666666666667,23.74677429199219,17.757353591918946,30.19426330566405,60
calib,all,8,answer,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.688845580816269,1.6400875280300777,1.7387681214263042,60
calib,all,16,answer,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.8512870967388153,1.8302733891705674,1.8721789197127023,60
calib,all,24,answer,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.8165175557136535,1.7803169325987498,1.850240204806129,60
calib,all,31,answer,probe,1.0,1.0,1.0,120,30,0.0,1.0,1.0,1.0,1.8268202016750972,1.7958347982416552,1.8572176692138116,60
calib,all,8,def_source,gram_random,0.5,0.5,0.5,120,30,4.983333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,16,def_source,gram_random,0.5,0.5,0.5,120,30,5.7,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,24,def_source,gram_random,0.5,0.5,0.5,120,30,6.016666666666667,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,31,def_source,gram_random,0.5,0.5,0.5,120,30,5.133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
