split,position,site_kind,site,variant,layer,delta_ld,ci_lo,ci_hi,n_rows,n_bases,flip_rate,moves_toward_target,mean_delta_norm_ratio
calib,pre_def,band,L16+24+31,gram_random,16,0.00013020609815915426,-0.001432300340384245,0.001692715846002102,120,30,0.0,False,0.026603645732386397
calib,pre_def,band,L16+24+31,clens_answer,16,0.00026041443149248756,-0.0015625054761767387,0.0020833271307249867,120,30,0.0,False,0.05775482333876014
calib,pre_def,band,L16+24+31,clens_value,16,0.0006510339677333832,-0.0007812619333465894,0.0022135427035391334,120,30,0.0,False,0.031220316279193184
calib,pre_def,band,L16+24+31,logit_value,16,-0.00013021702567736309,-0.001302091038475434,0.0010416615257660548,120,30,0.0,False,0.027200615666185125
calib,pre_def,band,L16+24+31,noop_same_value,16,0.0,0.0,0.0,120,30,0.0,False,0.0
calib,pre_def,band,L16+24+31,whole_state,16,0.0,0.0,0.0,120,30,0.0,False,
calib,pre_def,band,L8+16+24,gram_random,8,-0.0011718804637591044,-0.003645847328007221,0.0013020808498064678,120,30,0.0,False,0.027835937592152273
calib,pre_def,band,L8+16+24,clens_answer,8,0.0011718754967053732,-0.000911454117546479,0.003255210587133964,120,30,0.0,False,0.046645318485853154
calib,pre_def,band,L8+16+24,clens_value,8,-0.0016927080849806467,-0.004427084618558486,0.0003906279864410559,120,30,0.0,False,0.03146994978017081
calib,pre_def,band,L8+16+24,logit_value,8,0.001692704608043035,-0.0001302100842197736,0.00351562005157272,120,30,0.0,False,0.02840426353893042
calib,pre_def,band,L8+16+24,noop_same_value,8,0.0,0.0,0.0,120,30,0.0,False,0.0
calib,pre_def,band,L8+16+24,whole_state,8,0.0,0.0,0.0,120,30,0.0,False,
calib,pre_def,single,L16,gram_random,16,0.0011718747516473135,-0.0005208313589294751,0.0028645806449155015,120,30,0.0,False,0.026603645732386397
calib,pre_def,single,L16,clens_answer,16,0.0005208315948645273,-0.0011718827299773693,0.0022135396860539914,120,30,0.0,False,0.05775482333876014
calib,pre_def,single,L16,clens_value,16,0.0007812477648258209,-0.0009114546204606692,0.0024739501687387625,120,30,0.0,False,0.031220316279193184
calib,pre_def,single,L16,logit_value,16,0.0003906264901161194,-0.0011718750248352686,0.001953129507601261,120,30,0.0,False,0.027200615666185125
calib,pre_def,single,L16,noop_same_value,16,0.0,0.0,0.0,120,30,0.0,False,0.0
calib,pre_def,single,L16,whole_state,16,0.0,0.0,0.0,120,30,0.0,False,
calib,pre_def,single,L24,gram_random,24,0.0006510411699612935,-0.000651040921608607,0.0019531307369470598,120,30,0.0,False,0.023712106576486227
calib,pre_def,single,L24,clens_answer,24,-2.9802322387695314e-09,-0.001432288736104965,0.0014322892079750697,120,30,0.0,False,0.03579324850329728
calib,pre_def,single,L24,clens_value,24,-0.00026041840513547264,-0.0018229147295157114,0.001171873031804959,120,30,0.0,False,0.026486824055213225
