layer,readout,n_model_wrong,per_prefix_error_rate,early_warning_rate,analytic_null,early_warning_excess,readout_never_wrong,mean_lead
-1,probe,49,0.1741496598639456,0.12244897959183673,0.16812301581511438,-0.04567403622327765,17,-1.59375
-1,random,49,0.2165986394557823,0.12244897959183673,0.19594294911205354,-0.0734939695202168,9,-1.775
0,probe,49,0.0,0.0,0.0,0.0,49,
0,random,49,0.08221088435374149,0.10204081632653061,0.09149678075935093,0.010544035567179685,29,-2.55
3,probe,49,0.20034013605442177,0.12244897959183673,0.18579276135501988,-0.06334378176318314,13,-1.4166666666666667
3,random,49,0.4242857142857143,0.1836734693877551,0.28193044280097607,-0.09825697341322095,3,-0.41304347826086957
7,probe,49,0.014285714285714285,0.0,0.017676416361987107,-0.017676416361987107,48,-2.0
7,random,49,0.19319727891156463,0.12244897959183673,0.1811386954997898,-0.05868971590795308,17,-1.59375
11,probe,49,0.009523809523809523,0.0,0.011872349241757741,-0.011872349241757741,47,-2.0
11,random,49,0.1741496598639456,0.12244897959183673,0.16812301581511438,-0.04567403622327765,17,-1.59375
15,probe,49,0.039285714285714285,0.0,0.04674814137980366,-0.04674814137980366,44,-2.2
15,random,49,0.24224489795918366,0.1836734693877551,0.21075818012032965,-0.02708471073257454,17,-1.3125
19,probe,49,0.014285714285714285,0.0,0.017676416361987107,-0.017676416361987107,48,-2.0
19,random,49,0.1852721088435374,0.12244897959183673,0.17583161338789913,-0.053382633796062395,6,-0.6046511627906976
23,probe,49,0.0,0.0,0.0,0.0,49,
23,random,49,0.1741496598639456,0.12244897959183673,0.16812301581511438,-0.04567403622327765,17,-1.59375
