example_id,layer,n_steps,sanitized,t_latent,t_failure,lead_time,probe_ever_wrong,model_ever_wrong
synthetic_taint_1_770841,23,7,True,,2,,False,True
synthetic_taint_0_968660,23,3,False,,2,,False,True
synthetic_taint_0_270176,23,3,False,,2,,False,True
synthetic_taint_0_620785,23,3,False,,2,,False,True
synthetic_taint_0_205943,23,5,False,,2,,False,True
synthetic_taint_0_907065,23,6,False,,2,,False,True
synthetic_taint_1_123646,23,5,True,,2,,False,True
synthetic_taint_0_298774,23,6,False,,2,,False,True
synthetic_taint_0_629939,23,5,False,,2,,False,True
synthetic_taint_1_591551,23,7,True,,2,,False,True
synthetic_taint_0_271493,23,4,False,,2,,False,True
synthetic_taint_0_296145,23,6,False,,2,,False,True
synthetic_taint_0_628557,23,3,False,,2,,False,True
synthetic_taint_0_864619,23,3,False,,2,,False,True
synthetic_taint_0_412651,23,3,False,,2,,False,True
synthetic_taint_1_502187,23,6,True,,2,,False,True
synthetic_taint_0_278520,23,3,False,,2,,False,True
synthetic_taint_0_235778,23,3,False,,2,,False,True
synthetic_taint_0_896664,23,4,False,,2,,False,True
synthetic_taint_0_175457,23,4,False,,2,,False,True
synthetic_taint_1_969160,23,7,True,,2,,False,True
synthetic_taint_1_606172,23,5,True,6.0,2,-4.0,True,True
synthetic_taint_1_756250,23,5,True,,2,,False,True
synthetic_taint_1_175457,23,4,True,,2,,False,True
synthetic_taint_1_69448,23,4,True,,2,,False,True
synthetic_taint_1_452845,23,6,True,,2,,False,True
synthetic_taint_1_805999,23,4,True,,2,,False,True
synthetic_taint_0_38611,23,4,False,,2,,False,True
synthetic_taint_0_801087,23,4,False,,2,,False,True
synthetic_taint_1_237404,23,4,True,,2,,False,True
synthetic_taint_1_269774,23,7,True,,2,,False,True
synthetic_taint_0_532510,23,5,False,,2,,False,True
synthetic_taint_0_378596,23,4,False,,2,,False,True
synthetic_taint_1_145269,23,6,True,,2,,False,True
synthetic_taint_1_978659,23,4,True,5.0,2,-3.0,True,True
synthetic_taint_1_682554,23,5,True,,2,,False,True
synthetic_taint_0_562201,23,5,False,,2,,False,True
synthetic_taint_0_252175,23,6,False,,2,,False,True
synthetic_taint_1_683681,23,4,True,,2,,False,True
synthetic_taint_0_452845,23,3,False,,2,,False,True
synthetic_taint_1_421789,23,7,True,,2,,False,True
synthetic_taint_1_350811,23,4,True,,2,,False,True
synthetic_taint_1_840296,23,6,True,,2,,False,True
synthetic_taint_1_471924,23,7,True,8.0,2,-6.0,True,True
synthetic_taint_1_205943,23,7,True,,2,,False,True
synthetic_taint_1_132467,23,6,True,,2,,False,True
synthetic_taint_1_691514,23,7,True,,2,,False,True
synthetic_taint_0_350811,23,6,False,,2,,False,True
synthetic_taint_0_421789,23,6,False,,2,,False,True
synthetic_taint_1_165688,23,4,True,,2,,False,True
synthetic_taint_1_412651,23,7,True,,2,,False,True
synthetic_taint_0_145269,23,4,False,,2,,False,True
synthetic_taint_1_317188,23,5,True,,2,,False,True
synthetic_taint_0_256787,23,3,False,,2,,False,True
synthetic_taint_0_317853,23,5,False,,2,,False,True
synthetic_taint_0_502233,23,6,False,,2,,False,True
synthetic_taint_0_387007,23,4,False,,2,,False,True
synthetic_taint_0_294504,23,6,False,,2,,False,True
synthetic_taint_0_539218,23,5,False,,2,,False,True
synthetic_taint_0_43208,23,4,False,,2,,False,True
synthetic_taint_1_438484,23,7,True,,2,,False,True
synthetic_taint_1_775286,23,6,True,,2,,False,True
synthetic_taint_1_96268,23,4,True,,2,,False,True
synthetic_taint_0_580533,23,3,False,,2,,False,True
synthetic_taint_0_132467,23,3,False,,2,,False,True
synthetic_taint_1_294504,23,4,True,,2,,False,True
synthetic_taint_0_691514,23,5,False,,2,,False,True
synthetic_taint_1_982496,23,6,True,,2,,False,True
synthetic_taint_0_69914,23,6,False,,2,,False,True
synthetic_taint_0_149527,23,4,False,,2,,False,True
