example_id,layer,n_steps,sanitized,t_latent,t_failure,lead_time,probe_ever_wrong,model_ever_wrong
synthetic_taint_1_770841,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_0_968660,-1,3,False,2,,,True,False
synthetic_taint_0_270176,-1,3,False,2,,,True,False
synthetic_taint_0_620785,-1,3,False,2,,,True,False
synthetic_taint_0_205943,-1,5,False,2,,,True,False
synthetic_taint_0_907065,-1,6,False,2,,,True,False
synthetic_taint_1_123646,-1,5,True,2,5.0,3.0,True,True
synthetic_taint_0_298774,-1,6,False,2,,,True,False
synthetic_taint_0_629939,-1,5,False,2,,,True,False
synthetic_taint_1_591551,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_0_271493,-1,4,False,2,,,True,False
synthetic_taint_0_296145,-1,6,False,2,,,True,False
synthetic_taint_0_628557,-1,3,False,2,,,True,False
synthetic_taint_0_864619,-1,3,False,2,,,True,False
synthetic_taint_0_412651,-1,3,False,2,,,True,False
synthetic_taint_1_502187,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_0_278520,-1,3,False,2,,,True,False
synthetic_taint_0_235778,-1,3,False,2,,,True,False
synthetic_taint_0_896664,-1,4,False,2,,,True,False
synthetic_taint_0_175457,-1,4,False,2,,,True,False
synthetic_taint_1_969160,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_1_606172,-1,5,True,2,5.0,3.0,True,True
synthetic_taint_1_756250,-1,5,True,2,5.0,3.0,True,True
synthetic_taint_1_175457,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_1_69448,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_1_452845,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_1_805999,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_0_38611,-1,4,False,2,,,True,False
synthetic_taint_0_801087,-1,4,False,2,,,True,False
synthetic_taint_1_237404,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_1_269774,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_0_532510,-1,5,False,2,,,True,False
synthetic_taint_0_378596,-1,4,False,2,,,True,False
synthetic_taint_1_145269,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_1_978659,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_1_682554,-1,5,True,2,5.0,3.0,True,True
synthetic_taint_0_562201,-1,5,False,2,,,True,False
synthetic_taint_0_252175,-1,6,False,2,,,True,False
synthetic_taint_1_683681,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_0_452845,-1,3,False,2,,,True,False
synthetic_taint_1_421789,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_1_350811,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_1_840296,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_1_471924,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_1_205943,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_1_132467,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_1_691514,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_0_350811,-1,6,False,2,,,True,False
synthetic_taint_0_421789,-1,6,False,2,,,True,False
synthetic_taint_1_165688,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_1_412651,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_0_145269,-1,4,False,2,,,True,False
synthetic_taint_1_317188,-1,5,True,2,5.0,3.0,True,True
synthetic_taint_0_256787,-1,3,False,2,,,True,False
synthetic_taint_0_317853,-1,5,False,2,,,True,False
synthetic_taint_0_502233,-1,6,False,2,,,True,False
synthetic_taint_0_387007,-1,4,False,2,,,True,False
synthetic_taint_0_294504,-1,6,False,2,,,True,False
synthetic_taint_0_539218,-1,5,False,2,,,True,False
synthetic_taint_0_43208,-1,4,False,2,,,True,False
synthetic_taint_1_438484,-1,7,True,2,7.0,5.0,True,True
synthetic_taint_1_775286,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_1_96268,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_0_580533,-1,3,False,2,,,True,False
synthetic_taint_0_132467,-1,3,False,2,,,True,False
synthetic_taint_1_294504,-1,4,True,2,4.0,2.0,True,True
synthetic_taint_0_691514,-1,5,False,2,,,True,False
synthetic_taint_1_982496,-1,6,True,2,6.0,4.0,True,True
synthetic_taint_0_69914,-1,6,False,2,,,True,False
synthetic_taint_0_149527,-1,4,False,2,,,True,False
