layer,arm,example,rho,abs_error
3,all,0,1.5360058546066284,0.5360058546066284
3,all,1,1.885444164276123,0.885444164276123
3,no_ln,0,0.014941985718905926,0.9850580142810941
3,no_ln,1,0.02348177880048752,0.9765182211995125
3,no_identity,0,1.08065927028656,0.08065927028656006
3,no_identity,1,1.1396286487579346,0.13962864875793457
3,no_half,0,14.44137954711914,13.44137954711914
3,no_half,1,15.375202178955078,14.375202178955078
3,none,0,0.0066537088714540005,0.993346291128546
3,none,1,-0.008538592606782913,1.008538592606783
23,all,0,1.0,0.0
23,all,1,1.0,0.0
23,no_ln,0,1.0,0.0
23,no_ln,1,1.0,0.0
23,no_identity,0,1.0,0.0
23,no_identity,1,1.0,0.0
23,no_half,0,1.0,0.0
23,no_half,1,1.0,0.0
23,none,0,1.0,0.0
23,none,1,1.0,0.0
