model,condition,condition_kind,condition_order,prompt_style,n_pairs,accuracy,accuracy_unsafe,accuracy_safe,says_tainted_rate,pair_separation,pair_separation_p,mean_model_delta,model_delta_ci_lo,model_delta_ci_hi
deepseek-coder-1.3b,clean_heldout,clean,-1,e6,72,0.5,0.0,1.0,0.0,0.7222222222222222,0.00020771603022674048,0.02170139468378491,0.013997416715655062,0.02951388479106956
deepseek-coder-1.3b,normalize,baseline,0,e6,72,0.5,0.0,1.0,0.0,0.7361111111111112,7.555811484431396e-05,0.025065109133720398,0.01703559998422861,0.03276910223066806
deepseek-coder-1.3b,rename_only,atomic,11,e6,72,0.5,0.0,1.0,0.0,0.625,0.04437092000802569,0.007675598892900679,-0.0018272909646232923,0.01649398989975452
deepseek-coder-1.3b,opaque_only,atomic,12,e6,72,0.5,0.0,1.0,0.0,0.7083333333333334,0.0005349642016498918,0.019710962971051533,0.01173571188830667,0.027035602803031602
deepseek-coder-1.3b,encode_only,atomic,13,e6,72,0.5,0.0,1.0,0.0,0.8055555555555556,1.6464300115968573e-07,0.024414063327842288,0.017795147063831486,0.030924479208058783
deepseek-coder-1.3b,flatten_only,atomic,14,e6,72,0.5,0.0,1.0,0.0,0.4583333333333333,0.555997717760971,-0.0006730837954415216,-0.007174596169756518,0.005978760247429208
deepseek-coder-1.3b,rename_cumulative,cumulative,21,e6,72,0.5,0.0,1.0,0.0,0.6666666666666666,0.006309827313666047,0.01383208069536421,0.0045336907936467065,0.02294582130594386
deepseek-coder-1.3b,rename_opaque,cumulative,22,e6,72,0.5,0.0,1.0,0.0,0.6388888888888888,0.02446090732832437,0.009438200957245298,0.000991183788412147,0.017575122829940584
deepseek-coder-1.3b,rename_opaque_encode,cumulative,23,e6,72,0.5,0.0,1.0,0.0,0.7222222222222222,0.00020771603022674048,0.012809739344649844,0.005374426580965519,0.019926417225764857
deepseek-coder-1.3b,rename_opaque_encode_flatten,cumulative,24,e6,72,0.5,0.0,1.0,0.0,0.4583333333333333,0.555997717760971,-0.0038994658324453565,-0.01092961451245679,0.0027946393522951304
deepseek-coder-1.3b,clean_heldout,clean,-1,sink,72,0.5,0.0,1.0,0.0,0.6944444444444444,0.0012935849626762883,0.022677951388888888,0.015842014716731176,0.029296874192853768
deepseek-coder-1.3b,normalize,baseline,0,sink,72,0.5,0.0,1.0,0.0,0.6944444444444444,0.0012935849626762883,0.0228949636220932,0.015405265366037686,0.030164930555555556
deepseek-coder-1.3b,rename_only,atomic,11,sink,72,0.5,0.0,1.0,0.0,0.625,0.04437092000802569,0.010793049302366044,0.002959101502266195,0.018680823014842134
deepseek-coder-1.3b,opaque_only,atomic,12,sink,72,0.5,0.0,1.0,0.0,0.7083333333333334,0.0005349642016498918,0.020209419230620067,0.013726128389437993,0.0264763709778587
deepseek-coder-1.3b,encode_only,atomic,13,sink,72,0.5,0.0,1.0,0.0,0.7222222222222222,0.00020771603022674048,0.023003476361433666,0.01573351271864441,0.029947921654416454
deepseek-coder-1.3b,flatten_only,atomic,14,sink,72,0.5,0.0,1.0,0.0,0.5138888888888888,0.906294324703081,0.002794051335917579,-0.0035264741629362105,0.009278696941004852
deepseek-coder-1.3b,rename_cumulative,cumulative,21,sink,72,0.5,0.0,1.0,0.0,0.6944444444444444,0.0012935849626762883,0.01247321648730172,0.005007976914445559,0.019634173458649047
deepseek-coder-1.3b,rename_opaque,cumulative,22,sink,72,0.5,0.0,1.0,0.0,0.5555555555555556,0.40957939592707177,0.006876630915535821,-7.81197514798906e-05,0.013868428187237837
deepseek-coder-1.3b,rename_opaque_encode,cumulative,23,sink,72,0.4930555555555556,0.041666666666666664,0.9444444444444444,0.04861111111111111,0.6111111111111112,0.07636915467183139,0.011539885567294227,0.004892417891985841,0.01760915937936968
deepseek-coder-1.3b,rename_opaque_encode_flatten,cumulative,24,sink,72,0.5,0.0,1.0,0.0,0.4722222222222222,0.7239481457469141,0.0013821936315960353,-0.003867016463643975,0.006703649709622063
