model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
deepseek-coder-1.3b,jlens,-1,,e6,clean_heldout,clean,-1,72,0.0,0.0,1.0,,,0.06944444444444445,0.0,0.0,1.0,,,0.06944444444444445,0.02170139468378491,0.7222222222222222
deepseek-coder-1.3b,jlens,-1,,e6,normalize,baseline,0,72,0.0,0.0,1.0,,,0.041666666666666664,0.0,0.0,1.0,,,0.041666666666666664,0.025065109133720398,0.7361111111111112
deepseek-coder-1.3b,jlens,-1,,e6,rename_only,atomic,11,72,0.0,0.0,1.0,,,0.027777777777777776,0.0,0.0,1.0,,,0.027777777777777776,0.007675598892900679,0.625
deepseek-coder-1.3b,jlens,-1,,e6,opaque_only,atomic,12,72,0.0,0.0,1.0,,,0.041666666666666664,0.0,0.0,1.0,,,0.041666666666666664,0.019710962971051533,0.7083333333333334
deepseek-coder-1.3b,jlens,-1,,e6,encode_only,atomic,13,72,0.0,0.0,1.0,,,0.027777777777777776,0.0,0.0,1.0,,,0.027777777777777776,0.024414063327842288,0.8055555555555556
deepseek-coder-1.3b,jlens,-1,,e6,flatten_only,atomic,14,72,0.0,0.0,1.0,,,0.041666666666666664,0.0,0.0,1.0,,,0.041666666666666664,-0.0006730837954415216,0.4583333333333333
deepseek-coder-1.3b,jlens,-1,,e6,rename_cumulative,cumulative,21,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.01383208069536421,0.6666666666666666
deepseek-coder-1.3b,jlens,-1,,e6,rename_opaque,cumulative,22,72,0.0,0.0,1.0,,,0.013888888888888888,0.0,0.0,1.0,,,0.013888888888888888,0.009438200957245298,0.6388888888888888
deepseek-coder-1.3b,jlens,-1,,e6,rename_opaque_encode,cumulative,23,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.012809739344649844,0.7222222222222222
deepseek-coder-1.3b,jlens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,72,0.0,0.0,1.0,,,0.013888888888888888,0.0,0.0,1.0,,,0.013888888888888888,-0.0038994658324453565,0.4583333333333333
deepseek-coder-1.3b,jlens,0,0.0,e6,clean_heldout,clean,-1,72,-0.001040072122900428,0.4722222222222222,0.168,-1.4068322618208995,-0.1354135214469336,0.4583333333333333,-0.0001357181716563596,0.4305555555555556,0.71,-0.42503409301511563,-0.06818166381570152,0.3888888888888889,0.02170139468378491,0.7222222222222222
