model,program_id,base_id,member,condition,condition_kind,condition_order,layer,target_token,target,score,rho,n_tokens,frac_source_expr,frac_trusted_expr,frac_sink_arg,frac_sink_call,frac_taint_chain,frac_trust_chain,frac_signature,frac_other,ntok_source_expr,ntok_trusted_expr,ntok_sink_arg,ntok_sink_call,ntok_taint_chain,ntok_trust_chain,ntok_signature,ntok_other
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,0,24281, vulnerable,-90.49435424804688,0.9999998279672994,48,0.09166128873809877,0.03164924743209542,-0.006735329450431809,-0.28654037727475523,0.0409813294433921,0.10021123043591601,0.1973043467245851,0.8314680919183988,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,0,5723, safe,-85.38090515136719,0.9999998607285011,48,0.08049035903765162,0.03577011443735912,-0.007035834859627956,-0.29618392853983444,0.04486562851229456,0.09817386875632536,0.17960812711340834,0.8643115262709247,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,3,24281, vulnerable,-90.49435424804688,0.999999987814865,48,0.09808966175150549,0.0532610474939627,-0.027472248506400152,-0.3500028073233858,0.06209892595029405,0.10548005385339654,0.08368090783403068,0.9748644467614613,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,3,5723, safe,-85.38090515136719,0.9999999945897037,48,0.08503141760469708,0.06177948466010237,-0.022994867950681286,-0.3680193159558096,0.0684226464956895,0.10331114267602867,0.06794006900695432,1.0045294180527227,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,7,24281, vulnerable,-90.49435424804688,1.0000000686648827,48,0.08015340674034564,0.05636334928784223,0.024437150696307884,-0.38887252630166014,0.051953579867798375,0.0679755043850257,-0.03632459368199509,1.1443141976712181,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,7,5723, safe,-85.38090515136719,1.0000000165799403,48,0.07121119768987635,0.06328222552878436,0.0278640850741298,-0.41153297616655987,0.06459443670412936,0.07018596887636777,-0.05325273549049836,1.1676478143637108,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,11,24281, vulnerable,-90.49435424804688,1.0000001603827235,48,0.0916418648506651,0.06014329739903195,0.028800205601825637,-0.4328460819687528,0.03873510452205985,0.045194576346592054,-0.14994315851852702,1.318274352149829,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,11,5723, safe,-85.38090515136719,1.000000085517587,48,0.09135930114142704,0.0661800990902124,0.031974969933552234,-0.4603351190038447,0.04938581241087741,0.0507532763246617,-0.17078260253219402,1.341464348152895,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,15,24281, vulnerable,-90.49435424804688,1.0000001500500584,48,0.07669017877613885,0.06345105374307959,0.026406867239662915,-0.44560814891985484,0.03855960432713985,0.04324378759924312,-0.22385047886079035,1.421107286145439,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,15,5723, safe,-85.38090515136719,1.000000035254189,48,0.06986569591411518,0.06498257939036708,0.031698542187209314,-0.4689603439437207,0.05011758116712236,0.05030084989374541,-0.2478514170502918,1.4498465476956421,8,5,2,5,2,2,5,19
deepseek-coder-1.3b,command_exec_direct_00_unsafe,command_exec_direct_00,unsafe,clean_heldout,clean,-1,19,24281, vulnerable,-90.49435424804688,0.9999999621272829,48,0.045012577522751354,0.06262330006432276,0.04168973762814389,-0.5470409826164571,0.03834247839355563,0.046955445602985715,-0.2553757074702587,1.5677931130022393,8,5,2,5,2,2,5,19
