model,site,features,layer,arm,breakdown,cell,accuracy,auc,control_accuracy,selectivity,n,n_groups,pos_frac,converged
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,all,all,0.49126559714795015,0.47719194143384136,0.5948306595365419,-0.10356506238859176,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,family,command_exec,0.5267857142857143,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,family,dynamic_exec,0.4642857142857143,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,family,sql_exec,0.48214285714285715,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,structure,assign_chain,0.47619047619047616,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,structure,branch_merge,0.6071428571428571,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,structure,direct,0.4880952380952381,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,surface,-1,local_surface,structure,helper,0.39285714285714285,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,all,all,0.4642857142857143,0.0,0.5238095238095238,-0.059523809523809534,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,family,command_exec,0.44642857142857145,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,family,dynamic_exec,0.44642857142857145,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,family,sql_exec,0.5,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,structure,assign_chain,0.40476190476190477,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,structure,branch_merge,0.4880952380952381,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,structure,direct,0.42857142857142855,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,whole_program_lexical,-1,whole_program_lexical,structure,helper,0.5357142857142857,,,,336,168,0.5,True
deepseek-coder-1.3b,sink_arg,hidden,-1,embedding,all,all,0.4820855614973262,0.48506812383031317,0.5267379679144385,-0.04465240641711232,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,hidden,-1,embedding,family,command_exec,0.48214285714285715,,,,67,168,0.5,True
deepseek-coder-1.3b,sink_arg,hidden,-1,embedding,family,dynamic_exec,0.4642857142857143,,,,67,168,0.5,True
