model,lens,layer,site,condition,condition_kind,condition_order,cosine_to_clean
deepseek-coder-1.3b,clens,-1,last_token,clean_heldout,clean,-1,
deepseek-coder-1.3b,clens,-1,last_token,normalize,baseline,0,
deepseek-coder-1.3b,clens,-1,last_token,rename_only,atomic,11,
deepseek-coder-1.3b,clens,-1,last_token,opaque_only,atomic,12,
deepseek-coder-1.3b,clens,-1,last_token,encode_only,atomic,13,
deepseek-coder-1.3b,clens,-1,last_token,flatten_only,atomic,14,
deepseek-coder-1.3b,clens,-1,last_token,rename_cumulative,cumulative,21,
deepseek-coder-1.3b,clens,-1,last_token,rename_opaque,cumulative,22,
deepseek-coder-1.3b,clens,-1,last_token,rename_opaque_encode,cumulative,23,
deepseek-coder-1.3b,clens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,
deepseek-coder-1.3b,clens,0,last_token,clean_heldout,clean,-1,0.9999999999999999
deepseek-coder-1.3b,clens,0,last_token,normalize,baseline,0,0.4468124522876776
deepseek-coder-1.3b,clens,0,last_token,rename_only,atomic,11,0.25578359484638197
deepseek-coder-1.3b,clens,0,last_token,opaque_only,atomic,12,0.5096955583265489
deepseek-coder-1.3b,clens,0,last_token,encode_only,atomic,13,0.385241832021613
deepseek-coder-1.3b,clens,0,last_token,flatten_only,atomic,14,-0.009480944873794675
deepseek-coder-1.3b,clens,0,last_token,rename_cumulative,cumulative,21,0.19655381112279566
deepseek-coder-1.3b,clens,0,last_token,rename_opaque,cumulative,22,0.27539458270411354
deepseek-coder-1.3b,clens,0,last_token,rename_opaque_encode,cumulative,23,-0.42517891617590386
deepseek-coder-1.3b,clens,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.07239302196457244
deepseek-coder-1.3b,clens,3,last_token,clean_heldout,clean,-1,1.0
deepseek-coder-1.3b,clens,3,last_token,normalize,baseline,0,0.5682496604999708
deepseek-coder-1.3b,clens,3,last_token,rename_only,atomic,11,0.31546238087058565
deepseek-coder-1.3b,clens,3,last_token,opaque_only,atomic,12,0.563955305291732
deepseek-coder-1.3b,clens,3,last_token,encode_only,atomic,13,0.5327569615791894
deepseek-coder-1.3b,clens,3,last_token,flatten_only,atomic,14,-0.23037714613952445
deepseek-coder-1.3b,clens,3,last_token,rename_cumulative,cumulative,21,0.21231436421143385
deepseek-coder-1.3b,clens,3,last_token,rename_opaque,cumulative,22,0.18497196894108134
deepseek-coder-1.3b,clens,3,last_token,rename_opaque_encode,cumulative,23,-0.19387096285917432
deepseek-coder-1.3b,clens,3,last_token,rename_opaque_encode_flatten,cumulative,24,-0.06133734561535377
deepseek-coder-1.3b,clens,7,last_token,clean_heldout,clean,-1,1.0000000000000002
deepseek-coder-1.3b,clens,7,last_token,normalize,baseline,0,0.7084953004929805
deepseek-coder-1.3b,clens,7,last_token,rename_only,atomic,11,0.6415705173814713
deepseek-coder-1.3b,clens,7,last_token,opaque_only,atomic,12,0.6694211555838309
deepseek-coder-1.3b,clens,7,last_token,encode_only,atomic,13,0.6996156074694947
deepseek-coder-1.3b,clens,7,last_token,flatten_only,atomic,14,-0.1879047270100829
