model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
deepseek-coder-1.3b,-1,last_token,clean_heldout,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,clean_heldout,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,clean_heldout,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,encode_only,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,encode_only,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,encode_only,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,flatten_only,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,flatten_only,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,flatten_only,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,normalize,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,normalize,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,normalize,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,opaque_only,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,opaque_only,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,opaque_only,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_cumulative,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,rename_cumulative,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_cumulative,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_only,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,rename_only,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_only,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque_encode,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque_encode,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque_encode,logit,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque_encode_flatten,clens,logit,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque_encode_flatten,clens,clrp,,,196
deepseek-coder-1.3b,-1,last_token,rename_opaque_encode_flatten,logit,clrp,,,196
deepseek-coder-1.3b,0,last_token,clean_heldout,clens,logit,0.046091931141509127,0.08461936902836106,196
deepseek-coder-1.3b,0,last_token,clean_heldout,clens,clrp,0.24544021273940847,0.2359394050474544,196
deepseek-coder-1.3b,0,last_token,clean_heldout,logit,clrp,0.44296067209985934,0.4377307971216601,196
deepseek-coder-1.3b,0,last_token,encode_only,clens,logit,0.058733330347757254,0.05054945054945055,196
deepseek-coder-1.3b,0,last_token,encode_only,clens,clrp,0.49257963890781653,0.46921244093107767,196
deepseek-coder-1.3b,0,last_token,encode_only,logit,clrp,0.13126397349655777,0.20157464000828762,196
deepseek-coder-1.3b,0,last_token,flatten_only,clens,logit,0.18560091602878256,0.12308329813768537,196
deepseek-coder-1.3b,0,last_token,flatten_only,clens,clrp,0.43517442793323735,0.39739260014822014,196
deepseek-coder-1.3b,0,last_token,flatten_only,logit,clrp,0.41359834448924404,0.3654232641904869,196
deepseek-coder-1.3b,0,last_token,normalize,clens,logit,0.055730460511355794,0.051671461243614984,196
deepseek-coder-1.3b,0,last_token,normalize,clens,clrp,0.5176251587913139,0.4921674409709218,196
deepseek-coder-1.3b,0,last_token,normalize,logit,clrp,0.17544711175572672,0.22126879646821634,196
deepseek-coder-1.3b,0,last_token,opaque_only,clens,logit,0.18956190344940688,0.1965797799010272,196
deepseek-coder-1.3b,0,last_token,opaque_only,clens,clrp,0.386921067529566,0.37217285977256975,196
deepseek-coder-1.3b,0,last_token,opaque_only,logit,clrp,0.3544272443051281,0.3386033835634996,196
deepseek-coder-1.3b,0,last_token,rename_cumulative,clens,logit,0.053185723708179,0.05773095649817914,196
deepseek-coder-1.3b,0,last_token,rename_cumulative,clens,clrp,0.24867965545662166,0.19342412482368973,196
deepseek-coder-1.3b,0,last_token,rename_cumulative,logit,clrp,0.24880862239110463,0.25343416554439036,196
deepseek-coder-1.3b,0,last_token,rename_only,clens,logit,0.14930151924835514,0.14905051438771524,196
deepseek-coder-1.3b,0,last_token,rename_only,clens,clrp,0.5190357773784384,0.45000597661946473,196
deepseek-coder-1.3b,0,last_token,rename_only,logit,clrp,0.3053286868744603,0.22646925228506087,196
deepseek-coder-1.3b,0,last_token,rename_opaque,clens,logit,0.14596219257066342,0.12435034146419209,196
deepseek-coder-1.3b,0,last_token,rename_opaque,clens,clrp,0.3911985146741484,0.3639729378670641,196
deepseek-coder-1.3b,0,last_token,rename_opaque,logit,clrp,0.4794517563593771,0.3926527424714517,196
deepseek-coder-1.3b,0,last_token,rename_opaque_encode,clens,logit,0.03625884875394152,0.021904708779255554,196
deepseek-coder-1.3b,0,last_token,rename_opaque_encode,clens,clrp,0.3877557421999921,0.34925292256691826,196
deepseek-coder-1.3b,0,last_token,rename_opaque_encode,logit,clrp,0.39081358097834556,0.3194224194949358,196
deepseek-coder-1.3b,0,last_token,rename_opaque_encode_flatten,clens,logit,-0.0031213866836355022,0.04045932312792357,196
deepseek-coder-1.3b,0,last_token,rename_opaque_encode_flatten,clens,clrp,0.2877113707300425,0.2739538923730367,196
deepseek-coder-1.3b,0,last_token,rename_opaque_encode_flatten,logit,clrp,0.43903797840359315,0.437064603272,196
deepseek-coder-1.3b,3,last_token,clean_heldout,clens,logit,0.26787602766015617,0.26649825881152933,196
deepseek-coder-1.3b,3,last_token,clean_heldout,clens,clrp,0.5104181158556087,0.47768330291898103,196
deepseek-coder-1.3b,3,last_token,clean_heldout,logit,clrp,0.5867827929752336,0.5959837117197523,196
deepseek-coder-1.3b,3,last_token,encode_only,clens,logit,0.2918191673285756,0.3087840368478512,196
deepseek-coder-1.3b,3,last_token,encode_only,clens,clrp,0.4541100270708923,0.4754982508427034,196
deepseek-coder-1.3b,3,last_token,encode_only,logit,clrp,0.5326202019914908,0.5464829586656998,196
deepseek-coder-1.3b,3,last_token,flatten_only,clens,logit,0.12801325739700997,0.12559507207803075,196
deepseek-coder-1.3b,3,last_token,flatten_only,clens,clrp,0.385282515432018,0.3645323494489557,196
deepseek-coder-1.3b,3,last_token,flatten_only,logit,clrp,0.4943035400764609,0.4889751292942011,196
deepseek-coder-1.3b,3,last_token,normalize,clens,logit,0.2836891700774951,0.29713680083513294,196
deepseek-coder-1.3b,3,last_token,normalize,clens,clrp,0.4654853082916275,0.49078564655069373,196
deepseek-coder-1.3b,3,last_token,normalize,logit,clrp,0.5335687487495019,0.5420236036624725,196
deepseek-coder-1.3b,3,last_token,opaque_only,clens,logit,0.2779201683961831,0.28305747914159807,196
deepseek-coder-1.3b,3,last_token,opaque_only,clens,clrp,0.441426358571208,0.45856449569284957,196
deepseek-coder-1.3b,3,last_token,opaque_only,logit,clrp,0.5227745620835182,0.5536644646144284,196
deepseek-coder-1.3b,3,last_token,rename_cumulative,clens,logit,0.2760991330132943,0.2689351257879177,196
deepseek-coder-1.3b,3,last_token,rename_cumulative,clens,clrp,0.4016565841253921,0.3627855828000861,196
deepseek-coder-1.3b,3,last_token,rename_cumulative,logit,clrp,0.5216936508289871,0.521159623552662,196
deepseek-coder-1.3b,3,last_token,rename_only,clens,logit,0.18190838250469912,0.18646415223645102,196
deepseek-coder-1.3b,3,last_token,rename_only,clens,clrp,0.34055257864326705,0.32233900979368707,196
deepseek-coder-1.3b,3,last_token,rename_only,logit,clrp,0.43681856085853255,0.41626278000462197,196
deepseek-coder-1.3b,3,last_token,rename_opaque,clens,logit,0.2499875350902987,0.23621831395580492,196
deepseek-coder-1.3b,3,last_token,rename_opaque,clens,clrp,0.5060455914979844,0.4593964411223295,196
deepseek-coder-1.3b,3,last_token,rename_opaque,logit,clrp,0.5480910004079673,0.48444246109220734,196
deepseek-coder-1.3b,3,last_token,rename_opaque_encode,clens,logit,0.18313546606598066,0.17333471459649852,196
deepseek-coder-1.3b,3,last_token,rename_opaque_encode,clens,clrp,0.4299606864189936,0.4285092717289962,196
deepseek-coder-1.3b,3,last_token,rename_opaque_encode,logit,clrp,0.5470296137336245,0.5263999234992709,196
deepseek-coder-1.3b,3,last_token,rename_opaque_encode_flatten,clens,logit,0.16536160244160755,0.14662958506323265,196
deepseek-coder-1.3b,3,last_token,rename_opaque_encode_flatten,clens,clrp,0.2908348080703811,0.24461905027532296,196
deepseek-coder-1.3b,3,last_token,rename_opaque_encode_flatten,logit,clrp,0.44686673446665415,0.42716572767334193,196
deepseek-coder-1.3b,7,last_token,clean_heldout,clens,logit,0.43536035755114627,0.4022376463275666,196
deepseek-coder-1.3b,7,last_token,clean_heldout,clens,clrp,0.7311926876483142,0.7297771119380982,196
deepseek-coder-1.3b,7,last_token,clean_heldout,logit,clrp,0.7653752136274257,0.7447027229478282,196
deepseek-coder-1.3b,7,last_token,encode_only,clens,logit,0.5028700278091,0.5011610579413335,196
deepseek-coder-1.3b,7,last_token,encode_only,clens,clrp,0.700816252118293,0.681799998406235,196
deepseek-coder-1.3b,7,last_token,encode_only,logit,clrp,0.8542535590753773,0.856282223939947,196
deepseek-coder-1.3b,7,last_token,flatten_only,clens,logit,0.4130618074111238,0.4103738176254493,196
deepseek-coder-1.3b,7,last_token,flatten_only,clens,clrp,0.7045977894849752,0.6504315119253481,196
deepseek-coder-1.3b,7,last_token,flatten_only,logit,clrp,0.718284751821532,0.6984803448907873,196
deepseek-coder-1.3b,7,last_token,normalize,clens,logit,0.5059058461081155,0.4937819251089738,196
deepseek-coder-1.3b,7,last_token,normalize,clens,clrp,0.7027350928331396,0.6787017188757581,196
deepseek-coder-1.3b,7,last_token,normalize,logit,clrp,0.8545607869422486,0.8506434826956946,196
deepseek-coder-1.3b,7,last_token,opaque_only,clens,logit,0.4849473415740786,0.47852959223517605,196
deepseek-coder-1.3b,7,last_token,opaque_only,clens,clrp,0.6822333757004054,0.6644693957239279,196
deepseek-coder-1.3b,7,last_token,opaque_only,logit,clrp,0.8567774861173565,0.8535521041684928,196
deepseek-coder-1.3b,7,last_token,rename_cumulative,clens,logit,0.48511085855916286,0.46776848966841716,196
deepseek-coder-1.3b,7,last_token,rename_cumulative,clens,clrp,0.675099741957538,0.6339806676282383,196
deepseek-coder-1.3b,7,last_token,rename_cumulative,logit,clrp,0.8618486245402135,0.8555682171345697,196
deepseek-coder-1.3b,7,last_token,rename_only,clens,logit,0.4444688137650319,0.45504068085648947,196
deepseek-coder-1.3b,7,last_token,rename_only,clens,clrp,0.6576976420855145,0.6288280247671112,196
deepseek-coder-1.3b,7,last_token,rename_only,logit,clrp,0.8432109162764702,0.8461028456677478,196
deepseek-coder-1.3b,7,last_token,rename_opaque,clens,logit,0.5551976518500954,0.5397763947437625,196
deepseek-coder-1.3b,7,last_token,rename_opaque,clens,clrp,0.7052730275414504,0.6532986955031915,196
deepseek-coder-1.3b,7,last_token,rename_opaque,logit,clrp,0.8633536301198227,0.8674162675613004,196
deepseek-coder-1.3b,7,last_token,rename_opaque_encode,clens,logit,0.5205242950262225,0.5085338157129311,196
deepseek-coder-1.3b,7,last_token,rename_opaque_encode,clens,clrp,0.7151676040204149,0.6746392114049836,196
deepseek-coder-1.3b,7,last_token,rename_opaque_encode,logit,clrp,0.8547386135888813,0.8544143311365937,196
deepseek-coder-1.3b,7,last_token,rename_opaque_encode_flatten,clens,logit,0.4666634797677284,0.41858967718286066,196
deepseek-coder-1.3b,7,last_token,rename_opaque_encode_flatten,clens,clrp,0.6370790495405859,0.6026153686777327,196
deepseek-coder-1.3b,7,last_token,rename_opaque_encode_flatten,logit,clrp,0.7296449000143672,0.691238275864817,196
deepseek-coder-1.3b,11,last_token,clean_heldout,clens,logit,0.7228630140699864,0.7034369546334739,196
