model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
deepseek-coder-6.7b,clens,frozen_pool,main,-1,sink_arg,clean_heldout,196,18,0.3702991859465403,0.05555555555555555,-0.040712076530722056,0.13078708290315996,5.661812868856075,54
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,-1,sink_arg,clean_heldout,196,43,0.4992421870658556,0.023255813953488372,-0.02302786886996814,0.02763108607538868,6.650507217283274,29
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,-1,sink_arg,clean_heldout,196,43,0.4869120579233167,0.023255813953488372,-0.02320667459304106,0.024265808605159134,6.6064161292420716,29
deepseek-coder-6.7b,clens,frozen_pool,main,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,-1,last_token,clean_heldout,196,0,,,,,,72
deepseek-coder-6.7b,clens,frozen_pool,main,0,sink_arg,clean_heldout,196,72,0.27789449661170157,0.013888888888888888,-0.0028785898667744703,0.10512030934567652,2.9760254917455207,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,0,sink_arg,clean_heldout,196,72,0.29483700378310035,0.013888888888888888,-0.009322055720402431,0.06852960064529165,6.931439172357336,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,0,sink_arg,clean_heldout,196,72,0.2968828121965721,0.013888888888888888,-0.01055430392724733,0.05900146198346834,6.965780272434203,0
deepseek-coder-6.7b,clens,frozen_pool,main,0,last_token,clean_heldout,196,72,0.4006014969293326,0.013888888888888888,-0.006674759780446634,0.08548002167403157,0.18291520656697235,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,0,last_token,clean_heldout,196,72,0.4181448118685098,0.013888888888888888,-0.011627845300970776,0.0492193197771006,0.5463717695519639,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,0,last_token,clean_heldout,196,72,0.4226396099745347,0.013888888888888888,-0.01263645931497714,0.03778803981799573,0.5537414512614911,0
deepseek-coder-6.7b,clens,frozen_pool,main,3,sink_arg,clean_heldout,196,72,0.18185432367852336,0.013888888888888888,0.021772175082317144,0.1880390189578171,3.4742857042368467,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,3,sink_arg,clean_heldout,196,72,0.3308117112802752,0.013888888888888888,-0.011668250182115135,0.04881288494937487,6.185804209707515,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,3,sink_arg,clean_heldout,196,72,0.31083125279047724,0.013888888888888888,-0.01204568520880688,0.04483865367668463,6.228680391619008,0
deepseek-coder-6.7b,clens,frozen_pool,main,3,last_token,clean_heldout,196,72,0.26556695582540946,0.013888888888888888,-0.004703084248022069,0.09618277005484235,0.38467681331449316,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,3,last_token,clean_heldout,196,72,0.4296012489894478,0.013888888888888888,-0.013556780706063516,0.02281220734043322,1.7212657710686217,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,3,last_token,clean_heldout,196,72,0.45016595350876604,0.013888888888888888,-0.013396232288717674,0.026052166550192362,1.7433037276585661,0
deepseek-coder-6.7b,clens,frozen_pool,main,7,sink_arg,clean_heldout,196,72,0.25881316845041746,0.013888888888888888,0.037817430483309135,0.2262323524214697,4.02309268226579,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,7,sink_arg,clean_heldout,196,72,0.25758432141233184,0.013888888888888888,-0.012398027229828029,0.040780589521209255,6.182677502466741,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,7,sink_arg,clean_heldout,196,72,0.23923555387104095,0.013888888888888888,-0.012890148132064919,0.0343186624446749,6.411685977177279,0
deepseek-coder-6.7b,clens,frozen_pool,main,7,last_token,clean_heldout,196,72,0.22982660140112485,0.013888888888888888,0.06652593646615709,0.28194122439834557,1.4311240344321479,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,7,last_token,clean_heldout,196,72,0.2608492134776196,0.013888888888888888,-0.013705043403168898,0.01934407689097637,3.998323634903476,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_safe,7,last_token,clean_heldout,196,72,0.25447963242086696,0.013888888888888888,-0.013265253495475028,0.02842314242471195,4.114483520049203,0
deepseek-coder-6.7b,clens,frozen_pool,main,11,sink_arg,clean_heldout,196,72,0.23922409502265632,0.013888888888888888,0.14147007826980973,0.3916555948285519,6.838488362964605,0
deepseek-coder-6.7b,clens,frozen_pool,same_label_unsafe,11,sink_arg,clean_heldout,196,72,0.2570629868103613,0.013888888888888888,-0.013135295415055046,0.03059457684584433,8.972355812933921,0
