model,layer,site,condition,condition_kind,condition_order,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm,same_label_unsafe_n,same_label_unsafe_sv1_share,same_label_unsafe_sv1_floor,same_label_unsafe_mean_pairwise_cosine,same_label_unsafe_resultant_length,same_label_unsafe_mean_norm,same_label_unsafe_dropped_zero_norm,same_label_safe_n,same_label_safe_sv1_share,same_label_safe_sv1_floor,same_label_safe_mean_pairwise_cosine,same_label_safe_resultant_length,same_label_safe_mean_norm,same_label_safe_dropped_zero_norm,n_pairs,same_label_sv1_share,sv1_ratio,proj_mean,proj_sign_consistency,proj_ci_lo,proj_ci_hi,same_label_proj_mean,same_label_proj_sign_consistency
deepseek-coder-6.7b,-1,sink_arg,clean_heldout,clean,-1,18,0.20483097952183657,0.05555555555555555,-0.030991942097610012,0.16212769047551337,244.17004833833835,54,43,0.38059164449581095,0.023255813953488372,-0.023781446574415156,0.005236819278210879,238.3039628542748,29,43,0.3797159371682428,0.023255813953488372,-0.023781110580695507,0.00526805999062746,238.4447920046041,29,18,0.38059164449581095,0.538190952124518,-0.005117495390062091,0.5,-0.12955161809237445,0.10911167131820558,-0.0002529403715303002,0.46511627906976744
deepseek-coder-6.7b,-1,sink_arg,encode_only,atomic,13,18,0.20483097952183657,0.05555555555555555,-0.030991942097610012,0.16212769047551337,244.17004833833835,54,43,0.38059164449581095,0.023255813953488372,-0.023781446574415156,0.005236819278210879,238.3039628542748,29,43,0.3797159371682428,0.023255813953488372,-0.023781110580695507,0.00526805999062746,238.4447920046041,29,18,0.38059164449581095,0.538190952124518,-0.005117495390062091,0.5,-0.12955161809237445,0.10911167131820558,-0.0002529403715303002,0.46511627906976744
deepseek-coder-6.7b,-1,sink_arg,flatten_only,atomic,14,18,0.20483097952183657,0.05555555555555555,-0.030991942097610012,0.16212769047551337,244.17004833833835,54,43,0.38059164449581095,0.023255813953488372,-0.023781446574415156,0.005236819278210879,238.3039628542748,29,43,0.3797159371682428,0.023255813953488372,-0.023781110580695507,0.00526805999062746,238.4447920046041,29,18,0.38059164449581095,0.538190952124518,-0.005117495390062091,0.5,-0.12955161809237445,0.10911167131820558,-0.0002529403715303002,0.46511627906976744
deepseek-coder-6.7b,-1,sink_arg,normalize,baseline,0,18,0.20483097952183657,0.05555555555555555,-0.030991942097610012,0.16212769047551337,244.17004833833835,54,43,0.38059164449581095,0.023255813953488372,-0.023781446574415156,0.005236819278210879,238.3039628542748,29,43,0.3797159371682428,0.023255813953488372,-0.023781110580695507,0.00526805999062746,238.4447920046041,29,18,0.38059164449581095,0.538190952124518,-0.005117495390062091,0.5,-0.12955161809237445,0.10911167131820558,-0.0002529403715303002,0.46511627906976744
deepseek-coder-6.7b,-1,sink_arg,opaque_only,atomic,12,18,0.20483097952183657,0.05555555555555555,-0.030991942097610012,0.16212769047551337,244.17004833833835,54,43,0.38059164449581095,0.023255813953488372,-0.023781446574415156,0.005236819278210879,238.3039628542748,29,43,0.3797159371682428,0.023255813953488372,-0.023781110580695507,0.00526805999062746,238.4447920046041,29,18,0.38059164449581095,0.538190952124518,-0.005117495390062091,0.5,-0.12955161809237445,0.10911167131820558,-0.0002529403715303002,0.46511627906976744
deepseek-coder-6.7b,-1,sink_arg,rename_cumulative,cumulative,21,62,0.19546362361079767,0.016129032258064516,-0.0015138635717533999,0.12099415622539063,218.9572844738799,10,65,0.2577417843543342,0.015384615384615385,-0.015591397231993596,0.005752025933944492,222.8197403448524,7,65,0.22230873010235824,0.015384615384615385,-0.015527645701348885,0.009790635332312489,217.57049068109052,7,62,0.2577417843543342,0.7583699480487853,-0.006401307383561223,0.4032258064516129,-0.013482702894109905,0.0006077340317026042,0.00010820672455581082,0.49230769230769234
deepseek-coder-6.7b,-1,sink_arg,rename_only,atomic,11,65,0.1995130081182507,0.015384615384615385,-0.00688372902424848,0.09277278633207522,218.12550379722512,7,66,0.19651794985688084,0.015151515151515152,-0.015330486940827195,0.0073012544026356254,219.26754662784165,6,67,0.1941083395714905,0.014925373134328358,-0.01509156358595688,0.007684840016052819,217.29520648875518,5,65,0.19651794985688084,1.0152406345758802,-0.0005903313106703421,0.47692307692307695,-0.0081070164577571,0.006534392995817686,-0.00012883277681162534,0.518796992481203
deepseek-coder-6.7b,-1,sink_arg,rename_opaque,cumulative,22,66,0.2015484958030638,0.015151515151515152,0.015225848703110447,0.17362796196841607,220.54913677147357,6,66,0.23423285364624616,0.015151515151515152,-0.01533260031722353,0.007157301189006924,218.12107560273856,6,61,0.22660056190026331,0.01639344262295082,-0.016641254109095192,0.0049995958103651135,222.4891668199383,11,66,0.23423285364624616,0.8604621113802233,-0.00137963513703354,0.5151515151515151,-0.00997937757901575,0.006569633053815825,8.44993974151792e-06,0.4881889763779528
deepseek-coder-6.7b,-1,sink_arg,rename_opaque_encode,cumulative,23,68,0.1937816025054133,0.014705882352941176,-0.006506389994648977,0.09107784892110628,222.1213840817982,4,66,0.192378495994867,0.015151515151515152,-0.015329276872754965,0.007382414886709109,219.5243568679295,6,67,0.2297891512261663,0.014925373134328358,-0.015076195857869961,0.008613659215648304,220.26269701516426,5,68,0.2297891512261663,0.8433017897989746,0.007060124970497995,0.5882352941176471,0.0008838762985198208,0.013654908650046758,-0.00028624142107511717,0.5112781954887218
deepseek-coder-6.7b,-1,sink_arg,rename_opaque_encode_flatten,cumulative,24,67,0.1807473135780769,0.014925373134328358,-0.006724982064826467,0.09110852833923448,217.87415052015044,5,66,0.2103772505087294,0.015151515151515152,-0.015327273787320982,0.007514837670514736,216.1015277873224,6,62,0.20678769385815085,0.016129032258064516,-0.01632363152558771,0.008287648153835309,218.5006667130839,10,67,0.2103772505087294,0.8591580750342441,-0.0028904321895444657,0.5223880597014925,-0.010414299872195344,0.004566442237869098,-0.00012759535492009493,0.484375
deepseek-coder-6.7b,-1,last_token,clean_heldout,clean,-1,0,,,,,,72,0,,,,,,72,0,,,,,,72,0,,,,,,,,
deepseek-coder-6.7b,-1,last_token,encode_only,atomic,13,0,,,,,,72,0,,,,,,72,0,,,,,,72,0,,,,,,,,
deepseek-coder-6.7b,-1,last_token,flatten_only,atomic,14,0,,,,,,72,66,0.22817725565827707,0.015151515151515152,-0.015370631870379155,0.003711016411767783,219.88031977948918,6,66,0.22817725565827707,0.015151515151515152,-0.015370631870379155,0.003711016411767783,219.88031977948918,6,0,0.22817725565827707,,,,,,0.0,0.0
deepseek-coder-6.7b,-1,last_token,normalize,baseline,0,0,,,,,,72,0,,,,,,72,0,,,,,,72,0,,,,,,,,
deepseek-coder-6.7b,-1,last_token,opaque_only,atomic,12,0,,,,,,72,22,0.9999999999999422,0.045454545454545456,-0.04761904761904764,8.776063903310502e-18,256.29274151301746,50,22,0.9999999999999422,0.045454545454545456,-0.04761904761904764,8.776063903310502e-18,256.29274151301746,50,0,0.9999999999999422,,,,,,0.0,0.0
deepseek-coder-6.7b,-1,last_token,rename_cumulative,cumulative,21,0,,,,,,72,0,,,,,,72,0,,,,,,72,0,,,,,,,,
deepseek-coder-6.7b,-1,last_token,rename_only,atomic,11,0,,,,,,72,0,,,,,,72,0,,,,,,72,0,,,,,,,,
deepseek-coder-6.7b,-1,last_token,rename_opaque,cumulative,22,0,,,,,,72,42,0.5859586068654148,0.023809523809523808,-0.024316374884581216,0.008491774356301218,247.12527431676375,30,42,0.5859586068654148,0.023809523809523808,-0.024316374884581216,0.008491774356301218,247.12527431676375,30,0,0.5859586068654148,,,,,,0.0,0.0
deepseek-coder-6.7b,-1,last_token,rename_opaque_encode,cumulative,23,0,,,,,,72,34,0.5451708127764847,0.029411764705882353,-0.030203531695758627,0.009827114410956996,243.74913746119685,38,34,0.5451708127764847,0.029411764705882353,-0.030203531695758627,0.009827114410956996,243.74913746119685,38,0,0.5451708127764847,,,,,,0.0,0.0
deepseek-coder-6.7b,-1,last_token,rename_opaque_encode_flatten,cumulative,24,0,,,,,,72,67,0.2229936833285825,0.014925373134328358,-0.015087624931176172,0.007933261306725482,216.71085695486565,5,67,0.2229936833285825,0.014925373134328358,-0.015087624931176172,0.007933261306725482,216.71085695486565,5,0,0.2229936833285825,,,,,,0.0,0.0
deepseek-coder-6.7b,0,sink_arg,clean_heldout,clean,-1,72,0.23695147230139244,0.013888888888888888,0.0016640545772404786,0.12461874496640156,62.5293617961928,0,72,0.2185370103526629,0.013888888888888888,-0.011023981178786935,0.05493649570010198,131.02032488756424,0,72,0.21666912573149874,0.013888888888888888,-0.011232824828219128,0.05302900637026167,130.9946755727449,0,72,0.2185370103526629,1.084262441034648,-0.06933511831570031,0.4166666666666667,-0.13364085420499983,-0.00220743312262186,0.004913317857909955,0.4791666666666667
deepseek-coder-6.7b,0,sink_arg,encode_only,atomic,13,72,0.23885586720145374,0.013888888888888888,0.0016058435228872632,0.12438821901415678,62.591441015654965,0,72,0.21880782971110824,0.013888888888888888,-0.011074097059323974,0.054484848656912256,131.33070879286043,0,72,0.21694808207352845,0.013888888888888888,-0.011211109691577258,0.05323052746440798,131.28306661646678,0,72,0.21880782971110824,1.091623949274644,-0.06912389262020607,0.4166666666666667,-0.1341364755983948,-0.002592171820748742,0.0048957089784050275,0.4722222222222222
deepseek-coder-6.7b,0,sink_arg,flatten_only,atomic,14,72,0.23591589153173256,0.013888888888888888,0.001332280054982125,0.1232990878077307,62.36236412316383,0,72,0.21905738375643236,0.013888888888888888,-0.011149039187738796,0.05380239276878365,130.96319306219874,0,72,0.2174469475270175,0.013888888888888888,-0.011344764880929404,0.05197778551324868,130.91694632971925,0,72,0.21905738375643236,1.076959322193152,-0.06841033853628722,0.4166666666666667,-0.13306875397188958,-0.0021593697435338738,0.005446370928471949,0.4930555555555556
deepseek-coder-6.7b,0,sink_arg,normalize,baseline,0,72,0.23700382129182218,0.013888888888888888,0.0016972236362080696,0.12474990971777923,62.50189624229378,0,72,0.21859628634202682,0.013888888888888888,-0.011036156863260923,0.05482710991892735,130.9760826282535,0,72,0.2167543895243897,0.013888888888888888,-0.011233049448117382,0.053026917847823325,130.96167726564602,0,72,0.21859628634202682,1.0842079033355305,-0.06941165910298693,0.4166666666666667,-0.13374130911607138,-0.0024018502702016437,0.004852129744865716,0.4791666666666667
deepseek-coder-6.7b,0,sink_arg,opaque_only,atomic,12,72,0.2380413201645072,0.013888888888888888,0.0016111310305131827,0.12440917610664348,62.43748635122423,0,72,0.2189646143732852,0.013888888888888888,-0.01143325199806841,0.051131517261473074,131.0171253286765,0,72,0.21711047594175936,0.013888888888888888,-0.011144445022722835,0.053844478127427146,130.9348337721102,0,72,0.2189646143732852,1.0871223226904623,-0.06914827815742514,0.4166666666666667,-0.13355219299712118,-0.0023272398173932564,0.0029246344087068455,0.4791666666666667
deepseek-coder-6.7b,0,sink_arg,rename_cumulative,cumulative,21,72,0.17215415952594765,0.013888888888888888,-0.0006739157645585918,0.11499710024824418,153.6033127839336,0,72,0.22218921705145223,0.013888888888888888,-0.01339613513124572,0.026054005258723315,163.76678640441858,0,72,0.19548199029096436,0.013888888888888888,-0.0132778039140203,0.028204590373179933,160.4539393903186,0,72,0.22218921705145223,0.7748087950014334,-0.014087993057590516,0.4861111111111111,-0.03660040088981653,0.00518541172703653,0.002458472553595918,0.4930555555555556
