model,program_id,base_id,condition,condition_kind,condition_order,prompt_style,role,label,family,structure,model_margin,model_says_tainted,correct,n_prompt_tokens
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.90625,1,1,74
deepseek-coder-6.7b,command_exec_direct_00_unsafe,command_exec_direct_00,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.125,0,0,67
deepseek-coder-6.7b,command_exec_direct_00_safe,command_exec_direct_00,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.859375,1,0,73
deepseek-coder-6.7b,command_exec_direct_00_safe,command_exec_direct_00,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.109375,0,1,66
deepseek-coder-6.7b,command_exec_direct_08_unsafe,command_exec_direct_08,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.921875,1,1,73
deepseek-coder-6.7b,command_exec_direct_08_unsafe,command_exec_direct_08,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.09375,0,0,66
deepseek-coder-6.7b,command_exec_direct_08_safe,command_exec_direct_08,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.90625,1,0,73
deepseek-coder-6.7b,command_exec_direct_08_safe,command_exec_direct_08,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.078125,0,1,66
deepseek-coder-6.7b,command_exec_direct_09_unsafe,command_exec_direct_09,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.8125,1,1,79
deepseek-coder-6.7b,command_exec_direct_09_unsafe,command_exec_direct_09,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.15625,0,0,71
deepseek-coder-6.7b,command_exec_direct_09_safe,command_exec_direct_09,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.734375,1,0,79
deepseek-coder-6.7b,command_exec_direct_09_safe,command_exec_direct_09,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.078125,0,1,71
