model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,n_nonzero,degenerate,median_delta_frac,sign_test_p,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,other,0,72,0.01248119138361888,0.6805555555555556,72,0,0.009267456858145229,0.002942760530124976,0.002,3.012827685417655,0.44134225349401507,0.4288610621103962,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,signature,1,72,0.00016220524928139832,0.4444444444444444,72,0,-0.0028713947125982575,0.40957939592707177,0.966,0.06467972493920848,0.3191936840156165,0.3190314787663351,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,sink_arg,0,72,0.0018577767940432285,0.5972222222222222,72,0,0.003024200342040952,0.12491820036864004,0.348,0.9380531388188748,0.007139763662274806,0.005281986868231578,0.6111111111111112,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,sink_call,1,72,-0.003889199488801711,0.4722222222222222,72,0,-0.0013249780369728806,0.7239481457469141,0.228,-1.2397663740217444,0.04049431591805715,0.04438351540685886,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,source_expr,1,72,0.006974448802912441,0.6388888888888888,72,0,0.008033269769532343,0.02446090732832437,0.036,2.1922270861829616,0.0884963340819601,0.08152188527904766,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,taint_chain,1,72,0.0026917374566236447,0.5416666666666666,72,0,0.0033261216847320346,0.555997717760971,0.274,1.0742759665397057,0.03281698502251145,0.03012524756588781,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,trust_chain,1,72,-0.01109545419633843,0.2916666666666667,72,0,-0.01155076471324898,0.0005349642016498918,0.0,-3.7508496327744942,0.023453803210998395,0.034549257407336824,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,5723, safe,trusted_expr,1,72,-0.00918266758307988,0.25,72,0,-0.005289030680190734,2.568720337924735e-05,0.0,-3.665554019081914,0.04706337456816404,0.05624604215124392,1.0,5.079452496392634e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,other,0,72,0.003871199008526854,0.6111111111111112,72,0,0.003096690347975717,0.07636915467183139,0.004,2.7183007496204827,0.5402435891136528,0.5363723901051257,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,signature,1,72,0.005050058228231482,0.7083333333333334,72,0,0.004952353744265697,0.0005349642016498918,0.0,3.4389965902318007,0.2688380450589838,0.2637879868307523,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,sink_arg,0,72,0.0009083562541282262,0.5416666666666666,72,0,0.000764442433575609,0.555997717760971,0.282,1.1335119951224866,0.0034352730189165046,0.0025269167647882784,0.6111111111111112,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,sink_call,1,72,-0.0037705365310949555,0.375,72,0,-0.003461275499611817,0.04437092000802569,0.0,-3.0331709060523226,0.05140893782679717,0.055179474357892125,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,source_expr,1,72,0.0015963878537902333,0.5416666666666666,72,0,0.001526900055858163,0.555997717760971,0.248,1.1260339725587656,0.057128547202525484,0.05553215934873524,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,taint_chain,1,72,-0.0022580702325190097,0.4166666666666667,72,0,-0.0018153519025352702,0.1945051658673991,0.044,-2.0235841432532906,0.01782644441078422,0.020084514643303228,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,trust_chain,1,72,-0.0022775379381466867,0.4027777777777778,72,0,-0.0037953760012588906,0.12491820036864004,0.038,-2.073389168308724,0.020448124535552586,0.022725662473699268,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,0,24281, vulnerable,trusted_expr,1,72,-0.0031198133315696484,0.3472222222222222,72,0,-0.0028683204310181454,0.012774595538064901,0.01,-2.4832239165788224,0.04067141961710418,0.04379123294867383,1.0,3.439406693894753e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,other,0,72,0.01017794379445412,0.6111111111111112,72,0,0.0043661325268802564,0.07636915467183139,0.008,2.553582951398212,0.44443699532453784,0.43425905153008376,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,signature,1,72,0.00220370722183321,0.4583333333333333,72,0,-0.0019944885511821997,0.555997717760971,0.494,0.7743030491733209,0.3004172006572412,0.2982134934354081,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,sink_arg,0,72,0.0022180403221306287,0.6388888888888888,72,0,0.003146231756867469,0.02446090732832437,0.306,1.0186562849951943,0.010439371665675304,0.008221331343544675,0.6111111111111112,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,sink_call,1,72,-0.003970344848792947,0.4861111111111111,72,0,-0.0003924047260644957,0.906294324703081,0.262,-1.1337960852034963,0.052380890538652546,0.0563512353874455,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,source_expr,1,72,0.008049518831840534,0.625,72,0,0.010239267002997314,0.04437092000802569,0.016,2.4325102060823625,0.08874857159926335,0.0806990527674228,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,taint_chain,1,72,-0.0035080747449161087,0.3611111111111111,72,0,-0.0064657135540197655,0.02446090732832437,0.14,-1.4824042880806028,0.0297335994359704,0.03324167418088651,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,trust_chain,1,72,-0.0046578933425098406,0.3611111111111111,72,0,-0.0063908833879921315,0.02446090732832437,0.064,-1.8013137292193344,0.021790521816542112,0.026448415159051955,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,5723, safe,trusted_expr,1,72,-0.01051286986495468,0.2222222222222222,72,0,-0.008639152776551084,2.397319809534421e-06,0.0,-4.421565004413841,0.05205298715392059,0.06256585701887526,1.0,3.0216479340872127e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,other,0,72,0.005494107302255312,0.6666666666666666,72,0,0.0034130876403851707,0.006309827313666047,0.0,3.358269013576035,0.5532609068720582,0.5477667995698029,1.0,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,signature,1,72,0.005253251020645972,0.6944444444444444,72,0,0.005137205368763165,0.0012935849626762883,0.0,3.6608738706785995,0.24717300083119456,0.2419197498105486,1.0,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,sink_arg,0,72,5.046404175994491e-05,0.5416666666666666,72,0,0.0008885345608016749,0.555997717760971,0.96,0.039315898252707385,0.004081934353437606,0.004031470311677662,0.6111111111111112,1.0548872930726816e-07
deepseek-coder-6.7b,clean_heldout,clean,-1,3,24281, vulnerable,sink_call,1,72,-0.003689037038249049,0.4166666666666667,72,0,-0.0024108454019884165,0.1945051658673991,0.004,-2.6539155113637136,0.054931783262805636,0.05862082030105468,1.0,1.0548872930726816e-07
