model,condition,obf_level,obf_name,site,features,layer,relative_depth,breakdown,cell,accuracy,ci_lo,ci_hi,n,n_bases,n_pos,n_neg,pos_frac,frac_predicted_unsafe,acc_unsafe,acc_safe,pairs_same_label
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,clean_heldout,-1,clean,last_token,hidden,-1,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf0,0,normalize,last_token,hidden,-1,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf1,1,rename,last_token,hidden,-1,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf2,2,opaque,last_token,hidden,-1,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf3,3,encode,last_token,hidden,-1,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf3,3,encode,last_token,hidden,-1,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf3,3,encode,last_token,hidden,-1,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf3,3,encode,last_token,hidden,-1,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,1.0
deepseek-coder-6.7b,obf3,3,encode,last_token,hidden,-1,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,1.0
