model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,clean_heldout,clean,-1,,72,0.0,0.0,0.0,0.0,-0.00983287508302867,-0.00983287508302867,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,normalize,baseline,0,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,rename_only,atomic,11,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,opaque_only,atomic,12,,72,-0.009448146009885972,-1.1733421280699733e-05,0.1388888888888889,0.1388888888888889,-0.01237159860222729,-0.012359865180946592,-1.1962377924641976,0.312,0.008035119718343963,0.6388888888888888,-1.0,1.0,0.0018798337041454616,0.0,0.0,0.0,95.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,encode_only,atomic,13,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,flatten_only,atomic,14,,72,0.010145683627562404,4.9831536470627386e-05,0.5138888888888888,0.4722222222222222,-0.011953540778504352,-0.01200337231497498,0.5380870020588613,0.606,0.019483714645208546,0.041666666666666664,0.2268224189553361,-0.36205889719309353,0.0003254116546893313,0.0,0.125,0.0,84.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,rename_cumulative,cumulative,21,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,rename_opaque,cumulative,22,,72,0.03441176092939406,6.530513853108183e-05,0.2777777777777778,0.2777777777777778,-0.01218330041524588,-0.012248605553776961,0.8122577024039032,0.388,0.042236659684629474,0.5,-0.22739805942615218,0.4040785801758735,-0.00017407662809015227,0.0,0.125,0.0,54.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,rename_opaque_encode,cumulative,23,,72,0.020921010165368483,4.736270320483439e-05,0.2222222222222222,0.2361111111111111,-0.012261090948164981,-0.012308453651369816,0.5104232972752978,0.614,0.038319071685597235,0.5694444444444444,-0.07103082613214691,0.2677201896424603,0.0001776470752879147,0.0,0.0,0.03125,66.0
deepseek-coder-6.7b,mismatched_pairs,clens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,,72,0.005342892171564893,0.00010474603425727486,0.4583333333333333,0.5,-0.01177752759705297,-0.011882273631310246,0.20012953410098708,0.8,0.021494339905449363,0.125,0.4519802427200257,-0.625699097770165,-2.389931620901583e-06,0.125,0.0,0.0625,172.0
deepseek-coder-6.7b,mismatched_pairs,clens,0,last_token,clean_heldout,clean,-1,0.0,72,0.0006799398976208015,-7.35335902683943e-07,0.4861111111111111,0.4583333333333333,-0.010527901777547519,-0.010527166441644835,0.40020134514323724,0.704,0.0016781432944589858,1.0,-0.5765497873238604,0.006879617286595548,-1.2751596641935592e-05,0.0,0.0,0.03125,35.0
deepseek-coder-6.7b,mismatched_pairs,clens,0,last_token,normalize,baseline,0,0.0,72,0.0052329139711363454,7.948032185945799e-06,0.5138888888888888,0.5694444444444444,-0.011070861414339241,-0.011078809446525189,0.5401375698263164,0.584,0.009219422230576011,1.0,0.7436253825057497,-0.9010952333641458,5.2448468502632987e-05,0.5,0.25,0.03125,57.0
deepseek-coder-6.7b,mismatched_pairs,clens,0,last_token,rename_only,atomic,11,0.0,72,0.012760734714908283,1.3390773006153335e-05,0.5416666666666666,0.5555555555555556,-0.01104556965522689,-0.011058960428233042,1.169384572328674,0.242,0.010542042665820768,1.0,0.8874249194408753,-0.9504065249095768,8.230114452577474e-05,0.125,0.25,0.0,31.0
deepseek-coder-6.7b,mismatched_pairs,clens,0,last_token,opaque_only,atomic,12,0.0,72,-0.004456934430352697,-4.372284003867581e-05,0.4722222222222222,0.5,-0.010892256185420541,-0.010848533345381864,-0.6255474293942033,0.578,0.007356238646704137,0.6388888888888888,0.042472583945126895,-0.6585018580154962,0.00048065887729549967,0.125,0.0,0.0,62.0
deepseek-coder-6.7b,mismatched_pairs,clens,0,last_token,encode_only,atomic,13,0.0,72,0.0053682465887045245,1.0295851333294861e-05,0.5555555555555556,0.5833333333333334,-0.011078816116710615,-0.011089111968043911,0.6542520144563466,0.562,0.009417912557837003,1.0,0.7536806121191855,-0.8809891395686116,6.495810621032216e-05,0.375,0.25,0.03125,61.0
