lens,layer,relative_depth,site,condition,sign_consistency_z,permutation_p,displacement,control_displacement,specificity,beats_random_lens
clens,-1,,last_token,clean_heldout,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,encode_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,flatten_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,normalize,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,opaque_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_cumulative,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_only,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_opaque,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_opaque_encode,0.0,1.0,0.5,0.5,1.0,False
clens,-1,,last_token,rename_opaque_encode_flatten,0.0,1.0,0.5,0.5,1.0,False
clens,0,0.0,last_token,clean_heldout,0.5555555555555556,0.974,0.05555555555555558,0.1111111111111111,0.5000000000000002,False
clens,0,0.0,last_token,encode_only,0.5,0.43,0.0,0.02777777777777779,0.0,False
clens,0,0.0,last_token,flatten_only,0.3888888888888889,0.022,0.1111111111111111,0.08333333333333337,1.3333333333333326,True
clens,0,0.0,last_token,normalize,0.5,0.286,0.0,0.04166666666666663,0.0,False
clens,0,0.0,last_token,opaque_only,0.5,0.734,0.0,0.0,,False
clens,0,0.0,last_token,rename_cumulative,0.4861111111111111,0.554,0.013888888888888895,0.013888888888888895,1.0,False
clens,0,0.0,last_token,rename_only,0.5555555555555556,0.18,0.05555555555555558,0.04166666666666663,1.333333333333335,True
clens,0,0.0,last_token,rename_opaque,0.5138888888888888,0.662,0.01388888888888884,0.08333333333333337,0.166666666666666,False
clens,0,0.0,last_token,rename_opaque_encode,0.375,0.068,0.125,0.04166666666666663,3.0000000000000027,True
clens,0,0.0,last_token,rename_opaque_encode_flatten,0.5972222222222222,0.114,0.09722222222222221,0.125,0.7777777777777777,False
clens,3,0.0968,last_token,clean_heldout,0.5416666666666666,0.118,0.04166666666666663,0.02777777777777779,1.499999999999998,True
clens,3,0.0968,last_token,encode_only,0.6666666666666666,0.0,0.16666666666666663,0.16666666666666663,1.0,False
