model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-6.7b,main,jlens,-1,last_token,clean_heldout,clean,-1,,72,0.0,0.0,0.0,0.0,-0.00983287508302867,-0.00983287508302867,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,normalize,baseline,0,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,rename_only,atomic,11,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,opaque_only,atomic,12,,72,0.0,0.0,0.0,0.0,-0.01237159860222729,-0.01237159860222729,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,encode_only,atomic,13,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,flatten_only,atomic,14,,72,0.0,0.0,0.0,0.0,-0.011953540778504352,-0.011953540778504352,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,rename_cumulative,cumulative,21,,72,0.0,0.0,0.0,0.0,-0.01239897658521559,-0.01239897658521559,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,rename_opaque,cumulative,22,,72,0.0,0.0,0.0,0.0,-0.01218330041524588,-0.01218330041524588,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,rename_opaque_encode,cumulative,23,,72,0.0,0.0,0.0,0.0,-0.012261090948164981,-0.012261090948164981,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,,72,0.0,0.0,0.0,0.0,-0.01177752759705297,-0.01177752759705297,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-6.7b,main,jlens,0,last_token,clean_heldout,clean,-1,0.0,72,4.6833900770044184e-05,-5.671100832124637e-07,0.5555555555555556,0.4861111111111111,-0.010527901777547519,-0.010527334667464305,-0.022072766560601687,0.974,0.0012344649186075691,1.0,-0.7812208859030689,-0.3513251374826104,-3.6959035476760406e-06,0.0,0.0,0.03125,69.0
deepseek-coder-6.7b,main,jlens,0,last_token,normalize,baseline,0,0.0,72,-0.0014898908551999972,1.4452125909547943e-06,0.5,0.4444444444444444,-0.011070861414339241,-0.011072306626930198,-1.0511434082903548,0.286,0.0014486902857662005,1.0,0.11361949418531801,-0.24125649559371917,2.3401260936806167e-06,0.0,0.0,0.0,174.0
deepseek-coder-6.7b,main,jlens,0,last_token,rename_only,atomic,11,0.0,72,0.003857109244811496,4.559967784244835e-06,0.5555555555555556,0.5833333333333334,-0.01104556965522689,-0.011050129623011135,1.3827814687415578,0.18,0.002938101680883712,1.0,0.7527458479492173,-0.7777133800973989,3.2099216690808755e-05,0.25,0.125,0.0,51.0
deepseek-coder-6.7b,main,jlens,0,last_token,opaque_only,atomic,12,0.0,72,-0.00038538891877104613,2.873894228834355e-06,0.5,0.5,-0.010892256185420541,-0.010895130079649375,-0.3058666991492737,0.734,0.001159675866768249,1.0,0.38119037955690566,-0.44954880078741905,8.386500124012307e-06,0.25,0.0,0.0625,171.0
deepseek-coder-6.7b,main,jlens,0,last_token,encode_only,atomic,13,0.0,72,-0.0010545925234109312,1.2177241289889962e-06,0.5,0.4305555555555556,-0.011078816116710615,-0.011080033840839606,-0.8278652506755673,0.43,0.0013007774712302505,1.0,0.19887762931809366,-0.28744003092424253,1.199795123178286e-06,0.0,0.0,0.0,155.0
deepseek-coder-6.7b,main,jlens,0,last_token,flatten_only,atomic,14,0.0,72,-0.0002987172891938595,-2.055305100456147e-07,0.3888888888888889,0.3888888888888889,-0.008716223182435277,-0.008716017651925232,-2.2699705571199598,0.022,0.000133674450138772,1.0,0.19633441102893684,-0.4101353103955247,-2.1419186649884736e-06,0.0,0.125,0.03125,192.0
deepseek-coder-6.7b,main,jlens,0,last_token,rename_cumulative,cumulative,21,0.0,72,0.0017210344457806973,2.0633590448914426e-06,0.4861111111111111,0.5,-0.011044493797650217,-0.011046557156695107,0.4661895798439496,0.554,0.003137695052467309,1.0,0.7026322851154149,-0.7557253251309224,8.1173665084829e-06,0.125,0.25,0.03125,42.0
deepseek-coder-6.7b,main,jlens,0,last_token,rename_opaque,cumulative,22,0.0,72,0.0011047713253954912,-9.732849338153385e-08,0.5138888888888888,0.4861111111111111,-0.010108898360078987,-0.010108801031585605,0.4539152074665299,0.662,0.002628538860886062,1.0,0.8278575181820341,-0.8867409547013484,1.4368513652995851e-05,0.375,0.125,0.03125,37.0
deepseek-coder-6.7b,main,jlens,0,last_token,rename_opaque_encode,cumulative,23,0.0,72,-0.004601748578809682,-2.250017592093638e-06,0.375,0.5138888888888888,-0.010359358543370605,-0.010357108525778511,-1.948493217356346,0.068,0.0024926341259302338,1.0,0.7657014423400177,-0.8213380353293774,-4.728235617801335e-05,0.0,0.0,0.0,173.0
deepseek-coder-6.7b,main,jlens,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.0,72,0.00014418671708686504,4.520246133304562e-07,0.5972222222222222,0.6666666666666666,-0.008515313426716457,-0.008515765451329788,1.5111897964897039,0.114,9.35847268149717e-05,1.0,0.572433190311395,-0.49923240622661214,7.451664015710612e-07,0.125,0.0,0.03125,132.0
deepseek-coder-6.7b,main,jlens,3,last_token,clean_heldout,clean,-1,0.0968,72,0.003799625104846794,1.2324015177168401e-06,0.5416666666666666,0.4583333333333333,-0.010793099704083929,-0.010794332105601647,1.533516748868443,0.118,0.0024318784774939764,1.0,-0.4326957049496927,-0.048369975461115745,1.077390040700917e-06,0.0,0.0,0.03125,6.0
deepseek-coder-6.7b,main,jlens,3,last_token,normalize,baseline,0,0.0968,72,0.060137991550352154,8.166223877671921e-05,0.6527777777777778,0.5416666666666666,-0.010688065496019063,-0.01076972773479578,3.9664328863961815,0.0,0.01523539399804105,1.0,0.050670168160133186,-0.3748570399851533,-4.814390947665497e-05,0.0,0.0,0.03125,33.0
deepseek-coder-6.7b,main,jlens,3,last_token,rename_only,atomic,11,0.0968,72,0.03970919221630764,6.564926466101607e-05,0.5138888888888888,0.5277777777777778,-0.010681519865142508,-0.010747169129803523,2.4389941670697226,0.008,0.016300655650842554,1.0,-0.036750978023042905,0.06000686559306335,-1.9261114141522206e-05,0.0,0.0,0.0,70.0
