model,layer,site,pole,rank_within_pole,token_id,token,loading,overlap_with_same_label_direction
starcoder2-3b,-1,last_token,unsafe_higher,0,16,<code_to_intermediate>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,1,17,<intermediate_to_code>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,2,18,<pr>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,3,19,<pr_status>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,4,20,<pr_is_merged>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,5,21,<pr_base>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,6,22,<pr_file>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,7,23,<pr_base_code>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,8,24,<pr_diff>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,9,25,<pr_diff_hunk>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,10,26,<pr_comment>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,11,27,<pr_event_id>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,12,28,<pr_review>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,13,29,<pr_review_state>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,14,30,<pr_review_comment>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,15,31,<pr_in_reply_to_review_id>,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,16,49120,zIndex,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,17,49121,ث,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,18,49122, với,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,19,49123, TILE,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,20,49124,ssnoversion,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,21,49125,queness,0.0,1.0
