model,layer,site,condition,condition_kind,condition_order,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm,same_label_unsafe_n,same_label_unsafe_sv1_share,same_label_unsafe_sv1_floor,same_label_unsafe_mean_pairwise_cosine,same_label_unsafe_resultant_length,same_label_unsafe_mean_norm,same_label_unsafe_dropped_zero_norm,same_label_safe_n,same_label_safe_sv1_share,same_label_safe_sv1_floor,same_label_safe_mean_pairwise_cosine,same_label_safe_resultant_length,same_label_safe_mean_norm,same_label_safe_dropped_zero_norm,n_pairs,same_label_sv1_share,sv1_ratio,proj_mean,proj_sign_consistency,proj_ci_lo,proj_ci_hi,same_label_proj_mean,same_label_proj_sign_consistency
starcoder2-3b,-1,sink_arg,clean_heldout,clean,-1,18,0.34501036944098357,0.05555555555555555,-0.037331349364256756,0.14247164645945742,290.88691995727027,54,43,0.3225278777030839,0.023255813953488372,-0.023007299532049646,0.027992282845960528,182.46810005766355,29,43,0.34985018216349,0.023255813953488372,-0.02304551191547539,0.02731747015340512,203.85683993972202,29,18,0.34985018216349,0.9861660420109636,-0.005652452519322385,0.5555555555555556,-0.11513209944557022,0.10561641719280895,-0.0012041712892337812,0.5465116279069767
starcoder2-3b,-1,sink_arg,encode_only,atomic,13,18,0.34501036944098357,0.05555555555555555,-0.037331349364256756,0.14247164645945742,290.88691995727027,54,43,0.3225278777030839,0.023255813953488372,-0.023007299532049646,0.027992282845960528,182.46810005766355,29,43,0.34985018216349,0.023255813953488372,-0.02304551191547539,0.02731747015340512,203.85683993972202,29,18,0.34985018216349,0.9861660420109636,-0.005652452519322385,0.5555555555555556,-0.11513209944557022,0.10561641719280895,-0.0012041712892337812,0.5465116279069767
starcoder2-3b,-1,sink_arg,flatten_only,atomic,14,18,0.34501036944098357,0.05555555555555555,-0.037331349364256756,0.14247164645945742,290.88691995727027,54,43,0.3225278777030839,0.023255813953488372,-0.023007299532049646,0.027992282845960528,182.46810005766355,29,43,0.34985018216349,0.023255813953488372,-0.02304551191547539,0.02731747015340512,203.85683993972202,29,18,0.34985018216349,0.9861660420109636,-0.005652452519322385,0.5555555555555556,-0.11513209944557022,0.10561641719280895,-0.0012041712892337812,0.5465116279069767
starcoder2-3b,-1,sink_arg,normalize,baseline,0,18,0.34501036944098357,0.05555555555555555,-0.037331349364256756,0.14247164645945742,290.88691995727027,54,43,0.3225278777030839,0.023255813953488372,-0.023007299532049646,0.027992282845960528,182.46810005766355,29,43,0.34985018216349,0.023255813953488372,-0.02304551191547539,0.02731747015340512,203.85683993972202,29,18,0.34985018216349,0.9861660420109636,-0.005652452519322385,0.5555555555555556,-0.11513209944557022,0.10561641719280895,-0.0012041712892337812,0.5465116279069767
starcoder2-3b,-1,sink_arg,opaque_only,atomic,12,18,0.34501036944098357,0.05555555555555555,-0.037331349364256756,0.14247164645945742,290.88691995727027,54,43,0.3225278777030839,0.023255813953488372,-0.023007299532049646,0.027992282845960528,182.46810005766355,29,43,0.34985018216349,0.023255813953488372,-0.02304551191547539,0.02731747015340512,203.85683993972202,29,18,0.34985018216349,0.9861660420109636,-0.005652452519322385,0.5555555555555556,-0.11513209944557022,0.10561641719280895,-0.0012041712892337812,0.5465116279069767
starcoder2-3b,-1,sink_arg,rename_cumulative,cumulative,21,62,0.3025726132196351,0.016129032258064516,-0.0029092809648108317,0.11518105390984618,29.844837815498035,10,65,0.35075270031004946,0.015384615384615385,-0.01492043017218535,0.026338760259399397,31.337271555464742,7,65,0.2870393630834154,0.015384615384615385,-0.015076066267622992,0.023248410656058694,29.748072166966857,7,62,0.35075270031004946,0.8626380151946789,0.0017214914995675385,0.5483870967741935,-0.0025207693308085975,0.006206513660992546,0.00021344178737759978,0.4846153846153846
starcoder2-3b,-1,sink_arg,rename_only,atomic,11,65,0.3060855193156218,0.015384615384615385,-0.00608996198072513,0.09689347308601667,30.388481935728237,7,66,0.3067070067169516,0.015151515151515152,-0.014963749217741889,0.020359012912451145,29.85702424351655,6,67,0.2653954506612782,0.014925373134328358,-0.01491680247812711,0.015205574607964343,30.266611323633327,5,65,0.3067070067169516,0.9979736771977192,0.00023881903673951527,0.49230769230769234,-0.003772765101757659,0.004810329984230235,-0.00010662518505674582,0.5112781954887218
starcoder2-3b,-1,sink_arg,rename_opaque,cumulative,22,66,0.2826286696602659,0.015151515151515152,0.00547037612165802,0.1433143635037374,30.23210881493758,6,66,0.3170915133792075,0.015151515151515152,-0.015182749399203345,0.014099908151314192,29.741160058992303,6,61,0.29148801140064584,0.01639344262295082,-0.01623069731375335,0.020708025360738024,30.96526235730235,11,66,0.3170915133792075,0.8913157802563838,-0.001276829022848375,0.42424242424242425,-0.005303429382788264,0.0027839230602192976,-7.365680750496974e-05,0.5039370078740157
starcoder2-3b,-1,sink_arg,rename_opaque_encode,cumulative,23,68,0.3219082099379887,0.014705882352941176,-0.006363965508284504,0.09184500298176093,31.02536528192554,4,66,0.29798547967783484,0.015151515151515152,-0.01485400168779828,0.022859879600518045,30.604157368400003,6,67,0.2648220382276059,0.014925373134328358,-0.015120506815359255,0.0055268006268087335,29.970774105355268,5,68,0.29798547967783484,1.0802815301135402,-0.0012990715384986191,0.4411764705882353,-0.005794115896235576,0.003111007035781063,-0.0002864663733230058,0.49624060150375937
starcoder2-3b,-1,sink_arg,rename_opaque_encode_flatten,cumulative,24,67,0.27225074679833283,0.014925373134328358,-0.000411778956623882,0.12049788434773845,30.936970615561215,5,66,0.28708797108231504,0.015151515151515152,-0.015171734387441642,0.014479486438392655,31.681392992303767,6,62,0.3211486681052287,0.016129032258064516,-0.015727078509203796,0.025605005476679488,31.08404646750873,10,67,0.3211486681052287,0.8477405446038662,0.004041806010609824,0.6567164179104478,0.00017754800880432828,0.00804057943704258,-0.00015169412189717824,0.4921875
