model,program_id,base_id,condition,condition_kind,condition_order,prompt_style,role,label,family,structure,model_margin,model_says_tainted,correct,n_prompt_tokens
starcoder2-3b,command_exec_direct_00_unsafe,command_exec_direct_00,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.6484375,1,1,65
starcoder2-3b,command_exec_direct_00_unsafe,command_exec_direct_00,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.17578119039535522,0,0,61
starcoder2-3b,command_exec_direct_00_safe,command_exec_direct_00,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.60546875,1,0,65
starcoder2-3b,command_exec_direct_00_safe,command_exec_direct_00,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.189453125,0,1,61
starcoder2-3b,command_exec_direct_08_unsafe,command_exec_direct_08,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.48046875,1,1,65
starcoder2-3b,command_exec_direct_08_unsafe,command_exec_direct_08,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.4277343153953552,0,0,61
starcoder2-3b,command_exec_direct_08_safe,command_exec_direct_08,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.42578125,1,0,65
starcoder2-3b,command_exec_direct_08_safe,command_exec_direct_08,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.4521484375,0,1,61
starcoder2-3b,command_exec_direct_09_unsafe,command_exec_direct_09,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.751953125,1,1,69
starcoder2-3b,command_exec_direct_09_unsafe,command_exec_direct_09,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.044921875,0,0,65
starcoder2-3b,command_exec_direct_09_safe,command_exec_direct_09,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.58984375,1,0,69
starcoder2-3b,command_exec_direct_09_safe,command_exec_direct_09,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.134765625,0,1,65
starcoder2-3b,command_exec_direct_11_unsafe,command_exec_direct_11,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.54296875,1,1,69
starcoder2-3b,command_exec_direct_11_unsafe,command_exec_direct_11,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.3681641221046448,0,0,65
starcoder2-3b,command_exec_direct_11_safe,command_exec_direct_11,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.4765625,1,0,69
starcoder2-3b,command_exec_direct_11_safe,command_exec_direct_11,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.4541015028953552,0,1,65
starcoder2-3b,command_exec_direct_12_unsafe,command_exec_direct_12,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.517578125,1,1,65
starcoder2-3b,command_exec_direct_12_unsafe,command_exec_direct_12,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.25390625,0,0,61
starcoder2-3b,command_exec_direct_12_safe,command_exec_direct_12,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.46875,1,0,65
starcoder2-3b,command_exec_direct_12_safe,command_exec_direct_12,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.3242186903953552,0,1,61
starcoder2-3b,command_exec_direct_13_unsafe,command_exec_direct_13,clean_heldout,clean,-1,sink,unsafe,1,command_exec,direct,0.61328125,1,1,69
starcoder2-3b,command_exec_direct_13_unsafe,command_exec_direct_13,clean_heldout,clean,-1,e6,unsafe,1,command_exec,direct,-0.0703125,0,0,65
starcoder2-3b,command_exec_direct_13_safe,command_exec_direct_13,clean_heldout,clean,-1,sink,safe,0,command_exec,direct,0.57421875,1,0,69
starcoder2-3b,command_exec_direct_13_safe,command_exec_direct_13,clean_heldout,clean,-1,e6,safe,0,command_exec,direct,-0.09765625,0,1,65
starcoder2-3b,command_exec_assign_chain_00_unsafe,command_exec_assign_chain_00,clean_heldout,clean,-1,sink,unsafe,1,command_exec,assign_chain,0.50390625,1,1,95
starcoder2-3b,command_exec_assign_chain_00_unsafe,command_exec_assign_chain_00,clean_heldout,clean,-1,e6,unsafe,1,command_exec,assign_chain,-0.1875,0,0,91
starcoder2-3b,command_exec_assign_chain_00_safe,command_exec_assign_chain_00,clean_heldout,clean,-1,sink,safe,0,command_exec,assign_chain,0.46875,1,0,95
starcoder2-3b,command_exec_assign_chain_00_safe,command_exec_assign_chain_00,clean_heldout,clean,-1,e6,safe,0,command_exec,assign_chain,-0.1640625,0,1,91
starcoder2-3b,command_exec_assign_chain_02_unsafe,command_exec_assign_chain_02,clean_heldout,clean,-1,sink,unsafe,1,command_exec,assign_chain,0.3984375,1,1,95
starcoder2-3b,command_exec_assign_chain_02_unsafe,command_exec_assign_chain_02,clean_heldout,clean,-1,e6,unsafe,1,command_exec,assign_chain,-0.2216796875,0,0,91
starcoder2-3b,command_exec_assign_chain_02_safe,command_exec_assign_chain_02,clean_heldout,clean,-1,sink,safe,0,command_exec,assign_chain,0.41015625,1,0,95
starcoder2-3b,command_exec_assign_chain_02_safe,command_exec_assign_chain_02,clean_heldout,clean,-1,e6,safe,0,command_exec,assign_chain,-0.2578125,0,1,91
starcoder2-3b,command_exec_assign_chain_03_unsafe,command_exec_assign_chain_03,clean_heldout,clean,-1,sink,unsafe,1,command_exec,assign_chain,0.5234375,1,1,99
starcoder2-3b,command_exec_assign_chain_03_unsafe,command_exec_assign_chain_03,clean_heldout,clean,-1,e6,unsafe,1,command_exec,assign_chain,-0.3291015625,0,0,95
starcoder2-3b,command_exec_assign_chain_03_safe,command_exec_assign_chain_03,clean_heldout,clean,-1,sink,safe,0,command_exec,assign_chain,0.453125,1,0,99
starcoder2-3b,command_exec_assign_chain_03_safe,command_exec_assign_chain_03,clean_heldout,clean,-1,e6,safe,0,command_exec,assign_chain,-0.3876952528953552,0,1,95
starcoder2-3b,command_exec_assign_chain_06_unsafe,command_exec_assign_chain_06,clean_heldout,clean,-1,sink,unsafe,1,command_exec,assign_chain,0.51171875,1,1,95
starcoder2-3b,command_exec_assign_chain_06_unsafe,command_exec_assign_chain_06,clean_heldout,clean,-1,e6,unsafe,1,command_exec,assign_chain,-0.205078125,0,0,91
starcoder2-3b,command_exec_assign_chain_06_safe,command_exec_assign_chain_06,clean_heldout,clean,-1,sink,safe,0,command_exec,assign_chain,0.4765625,1,0,95
starcoder2-3b,command_exec_assign_chain_06_safe,command_exec_assign_chain_06,clean_heldout,clean,-1,e6,safe,0,command_exec,assign_chain,-0.203125,0,1,91
starcoder2-3b,command_exec_assign_chain_08_unsafe,command_exec_assign_chain_08,clean_heldout,clean,-1,sink,unsafe,1,command_exec,assign_chain,0.484375,1,1,95
starcoder2-3b,command_exec_assign_chain_08_unsafe,command_exec_assign_chain_08,clean_heldout,clean,-1,e6,unsafe,1,command_exec,assign_chain,-0.22265630960464478,0,0,91
starcoder2-3b,command_exec_assign_chain_08_safe,command_exec_assign_chain_08,clean_heldout,clean,-1,sink,safe,0,command_exec,assign_chain,0.45703125,1,0,95
starcoder2-3b,command_exec_assign_chain_08_safe,command_exec_assign_chain_08,clean_heldout,clean,-1,e6,safe,0,command_exec,assign_chain,-0.2558593153953552,0,1,91
starcoder2-3b,command_exec_assign_chain_11_unsafe,command_exec_assign_chain_11,clean_heldout,clean,-1,sink,unsafe,1,command_exec,assign_chain,0.47265625,1,1,99
starcoder2-3b,command_exec_assign_chain_11_unsafe,command_exec_assign_chain_11,clean_heldout,clean,-1,e6,unsafe,1,command_exec,assign_chain,-0.2900390028953552,0,0,95
starcoder2-3b,command_exec_assign_chain_11_safe,command_exec_assign_chain_11,clean_heldout,clean,-1,sink,safe,0,command_exec,assign_chain,0.45703125,1,0,99
starcoder2-3b,command_exec_assign_chain_11_safe,command_exec_assign_chain_11,clean_heldout,clean,-1,e6,safe,0,command_exec,assign_chain,-0.2929688096046448,0,1,95
starcoder2-3b,command_exec_branch_merge_00_unsafe,command_exec_branch_merge_00,clean_heldout,clean,-1,sink,unsafe,1,command_exec,branch_merge,0.44140625,1,1,110
starcoder2-3b,command_exec_branch_merge_00_unsafe,command_exec_branch_merge_00,clean_heldout,clean,-1,e6,unsafe,1,command_exec,branch_merge,-0.1484375,0,0,106
starcoder2-3b,command_exec_branch_merge_00_safe,command_exec_branch_merge_00,clean_heldout,clean,-1,sink,safe,0,command_exec,branch_merge,0.427734375,1,0,110
starcoder2-3b,command_exec_branch_merge_00_safe,command_exec_branch_merge_00,clean_heldout,clean,-1,e6,safe,0,command_exec,branch_merge,-0.251953125,0,1,106
starcoder2-3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,clean_heldout,clean,-1,sink,unsafe,1,command_exec,branch_merge,0.55078125,1,1,114
starcoder2-3b,command_exec_branch_merge_01_unsafe,command_exec_branch_merge_01,clean_heldout,clean,-1,e6,unsafe,1,command_exec,branch_merge,-0.216796875,0,0,110
