model,condition,condition_kind,condition_order,prompt_style,n_pairs,accuracy,accuracy_unsafe,accuracy_safe,says_tainted_rate,pair_separation,pair_separation_p,mean_model_delta,model_delta_ci_lo,model_delta_ci_hi
starcoder2-3b,clean_heldout,clean,-1,e6,72,0.5,0.7361111111111112,0.2638888888888889,0.7361111111111112,0.8055555555555556,1.6464300115968573e-07,0.029269744952519734,0.02129379922731055,0.037380981631577014
starcoder2-3b,normalize,baseline,0,e6,72,0.5138888888888888,0.7361111111111112,0.2916666666666667,0.7222222222222222,0.8472222222222222,1.5488945360571046e-09,0.03774684750371509,0.027913064178493287,0.047690494172275055
starcoder2-3b,rename_only,atomic,11,e6,72,0.5069444444444444,0.7083333333333334,0.3055555555555556,0.7013888888888888,0.625,0.04437092000802569,0.014865446421835158,0.00614351849589083,0.024794171647065214
starcoder2-3b,opaque_only,atomic,12,e6,72,0.5138888888888888,0.8333333333333334,0.19444444444444445,0.8194444444444444,0.7083333333333334,0.0005349642016498918,0.03291151507033242,0.020662102351586026,0.045105322719448136
starcoder2-3b,encode_only,atomic,13,e6,72,0.5347222222222222,0.7916666666666666,0.2777777777777778,0.7569444444444444,0.7777777777777778,2.397319809534421e-06,0.04248047454489602,0.03080207560625341,0.05527140719609128
starcoder2-3b,flatten_only,atomic,14,e6,72,0.5138888888888888,0.8194444444444444,0.20833333333333334,0.8055555555555556,0.6111111111111112,0.07636915467183139,0.009474012586805556,0.00176849365234375,0.017904324001736107
starcoder2-3b,rename_cumulative,cumulative,21,e6,72,0.5,0.6944444444444444,0.3055555555555556,0.6944444444444444,0.6666666666666666,0.006309827313666047,0.017659501896964178,0.009262082373930348,0.02647704111619127
starcoder2-3b,rename_opaque,cumulative,22,e6,72,0.5069444444444444,1.0,0.013888888888888888,0.9930555555555556,0.7361111111111112,7.555811484431396e-05,0.015285914142926535,0.0064144775685336854,0.02617762916617923
starcoder2-3b,rename_opaque_encode,cumulative,23,e6,72,0.5,0.9861111111111112,0.013888888888888888,0.9861111111111112,0.5833333333333334,0.1945051658673991,0.013576933079295687,0.002725899074640539,0.025934517797496576
starcoder2-3b,rename_opaque_encode_flatten,cumulative,24,e6,72,0.5069444444444444,0.875,0.1388888888888889,0.8680555555555556,0.5555555555555556,0.40957939592707177,0.003987628552648757,-0.00020413264218303889,0.008273653727438714
starcoder2-3b,clean_heldout,clean,-1,sink,72,0.5,1.0,0.0,1.0,0.9166666666666666,7.255748219519502e-14,0.03857422123352686,0.03179253718505303,0.04614393682115607
starcoder2-3b,normalize,baseline,0,sink,72,0.5,1.0,0.0,1.0,0.8888888888888888,5.765519304519332e-12,0.04399955686595705,0.035481760050687525,0.053550204117265
starcoder2-3b,rename_only,atomic,11,sink,72,0.5069444444444444,0.875,0.1388888888888889,0.8680555555555556,0.7083333333333334,0.0005349642016498918,0.016248919069767,0.009493004696236717,0.02368300517814026
starcoder2-3b,opaque_only,atomic,12,sink,72,0.5,0.9861111111111112,0.013888888888888888,0.9861111111111112,0.7638888888888888,8.14003082672391e-06,0.03529188368055555,0.025553387817409304,0.04600694612082508
starcoder2-3b,encode_only,atomic,13,sink,72,0.5,0.9722222222222222,0.027777777777777776,0.9722222222222222,0.8333333333333334,8.055498526741105e-09,0.04142253018087811,0.03143921566920148,0.05189344551828172
starcoder2-3b,flatten_only,atomic,14,sink,72,0.5,1.0,0.0,1.0,0.6944444444444444,0.0012935849626762883,0.017333983547157712,0.00794813111424446,0.026746956941982113
starcoder2-3b,rename_cumulative,cumulative,21,sink,72,0.5138888888888888,0.8888888888888888,0.1388888888888889,0.875,0.6666666666666666,0.006309827313666047,0.017849392361111112,0.01074150533725818,0.02549980615990029
starcoder2-3b,rename_opaque,cumulative,22,sink,72,0.5,0.9027777777777778,0.09722222222222222,0.9027777777777778,0.7361111111111112,7.555811484431396e-05,0.01665582176711824,0.008652750733825895,0.026882600473860898
starcoder2-3b,rename_opaque_encode,cumulative,23,sink,72,0.5,0.9861111111111112,0.013888888888888888,0.9861111111111112,0.6805555555555556,0.002942760530124976,0.014838337898254395,0.006184919385446443,0.023980043828487396
starcoder2-3b,rename_opaque_encode_flatten,cumulative,24,sink,72,0.5,0.9722222222222222,0.027777777777777776,0.9722222222222222,0.6527777777777778,0.012774595538064901,0.008843315972222222,0.0028198226872417666,0.01532795820385217
