model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,base_id,family,structure,orientation,taint_delta_contrast_z,taint_delta_contrast_prob,taint_contrast_z_unsafe,taint_contrast_z_safe,model_delta_margin,model_margin_unsafe,model_margin_safe,model_correct_unsafe,model_correct_safe,security_delta_contrast_z,security_delta_contrast_prob
starcoder2-3b,jlens,-1,,e6,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0234375,-0.1875,-0.1640625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,clean_heldout,clean,-1,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.03515625,0.50390625,0.46875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,encode_only,atomic,13,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0439453125,-0.171875,-0.1279296875,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,encode_only,atomic,13,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.041015625,0.513671875,0.47265625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,flatten_only,atomic,14,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.0400390625,-0.2958984375,-0.255859375,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,flatten_only,atomic,14,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.01171875,0.361328125,0.373046875,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,normalize,baseline,0,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.01953125,-0.42578125,-0.40625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,normalize,baseline,0,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.05078125,0.44140625,0.390625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,opaque_only,atomic,12,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.028808534145355225,0.2919922471046448,0.32080078125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,opaque_only,atomic,12,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.01953125,0.5234375,0.50390625,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_cumulative,cumulative,21,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.006835877895355225,-0.435546875,-0.4423827528953552,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_cumulative,cumulative,21,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.017578125,-0.158203125,-0.140625,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_only,atomic,11,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.03125,-0.201171875,-0.232421875,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_only,atomic,11,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,-0.01171875,-0.0703125,-0.05859375,0,1,0.0,0.0
starcoder2-3b,jlens,-1,,e6,rename_opaque,cumulative,22,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0146484375,0.4091796875,0.39453125,1,0,0.0,0.0
starcoder2-3b,jlens,-1,,sink,rename_opaque,cumulative,22,command_exec_assign_chain_00,command_exec,assign_chain,unsafe_minus_safe,0.0,0.0,-0.00651594317211604,-0.00651594317211604,0.0,0.01953125,0.01953125,1,0,0.0,0.0
